,DATE,PRCP,TAVG,TMAX,TMIN
258,1881-09-16,0.4,14.2,17.7,11.6
623,1882-09-16,0.0,16.6,,10.2
988,1883-09-16,0.0,14.7,19.4,9.9
1354,1884-09-16,0.1,9.6,12.7,5.7
1719,1885-09-16,0.4,11.8,15.8,8.8
2084,1886-09-16,1.3,7.3,12.4,4.4
2449,1887-09-16,0.0,12.7,15.5,9.9
2815,1888-09-16,0.0,5.8,7.4,3.1
3180,1889-09-16,0.2,5.7,8.3,1.5
3545,1890-09-16,0.0,12.9,15.8,7.7
3910,1891-09-16,1.8,9.0,15.6,2.7
4276,1892-09-16,0.0,12.5,16.5,7.7
4641,1893-09-16,0.3,11.9,13.5,6.1
5006,1894-09-16,0.3,4.3,7.9,3.8
5371,1895-09-16,0.1,9.0,12.9,5.9
5737,1896-09-16,3.2,10.7,14.9,7.0
6102,1897-09-16,0.0,8.3,12.9,3.1
6467,1898-09-16,1.2,8.6,10.0,8.0
6832,1899-09-16,2.1,12.5,15.0,10.0
7197,1900-09-16,0.5,8.3,11.5,7.0
7562,1901-09-16,2.8,10.9,14.1,6.5
7927,1902-09-16,0.5,10.7,12.3,6.8
8292,1903-09-16,0.0,9.0,13.2,6.1
8658,1904-09-16,0.3,7.0,11.2,2.5
9023,1905-09-16,5.4,10.2,13.0,8.2
9388,1906-09-16,0.0,11.2,15.7,6.6
9753,1907-09-16,0.7,10.3,12.9,8.5
10119,1908-09-16,0.0,6.8,8.4,5.6
10484,1909-09-16,0.0,11.5,16.5,3.8
10849,1910-09-16,1.1,13.8,18.4,9.0
11214,1911-09-16,0.9,8.8,12.2,7.1
11580,1912-09-16,33.8,9.7,10.4,9.0
11945,1913-09-16,0.0,15.4,18.9,12.8
12310,1914-09-16,0.2,13.4,17.6,11.8
12675,1915-09-16,10.2,9.2,14.8,7.8
13041,1916-09-16,0.5,8.9,11.1,7.4
13406,1917-09-16,5.3,9.5,12.2,8.2
13771,1918-09-16,0.0,9.9,12.4,6.3
14136,1919-09-16,0.0,8.4,11.3,4.0
14502,1920-09-16,0.4,10.8,14.5,8.6
14867,1921-09-16,1.8,11.0,14.2,8.1
15232,1922-09-16,0.1,12.2,15.6,8.2
15597,1923-09-16,0.7,13.2,18.9,6.7
15963,1924-09-16,0.0,12.7,16.5,9.7
16328,1925-09-16,0.0,12.1,14.6,10.8
16693,1926-09-16,2.4,7.5,11.0,2.9
17058,1927-09-16,0.0,8.9,12.4,5.4
17424,1928-09-16,6.4,11.2,14.1,9.9
17789,1929-09-16,0.0,14.2,18.7,10.2
18154,1930-09-16,3.8,8.2,11.1,3.6
18519,1931-09-16,0.0,9.3,12.2,5.0
18885,1932-09-16,1.0,11.6,14.7,6.0
19250,1933-09-16,3.4,6.8,7.8,5.6
19615,1934-09-16,1.3,12.3,16.9,8.3
19980,1935-09-16,0.0,10.7,15.8,8.6
20346,1936-09-16,0.1,11.0,15.0,8.1
20711,1937-09-16,4.4,13.3,15.5,11.3
21076,1938-09-16,2.0,10.2,13.3,8.1
21441,1939-09-16,1.2,7.0,13.9,2.8
21807,1940-09-16,2.7,11.0,13.3,6.7
22172,1941-09-16,4.5,8.8,10.7,5.5
22537,1942-09-16,0.0,8.8,14.9,4.0
22902,1943-09-16,4.8,10.4,13.8,9.1
23268,1944-09-16,0.0,9.8,14.6,5.5
23633,1945-09-16,0.0,11.8,14.3,10.2
23998,1946-09-16,7.5,12.2,15.4,11.4
24363,1947-09-16,1.7,14.1,18.2,12.7
24729,1948-09-16,2.4,11.5,14.7,8.9
25094,1949-09-16,0.2,12.7,20.7,8.3
25459,1950-09-16,0.0,17.4,22.9,12.8
25824,1951-09-16,0.0,15.5,19.5,12.3
26190,1952-09-16,0.4,4.4,9.3,-0.9
26555,1953-09-16,0.0,8.8,13.1,3.3
26920,1954-09-16,0.3,11.3,15.4,8.6
27285,1955-09-16,0.1,20.0,25.6,16.7
27651,1956-09-16,2.6,8.0,11.6,6.2
28016,1957-09-16,3.6,11.0,14.5,9.3
28381,1958-09-16,0.0,5.1,10.3,0.6
28746,1959-09-16,0.9,5.8,9.0,3.9
29112,1960-09-16,0.0,11.2,15.7,9.0
29477,1961-09-16,1.9,11.0,14.0,7.5
29842,1962-09-16,0.0,8.0,13.8,3.2
30207,1963-09-16,0.9,12.0,14.5,8.5
30573,1964-09-16,5.6,15.0,16.2,12.6
30938,1965-09-16,0.0,7.7,13.1,2.2
31303,1966-09-16,5.6,13.0,14.7,11.0
31668,1967-09-16,0.0,13.3,18.0,8.3
32034,1968-09-16,0.0,4.5,6.9,1.9
32399,1969-09-16,5.1,11.0,13.3,9.4
32764,1970-09-16,0.0,14.9,20.6,11.0
33129,1971-09-16,0.0,7.3,12.4,2.9
33495,1972-09-16,0.0,15.7,21.3,11.9
33860,1973-09-16,0.0,5.6,10.1,1.5
34225,1974-09-16,0.0,9.8,13.9,6.0
34590,1975-09-16,2.6,15.0,17.2,12.3
34956,1976-09-16,1.0,11.1,16.5,7.4
35321,1977-09-16,18.5,6.5,8.5,5.8
35686,1978-09-16,0.9,10.6,13.8,9.8
36051,1979-09-16,0.0,9.5,12.0,5.5
36417,1980-09-16,0.3,11.9,14.7,10.7
36782,1981-09-16,0.9,7.7,9.7,6.4
37147,1982-09-16,0.0,12.7,15.1,8.6
37512,1983-09-16,0.0,13.9,18.4,10.3
37878,1984-09-16,0.0,10.7,12.6,8.1
38243,1985-09-16,2.7,12.6,15.0,11.1
38608,1986-09-16,10.8,9.1,10.7,7.6
38973,1987-09-16,1.4,9.9,13.4,8.2
39339,1988-09-16,2.6,12.8,14.4,11.4
39704,1989-09-16,0.0,13.5,15.7,11.7
40069,1990-09-16,0.0,8.9,11.9,7.7
40434,1991-09-16,4.2,13.1,15.3,11.5
40800,1992-09-16,9.7,14.1,16.3,13.2
41165,1993-09-16,0.0,6.6,9.8,3.8
41530,1994-09-16,2.2,17.2,19.6,13.3
41895,1995-09-16,0.0,7.9,12.3,3.9
42261,1996-09-16,0.0,9.4,11.8,6.7
42626,1997-09-16,4.2,10.4,12.8,8.3
42991,1998-09-16,10.0,13.5,15.6,11.9
43356,1999-09-16,0.1,9.9,12.9,8.1
43722,2000-09-16,1.9,7.3,11.2,4.5
44087,2001-09-16,0.8,15.5,18.3,13.5
44452,2002-09-16,0.0,8.1,10.1,6.4
44817,2003-09-16,5.2,14.8,16.4,13.8
45183,2004-09-16,1.2,13.7,16.7,10.7
45548,2005-09-16,2.4,8.9,13.4,6.5
45913,2006-09-16,0.0,9.4,13.8,3.6
46278,2007-09-16,2.2,10.0,12.8,8.5
46644,2008-09-16,0.0,7.2,8.2,6.0
47009,2009-09-16,0.0,14.0,17.9,10.4
47374,2010-09-16,0.4,13.9,17.3,11.4
47739,2011-09-16,7.3,12.3,14.2,10.5
48105,2012-09-16,0.0,13.8,17.7,11.2
48470,2013-09-16,0.0,10.8,15.1,10.4
48835,2014-09-16,,10.4,,
49179,2015-09-16,0.0,14.0,16.0,
49545,2016-09-16,0.0,12.3,14.8,
49910,2017-09-16,4.1,12.3,16.7,
50275,2018-09-16,10.9,12.5,,
