,DATE,PRCP,TAVG,TMAX,TMIN
322,1881-11-19,0.0,-7.3,-6.1,-10.0
687,1882-11-19,1.1,-6.0,,-10.9
1052,1883-11-19,0.0,2.8,3.7,0.5
1418,1884-11-19,0.7,-4.6,-0.8,-6.8
1783,1885-11-19,0.1,-2.6,2.6,-6.3
2148,1886-11-19,2.0,2.8,3.4,1.8
2513,1887-11-19,0.7,0.6,2.7,-1.6
2879,1888-11-19,1.8,1.0,1.7,0.3
3244,1889-11-19,1.1,2.4,4.6,1.3
3609,1890-11-19,0.0,-12.5,-1.3,-15.4
3974,1891-11-19,0.0,-11.6,-7.7,-13.2
4340,1892-11-19,0.5,-2.4,-1.5,-3.7
4705,1893-11-19,1.0,1.1,1.4,-1.3
5070,1894-11-19,0.3,-1.6,0.8,-1.8
5435,1895-11-19,0.0,2.7,5.0,0.9
5801,1896-11-19,0.0,-6.4,-1.0,-8.5
6166,1897-11-19,4.1,-5.0,-3.7,-6.7
6531,1898-11-19,0.1,0.6,3.2,-0.4
6896,1899-11-19,4.1,3.6,4.2,1.6
7261,1900-11-19,0.0,-2.1,1.1,-4.1
7626,1901-11-19,0.8,-7.2,-3.5,-10.1
7991,1902-11-19,0.0,0.0,0.7,-1.2
8356,1903-11-19,0.3,-0.3,,-1.9
8722,1904-11-19,2.7,2.7,4.2,0.0
9087,1905-11-19,0.6,1.2,2.1,-1.0
9452,1906-11-19,4.8,1.5,2.8,0.5
9817,1907-11-19,0.0,-6.2,-3.7,-9.0
10183,1908-11-19,10.5,1.2,2.2,0.4
10548,1909-11-19,2.0,-7.6,-5.3,-14.2
10913,1910-11-19,0.0,1.2,1.6,-0.7
11278,1911-11-19,0.0,5.6,7.0,3.6
11644,1912-11-19,0.0,1.2,2.2,0.5
12009,1913-11-19,4.0,4.8,6.7,3.0
12374,1914-11-19,0.0,-1.7,-0.6,-3.9
12739,1915-11-19,0.2,-2.9,-0.9,-5.2
13105,1916-11-19,0.0,-3.3,-0.5,-5.5
13470,1917-11-19,0.0,1.4,2.5,0.3
13835,1918-11-19,0.1,0.2,3.3,-1.9
14200,1919-11-19,0.0,-7.3,-4.1,-10.1
14566,1920-11-19,0.0,-1.2,0.0,-4.3
14931,1921-11-19,0.0,-7.7,-6.1,-8.4
15296,1922-11-19,0.2,-4.3,-1.4,-6.3
15661,1923-11-19,1.8,2.5,4.2,-0.1
16027,1924-11-19,2.9,-1.0,0.6,-1.7
16392,1925-11-19,2.5,2.3,3.2,-3.0
16757,1926-11-19,0.0,3.5,5.1,2.2
17122,1927-11-19,0.4,-6.8,-5.5,-10.9
17488,1928-11-19,0.0,3.5,5.9,2.6
17853,1929-11-19,2.5,2.3,3.5,2.0
18218,1930-11-19,0.0,-4.3,-3.2,-6.1
18583,1931-11-19,0.0,-1.1,-0.3,-2.6
18949,1932-11-19,0.0,-6.6,-4.6,-9.6
19314,1933-11-19,0.0,-10.5,-7.4,-13.9
19679,1934-11-19,0.3,2.7,5.8,1.9
20044,1935-11-19,0.0,-2.3,0.9,-4.1
20410,1936-11-19,0.0,-1.2,0.6,-4.5
20775,1937-11-19,4.1,-0.4,1.8,-3.9
21140,1938-11-19,2.2,1.1,2.1,-0.4
21505,1939-11-19,12.1,0.6,1.1,0.2
21871,1940-11-19,12.6,3.1,6.1,0.6
22236,1941-11-19,0.0,-11.2,-5.5,-13.8
22601,1942-11-19,0.0,-3.7,-1.2,-5.2
22966,1943-11-19,0.3,1.2,3.4,-1.1
23332,1944-11-19,0.0,-6.8,-3.5,-8.3
23697,1945-11-19,0.0,1.4,1.6,0.6
24062,1946-11-19,0.0,-10.4,-8.6,-11.9
24427,1947-11-19,1.9,-3.5,-1.8,-4.8
24793,1948-11-19,5.0,3.9,4.7,2.6
25158,1949-11-19,0.3,0.9,2.2,-0.1
25523,1950-11-19,0.0,-0.9,0.2,-1.9
25888,1951-11-19,1.9,-1.5,1.0,-4.9
26254,1952-11-19,0.3,-0.2,0.4,-0.6
26619,1953-11-19,2.3,2.0,3.8,0.0
26984,1954-11-19,0.0,-4.6,-1.9,-7.2
27349,1955-11-19,0.6,-0.4,4.4,-3.1
27715,1956-11-19,0.0,-7.3,-5.2,-9.6
28080,1957-11-19,0.0,-3.5,0.6,-6.8
28445,1958-11-19,0.0,-0.8,5.1,-3.2
28810,1959-11-19,0.0,-3.1,-2.4,-4.3
29176,1960-11-19,0.9,-11.7,-9.1,-14.3
29541,1961-11-19,6.8,-0.8,0.7,-2.8
29906,1962-11-19,0.4,-2.9,-2.3,-5.2
30271,1963-11-19,11.0,3.4,6.2,0.1
30637,1964-11-19,0.2,2.2,4.5,0.6
31002,1965-11-19,1.0,-6.7,-4.8,-10.1
31367,1966-11-19,0.0,1.0,2.2,-0.1
31732,1967-11-19,1.0,0.0,1.7,-2.0
32098,1968-11-19,0.0,-1.5,-0.3,-2.5
32463,1969-11-19,2.1,3.7,6.1,2.4
32828,1970-11-19,2.9,4.3,5.7,1.2
33193,1971-11-19,0.2,-8.5,-7.1,-10.1
33559,1972-11-19,0.5,-1.3,0.9,-3.6
33924,1973-11-19,0.2,-3.8,-1.7,-6.0
34289,1974-11-19,0.6,5.2,5.8,4.0
34654,1975-11-19,13.3,1.0,2.2,0.3
35020,1976-11-19,0.5,0.2,1.3,-1.4
35385,1977-11-19,0.2,-0.6,0.6,-2.0
35750,1978-11-19,7.6,5.9,9.0,3.1
