,DATE,PRCP,TAVG,TMAX,TMIN
96,1881-04-07,0.0,-6.4,-1.2,-8.8
461,1882-04-07,0.0,3.6,,-1.1
826,1883-04-07,0.0,1.4,,-5.1
1192,1884-04-07,0.0,2.3,7.7,-5.0
1557,1885-04-07,0.0,4.3,8.3,0.5
1922,1886-04-07,1.6,3.4,4.9,2.1
2287,1887-04-07,0.0,1.6,3.8,-1.1
2653,1888-04-07,0.3,-1.2,-0.2,-3.8
3018,1889-04-07,0.3,2.7,4.3,1.5
3383,1890-04-07,0.0,5.7,10.7,0.9
3748,1891-04-07,0.0,2.1,5.8,-1.7
4114,1892-04-07,0.0,-4.7,0.6,-6.9
4479,1893-04-07,0.0,2.7,5.4,-0.4
4844,1894-04-07,0.0,5.5,10.0,0.5
5209,1895-04-07,0.3,-1.3,1.8,-7.1
5575,1896-04-07,0.0,0.0,5.8,-7.1
5940,1897-04-07,0.0,2.8,5.4,0.4
6305,1898-04-07,0.2,1.2,2.8,-1.8
6670,1899-04-07,2.6,3.3,5.4,2.1
7035,1900-04-07,0.0,1.2,6.8,-2.4
7400,1901-04-07,0.0,0.1,2.7,-1.4
7765,1902-04-07,0.0,-5.0,-1.4,-7.4
8130,1903-04-07,0.0,3.0,,1.1
8496,1904-04-07,0.6,2.2,3.0,1.1
8861,1905-04-07,7.4,-4.8,-2.0,-6.1
9226,1906-04-07,0.0,-0.2,5.1,-7.4
9591,1907-04-07,0.0,2.8,6.7,-1.6
9957,1908-04-07,0.0,2.6,7.4,-2.9
10322,1909-04-07,0.0,-1.7,3.0,-3.8
10687,1910-04-07,0.0,1.8,5.4,-2.3
11052,1911-04-07,0.0,-0.4,4.3,-8.8
11418,1912-04-07,0.0,-7.0,-3.2,-8.9
11783,1913-04-07,1.3,2.2,3.9,1.3
12148,1914-04-07,0.0,1.7,5.4,-2.8
12513,1915-04-07,0.2,3.0,5.5,-1.3
12879,1916-04-07,0.0,-4.4,-1.5,-7.8
13244,1917-04-07,0.7,1.4,2.9,-1.5
13609,1918-04-07,0.0,1.7,5.4,-2.6
13974,1919-04-07,0.0,-5.1,-1.1,-9.7
14340,1920-04-07,0.4,6.6,11.3,2.4
14705,1921-04-07,1.4,2.8,4.4,1.9
15070,1922-04-07,0.2,0.7,3.9,-1.5
15435,1923-04-07,0.0,-2.5,1.1,-6.3
15801,1924-04-07,0.6,0.5,3.4,-2.4
16166,1925-04-07,0.0,2.2,7.9,-3.9
16531,1926-04-07,0.0,-6.0,-1.6,-10.8
16896,1927-04-07,0.1,2.8,5.3,0.0
17262,1928-04-07,3.1,1.2,2.6,0.3
17627,1929-04-07,0.0,-1.9,0.4,-6.2
17992,1930-04-07,0.0,6.4,12.2,-0.4
18357,1931-04-07,4.8,-0.3,2.5,-2.4
18723,1932-04-07,0.0,3.1,6.6,1.3
19088,1933-04-07,1.9,0.9,3.1,-1.0
19453,1934-04-07,0.1,4.3,10.5,-0.6
19818,1935-04-07,1.6,1.6,5.2,-0.2
20184,1936-04-07,0.5,-1.0,2.1,-4.7
20549,1937-04-07,0.0,2.1,9.3,-3.4
20914,1938-04-07,5.2,3.0,5.7,-0.1
21279,1939-04-07,0.9,3.2,4.6,1.2
21645,1940-04-07,0.0,0.0,4.8,-4.8
22010,1941-04-07,0.0,-3.5,-0.5,-7.1
