,DATE,PRCP,TAVG,TMAX,TMIN
109,1881-04-20,2.5,4.4,9.5,1.3
474,1882-04-20,1.5,5.9,,-2.8
839,1883-04-20,0.0,5.5,,1.4
1205,1884-04-20,0.0,0.2,3.9,-5.4
1570,1885-04-20,0.5,-0.8,3.1,-7.9
1935,1886-04-20,0.0,3.7,7.6,-1.6
2300,1887-04-20,2.7,0.8,2.5,0.2
2666,1888-04-20,1.7,9.3,15.1,3.1
3031,1889-04-20,0.0,4.1,10.8,-3.0
3396,1890-04-20,2.3,3.8,4.7,2.3
3761,1891-04-20,0.0,4.7,9.5,1.5
4127,1892-04-20,1.2,6.5,9.8,0.8
4492,1893-04-20,0.0,-2.1,1.0,-4.4
4857,1894-04-20,0.0,-1.0,1.4,-3.9
5222,1895-04-20,0.3,4.7,9.1,-1.5
5588,1896-04-20,0.0,3.2,9.0,-2.0
5953,1897-04-20,12.6,3.1,5.4,0.5
6318,1898-04-20,1.1,2.1,3.3,0.3
6683,1899-04-20,0.0,4.3,10.2,-0.9
7048,1900-04-20,0.2,1.2,3.6,-0.9
7413,1901-04-20,0.0,3.7,7.2,-1.2
7778,1902-04-20,1.5,2.3,3.8,0.6
8143,1903-04-20,0.0,8.0,,6.6
8509,1904-04-20,0.0,11.5,16.9,4.1
8874,1905-04-20,0.8,6.7,11.0,2.2
9239,1906-04-20,0.0,10.5,18.5,1.5
9604,1907-04-20,12.1,0.0,1.6,-0.7
9970,1908-04-20,0.0,2.0,6.6,-0.5
10335,1909-04-20,0.0,-2.8,-0.5,-4.0
10700,1910-04-20,8.0,8.6,12.6,5.9
11065,1911-04-20,0.0,4.3,9.5,-2.1
11431,1912-04-20,0.0,9.5,16.0,0.9
11796,1913-04-20,2.1,12.6,17.7,8.0
12161,1914-04-20,0.0,5.4,9.7,-0.7
12526,1915-04-20,0.3,5.2,7.4,2.1
12892,1916-04-20,0.0,7.4,13.9,-0.8
13257,1917-04-20,0.0,4.4,8.8,0.2
13622,1918-04-20,0.0,11.6,18.1,8.3
13987,1919-04-20,0.2,3.8,6.4,1.1
14353,1920-04-20,0.0,0.0,4.9,-0.5
14718,1921-04-20,16.2,8.2,10.3,5.7
15083,1922-04-20,0.0,-2.9,0.4,-7.2
15448,1923-04-20,0.6,2.2,5.3,-0.1
15814,1924-04-20,0.0,1.6,4.1,-0.3
16179,1925-04-20,14.9,6.1,7.7,3.5
16544,1926-04-20,0.1,3.6,6.9,1.8
16909,1927-04-20,7.5,3.6,7.9,-1.8
17275,1928-04-20,0.0,4.9,7.0,2.1
17640,1929-04-20,4.0,-0.7,4.4,-4.7
18005,1930-04-20,1.5,8.7,15.2,4.2
18370,1931-04-20,2.5,3.5,5.4,1.9
18736,1932-04-20,0.0,2.0,5.9,-2.2
19101,1933-04-20,0.1,1.9,3.6,0.7
19466,1934-04-20,5.9,7.4,10.1,5.5
19831,1935-04-20,0.0,7.1,12.3,-0.4
20197,1936-04-20,4.0,5.2,10.7,2.6
20562,1937-04-20,1.0,9.0,11.0,7.6
20927,1938-04-20,4.2,2.3,5.4,-1.1
21292,1939-04-20,0.7,3.7,7.1,0.8
21658,1940-04-20,0.8,7.3,11.6,3.8
22023,1941-04-20,0.0,2.7,7.9,-0.9
22388,1942-04-20,0.0,10.2,18.8,2.1
22753,1943-04-20,0.0,5.0,8.1,3.0
23119,1944-04-20,0.0,2.4,8.2,-3.9
23484,1945-04-20,0.3,3.3,8.8,-2.6
23849,1946-04-20,0.0,3.3,6.3,0.7
24214,1947-04-20,0.0,2.3,6.7,-2.7
24580,1948-04-20,3.4,4.3,9.9,2.4
24945,1949-04-20,0.0,4.8,7.6,1.7
25310,1950-04-20,0.6,8.6,12.2,6.0
25675,1951-04-20,2.9,2.0,8.0,1.2
26041,1952-04-20,0.0,0.7,5.5,-3.7
26406,1953-04-20,3.2,2.1,7.4,-2.1
26771,1954-04-20,0.0,3.5,9.0,-0.9
27136,1955-04-20,0.0,2.8,4.7,1.0
27502,1956-04-20,0.0,0.8,4.2,-1.6
27867,1957-04-20,0.3,5.0,8.1,1.7
28232,1958-04-20,0.4,3.2,8.2,-1.7
28597,1959-04-20,3.3,-0.8,2.2,-3.0
28963,1960-04-20,0.0,5.2,12.5,-1.3
29328,1961-04-20,0.0,1.0,3.7,-1.0
29693,1962-04-20,0.0,6.6,12.0,1.1
30058,1963-04-20,0.0,13.4,18.6,7.5
30424,1964-04-20,0.0,7.0,12.4,2.9
30789,1965-04-20,0.0,9.6,15.4,3.2
31154,1966-04-20,0.0,1.4,3.6,0.0
31519,1967-04-20,0.0,2.2,6.6,-2.0
31885,1968-04-20,0.0,5.0,10.6,-1.6
32250,1969-04-20,0.0,7.8,13.0,3.0
32615,1970-04-20,8.1,4.2,8.7,0.6
32980,1971-04-20,1.9,7.2,11.1,5.3
33346,1972-04-20,,1.4,6.0,-3.0
33711,1973-04-20,1.4,5.9,9.3,3.5
34076,1974-04-20,0.7,-0.1,4.0,-4.1
34441,1975-04-20,0.0,7.8,12.8,2.2
34807,1976-04-20,0.0,1.7,4.9,-0.4
35172,1977-04-20,1.1,2.4,6.0,0.4
35537,1978-04-20,0.0,9.7,15.8,3.9
35902,1979-04-20,0.0,-2.6,0.5,-5.5
36268,1980-04-20,3.9,3.2,5.2,0.9
36633,1981-04-20,0.0,3.4,7.6,0.4
36998,1982-04-20,0.6,-0.2,1.0,-1.6
37363,1983-04-20,0.0,12.8,16.0,10.0
37729,1984-04-20,0.0,2.5,6.1,-1.0
38094,1985-04-20,0.0,3.7,9.1,1.1
38459,1986-04-20,8.4,8.0,9.6,4.8
38824,1987-04-20,0.0,-1.8,1.8,-5.6
39190,1988-04-20,0.7,2.7,7.4,-1.9
39555,1989-04-20,0.0,8.3,11.2,5.5
39920,1990-04-20,0.0,13.1,18.2,6.7
40285,1991-04-20,29.1,-0.5,2.1,-2.0
40651,1992-04-20,7.5,4.2,6.4,3.0
41016,1993-04-20,1.3,0.0,1.5,-1.9
41381,1994-04-20,0.0,1.2,3.6,-0.8
41746,1995-04-20,0.4,13.2,20.1,7.6
42112,1996-04-20,1.0,6.5,9.3,4.5
42477,1997-04-20,0.0,0.4,2.9,-0.8
42842,1998-04-20,0.0,5.4,7.8,4.1
43207,1999-04-20,0.0,16.0,22.7,9.4
43573,2000-04-20,0.0,15.8,22.7,7.5
43938,2001-04-20,0.4,6.2,10.0,3.5
44303,2002-04-20,0.0,6.5,12.2,3.2
44668,2003-04-20,0.0,5.4,12.2,0.4
45034,2004-04-20,0.0,13.4,19.1,5.6
45399,2005-04-20,0.8,-1.4,2.0,-3.7
45764,2006-04-20,0.0,7.3,12.9,2.0
46129,2007-04-20,0.0,6.7,7.6,5.9
46495,2008-04-20,0.0,4.2,9.7,-0.5
46860,2009-04-20,0.0,2.3,4.4,1.0
47225,2010-04-20,0.0,3.6,9.1,-0.6
47590,2011-04-20,0.0,4.8,9.8,-0.7
47956,2012-04-20,0.3,7.6,13.7,2.4
48321,2013-04-20,0.7,6.0,7.3,3.0
48686,2014-04-20,,9.7,,
49396,2016-04-20,3.0,4.7,8.1,
49761,2017-04-20,0.0,2.1,6.2,
50126,2018-04-20,0.0,8.7,,2.4
50484,2019-04-20,0.0,6.0,9.8,
