,DATE,PRCP,TAVG,TMAX,TMIN
45,1881-02-15,0.7,-5.5,-3.5,-8.6
410,1882-02-15,0.5,0.3,,-1.4
775,1883-02-15,0.0,-8.6,,-10.5
1140,1884-02-15,0.1,-3.9,-0.3,-5.6
1506,1885-02-15,0.5,0.9,1.7,-0.7
1871,1886-02-15,0.0,-8.6,-5.1,-12.5
2236,1887-02-15,0.0,-8.8,-4.9,-13.3
2601,1888-02-15,0.0,-11.4,-2.9,-14.9
2967,1889-02-15,0.0,-9.3,-6.3,-13.2
3332,1890-02-15,0.0,-3.0,-1.1,-5.7
3697,1891-02-15,0.6,-6.3,-1.7,-11.6
4062,1892-02-15,0.1,-14.5,-12.8,-17.8
4428,1893-02-15,0.1,-21.8,-17.9,-26.3
4793,1894-02-15,0.4,-10.6,-7.4,-14.9
5158,1895-02-15,1.1,-16.1,-9.4,-28.1
5523,1896-02-15,0.0,-15.8,-11.6,-18.0
5889,1897-02-15,0.2,-15.1,-10.6,-19.0
6254,1898-02-15,0.2,-5.3,-3.8,-6.4
6619,1899-02-15,1.6,0.4,2.0,-7.0
6984,1900-02-15,0.0,-21.7,-14.5,-24.6
7349,1901-02-15,0.5,-13.8,-11.6,-18.0
7714,1902-02-15,1.2,-10.3,-6.1,-12.9
8079,1903-02-15,0.0,-17.1,,-21.6
8444,1904-02-15,5.7,-0.2,1.5,-4.9
8810,1905-02-15,1.0,-12.2,-4.6,-13.3
9175,1906-02-15,0.3,-3.0,-2.0,-4.2
9540,1907-02-15,0.0,-12.7,-8.8,-19.0
9905,1908-02-15,1.0,-11.6,-9.4,-15.0
10271,1909-02-15,1.7,-2.6,-0.4,-3.4
10636,1910-02-15,0.2,-11.4,-8.5,-14.8
11001,1911-02-15,0.8,-6.5,-4.9,-13.6
11366,1912-02-15,0.0,-8.8,-4.0,
11732,1913-02-15,0.0,-7.6,-7.0,-11.1
12097,1914-02-15,7.2,1.4,2.4,-1.9
12462,1915-02-15,3.7,1.5,1.9,1.1
12827,1916-02-15,0.0,-6.3,-5.2,-7.6
13193,1917-02-15,0.0,-15.0,-5.0,-17.4
13558,1918-02-15,0.0,-16.1,-9.0,-18.2
13923,1919-02-15,0.1,-3.9,-0.5,-6.3
14288,1920-02-15,1.2,-7.5,-6.5,-8.3
14654,1921-02-15,0.2,-14.2,-10.1,-15.0
15019,1922-02-15,3.3,-5.0,-4.1,-6.0
15384,1923-02-15,1.0,-16.4,-14.7,-17.7
15749,1924-02-15,1.0,-7.0,-3.1,-9.1
16115,1925-02-15,0.0,2.1,2.7,1.0
16480,1926-02-15,0.0,-12.0,-8.1,-17.8
16845,1927-02-15,0.2,-3.2,-2.2,-8.8
17210,1928-02-15,0.2,-11.7,-10.3,-16.2
17576,1929-02-15,0.1,-18.3,-13.5,-20.4
17941,1930-02-15,0.4,1.3,2.5,0.4
18306,1931-02-15,0.4,-12.1,-10.7,-15.0
18671,1932-02-15,0.0,-13.5,-10.6,-17.7
19037,1933-02-15,0.1,-5.8,-4.5,-9.5
19402,1934-02-15,0.2,-1.6,-0.8,-3.7
19767,1935-02-15,4.2,0.3,1.4,-1.0
20132,1936-02-15,0.0,-16.2,-11.2,-18.4
20498,1937-02-15,1.3,-6.1,-3.6,-7.4
20863,1938-02-15,0.0,-4.3,-0.7,-10.2
21228,1939-02-15,0.4,-5.1,-0.8,-10.4
21593,1940-02-15,0.0,-21.4,-17.0,-26.2
21959,1941-02-15,0.0,-7.8,-5.3,-8.8
22324,1942-02-15,0.0,-2.2,-0.6,-3.8
22689,1943-02-15,0.0,-5.5,-2.1,-7.7
23054,1944-02-15,0.0,-5.4,-3.1,-7.9
23420,1945-02-15,2.3,-5.6,-3.3,-7.9
23785,1946-02-15,4.9,-3.3,1.2,-11.3
24150,1947-02-15,0.1,-15.8,-11.1,-21.8
24515,1948-02-15,1.9,-9.3,-7.4,-11.0
24881,1949-02-15,0.6,-0.1,1.9,-1.7
25246,1950-02-15,3.7,-6.0,2.4,-13.0
25611,1951-02-15,0.0,-19.4,-13.9,-23.7
25976,1952-02-15,0.4,-9.8,-6.1,-13.7
26342,1953-02-15,0.3,-8.7,-6.1,-11.9
26707,1954-02-15,0.0,-18.0,-14.2,-22.2
27072,1955-02-15,0.4,-9.1,-7.2,-10.9
27437,1956-02-15,2.7,-4.2,-2.4,-6.2
27803,1957-02-15,0.7,1.4,1.8,1.0
28168,1958-02-15,3.9,-0.3,0.6,-3.0
