,DATE,PRCP,TAVG,TMAX,TMIN
257,1881-09-15,0.0,13.8,20.0,8.6
622,1882-09-15,0.0,14.7,,8.8
987,1883-09-15,0.0,14.5,19.8,10.4
1353,1884-09-15,0.0,8.2,11.7,5.4
1718,1885-09-15,0.0,10.8,12.8,9.2
2083,1886-09-15,0.8,13.3,19.7,7.4
2448,1887-09-15,0.0,14.2,17.9,11.8
2814,1888-09-15,0.0,7.3,10.4,5.3
3179,1889-09-15,0.0,4.8,8.8,0.5
3544,1890-09-15,0.0,10.5,14.8,7.7
3909,1891-09-15,0.0,9.2,14.9,5.0
4275,1892-09-15,0.0,11.8,15.3,9.0
4640,1893-09-15,1.9,6.1,9.4,4.6
5005,1894-09-15,1.9,5.2,9.3,1.8
5370,1895-09-15,0.6,11.2,13.9,8.6
5736,1896-09-15,1.0,10.6,16.4,5.3
6101,1897-09-15,0.0,5.8,10.7,2.0
6466,1898-09-15,13.2,11.2,15.2,8.5
6831,1899-09-15,0.0,10.8,13.7,7.2
7196,1900-09-15,0.0,11.2,12.1,9.5
7561,1901-09-15,0.0,12.1,17.6,5.7
7926,1902-09-15,1.1,9.1,11.9,6.0
8291,1903-09-15,0.0,10.8,13.2,9.7
8657,1904-09-15,0.0,5.8,8.5,4.7
9022,1905-09-15,0.0,11.6,14.7,9.6
9387,1906-09-15,0.0,11.8,16.0,7.4
9752,1907-09-15,0.9,13.2,19.4,8.8
10118,1908-09-15,5.0,7.1,8.0,6.1
10483,1909-09-15,0.0,10.6,14.1,8.0
10848,1910-09-15,0.0,14.2,19.2,11.5
11213,1911-09-15,11.7,10.9,16.1,8.3
11579,1912-09-15,3.4,10.7,13.3,8.5
11944,1913-09-15,0.0,14.7,19.5,12.4
12309,1914-09-15,0.0,15.5,20.8,8.6
12674,1915-09-15,2.0,15.7,20.6,10.8
13040,1916-09-15,0.5,8.9,11.1,7.6
13405,1917-09-15,4.7,10.0,11.0,8.8
13770,1918-09-15,18.7,8.6,11.0,4.3
14135,1919-09-15,0.0,10.2,13.4,8.1
14501,1920-09-15,2.3,10.3,13.1,8.8
14866,1921-09-15,1.7,10.0,12.2,6.1
15231,1922-09-15,14.0,12.5,13.4,11.7
15596,1923-09-15,0.0,11.5,17.0,4.2
15962,1924-09-15,2.8,13.5,16.5,11.5
16327,1925-09-15,0.0,12.5,14.9,10.3
16692,1926-09-15,0.0,8.5,12.3,5.1
17057,1927-09-15,0.6,9.0,13.4,5.4
17423,1928-09-15,2.4,11.7,14.9,8.1
17788,1929-09-15,0.0,12.1,17.3,6.0
18153,1930-09-15,0.0,8.0,13.0,2.6
18518,1931-09-15,0.0,6.9,9.6,3.6
18884,1932-09-15,1.1,7.4,9.8,3.2
19249,1933-09-15,4.1,6.7,11.6,6.0
19614,1934-09-15,0.2,11.6,14.4,9.4
19979,1935-09-15,0.0,11.6,13.0,10.8
20345,1936-09-15,0.1,12.0,17.4,6.5
20710,1937-09-15,0.0,13.8,18.6,9.4
21075,1938-09-15,3.4,10.5,13.3,7.5
21440,1939-09-15,1.4,13.6,18.8,9.7
21806,1940-09-15,4.3,12.4,13.9,10.7
22171,1941-09-15,0.0,10.2,14.0,7.7
22536,1942-09-15,0.0,7.7,14.0,1.4
22901,1943-09-15,0.0,12.8,18.0,7.7
23267,1944-09-15,0.0,5.6,12.1,-0.1
23632,1945-09-15,1.2,11.6,19.4,4.7
23997,1946-09-15,0.1,10.2,17.1,4.1
24362,1947-09-15,19.8,14.2,18.7,12.5
24728,1948-09-15,1.5,15.0,18.5,13.9
25093,1949-09-15,0.0,15.0,20.0,13.0
25458,1950-09-15,0.0,13.5,18.4,8.4
25823,1951-09-15,1.3,15.7,18.2,13.8
26189,1952-09-15,0.0,3.9,9.4,0.4
26554,1953-09-15,3.1,6.5,13.1,1.2
26919,1954-09-15,13.6,11.5,14.3,10.1
27284,1955-09-15,0.0,19.9,26.6,14.1
27650,1956-09-15,2.5,9.8,14.1,7.5
28015,1957-09-15,15.2,12.6,17.5,9.1
28380,1958-09-15,0.0,7.5,11.2,4.3
28745,1959-09-15,1.1,7.3,12.1,3.7
29111,1960-09-15,0.0,12.8,14.9,11.4
29476,1961-09-15,0.0,10.2,16.4,4.8
29841,1962-09-15,1.0,8.6,12.0,5.6
30206,1963-09-15,2.6,13.4,15.5,11.2
30572,1964-09-15,4.3,11.6,13.7,9.3
30937,1965-09-15,2.2,11.3,15.4,9.4
31302,1966-09-15,3.2,12.4,14.4,10.9
31667,1967-09-15,0.0,15.3,19.7,12.4
32033,1968-09-15,0.7,8.4,12.5,6.2
32398,1969-09-15,2.5,11.5,12.4,10.3
32763,1970-09-15,1.3,13.1,15.6,11.0
33128,1971-09-15,3.2,6.9,9.7,5.5
33494,1972-09-15,0.0,15.9,22.1,11.7
33859,1973-09-15,1.7,6.4,10.4,3.7
34224,1974-09-15,0.0,9.1,11.9,6.4
34589,1975-09-15,0.9,13.1,16.6,9.6
34955,1976-09-15,0.0,18.0,22.2,15.4
35320,1977-09-15,10.5,6.1,7.4,5.3
35685,1978-09-15,31.8,11.7,14.0,8.0
36050,1979-09-15,1.7,9.6,12.7,7.2
36416,1980-09-15,1.2,11.3,13.4,10.4
36781,1981-09-15,8.3,7.9,8.9,6.6
37146,1982-09-15,3.4,7.8,9.7,5.9
37511,1983-09-15,14.9,12.7,13.9,11.6
37877,1984-09-15,0.0,11.2,14.5,7.0
38242,1985-09-15,0.0,11.7,16.0,6.9
38607,1986-09-15,1.8,8.4,10.7,6.1
38972,1987-09-15,0.4,10.8,14.6,8.7
39338,1988-09-15,0.0,8.7,13.7,2.8
39703,1989-09-15,0.0,13.7,18.3,9.0
40068,1990-09-15,6.5,7.7,8.8,6.4
40433,1991-09-15,2.5,11.7,15.7,8.9
40799,1992-09-15,0.6,13.4,19.6,7.7
41164,1993-09-15,0.0,5.4,9.7,1.7
41529,1994-09-15,7.4,14.6,20.9,9.3
41894,1995-09-15,0.0,8.8,13.3,5.1
42260,1996-09-15,1.0,9.2,10.4,7.7
42625,1997-09-15,1.3,11.3,12.9,9.6
42990,1998-09-15,10.1,15.1,20.2,13.4
43355,1999-09-15,0.0,9.3,11.0,7.0
43721,2000-09-15,0.4,7.2,11.1,3.6
44086,2001-09-15,0.0,15.5,18.8,12.4
44451,2002-09-15,0.1,10.1,12.5,8.7
44816,2003-09-15,0.6,14.3,15.9,13.1
45182,2004-09-15,28.1,14.6,16.3,12.8
45547,2005-09-15,1.2,14.3,16.1,13.2
45912,2006-09-15,0.0,9.4,13.1,5.7
46277,2007-09-15,1.0,9.8,13.4,6.1
46643,2008-09-15,0.4,7.7,9.0,5.8
47008,2009-09-15,0.0,14.6,19.7,10.9
47373,2010-09-15,1.1,15.6,18.9,13.0
47738,2011-09-15,3.1,14.2,16.3,12.6
48104,2012-09-15,0.3,13.0,14.4,11.7
48469,2013-09-15,0.0,12.1,18.6,9.1
48834,2014-09-15,,11.8,,
49178,2015-09-15,0.0,12.4,19.3,
49544,2016-09-15,0.0,13.3,17.0,
49909,2017-09-15,4.8,12.1,14.3,
50274,2018-09-15,0.0,14.7,,
