,DATE,PRCP,TAVG,TMAX,TMIN
151,1881-06-01,0.0,8.2,10.7,4.8
516,1882-06-01,0.0,6.1,,3.8
881,1883-06-01,0.0,14.5,,7.9
1247,1884-06-01,0.0,12.4,16.1,7.7
1612,1885-06-01,0.0,9.6,11.9,7.6
1977,1886-06-01,0.0,12.6,15.7,8.8
2342,1887-06-01,0.0,8.3,11.5,5.6
2708,1888-06-01,7.1,16.8,23.3,10.0
3073,1889-06-01,0.0,16.9,20.9,12.4
3438,1890-06-01,3.5,8.3,12.4,6.5
3803,1891-06-01,0.0,9.2,16.9,7.4
4169,1892-06-01,1.8,9.2,10.9,7.4
4534,1893-06-01,13.8,13.1,17.8,10.1
4899,1894-06-01,0.0,8.8,12.7,8.0
5264,1895-06-01,0.0,10.1,13.7,5.4
5630,1896-06-01,0.0,12.5,18.0,6.9
5995,1897-06-01,0.0,23.5,27.4,17.5
6360,1898-06-01,0.0,19.2,23.5,12.3
6725,1899-06-01,0.2,7.7,10.3,6.3
7090,1900-06-01,0.0,15.9,21.2,10.0
7455,1901-06-01,8.9,12.7,14.7,6.0
7820,1902-06-01,0.1,14.3,21.2,7.8
8185,1903-06-01,0.0,21.8,26.7,15.8
8551,1904-06-01,0.0,11.6,15.5,4.6
8916,1905-06-01,0.0,14.9,18.1,10.3
9281,1906-06-01,13.1,14.3,17.8,11.1
9646,1907-06-01,0.0,5.3,9.0,1.1
10012,1908-06-01,9.4,16.0,21.8,13.5
10377,1909-06-01,2.8,12.3,15.5,7.8
10742,1910-06-01,4.6,12.5,16.3,7.6
11107,1911-06-01,0.0,8.1,11.6,5.7
11473,1912-06-01,1.3,10.9,13.9,8.7
11838,1913-06-01,0.0,17.2,22.6,11.5
12203,1914-06-01,0.0,16.5,20.5,8.6
12568,1915-06-01,3.3,10.6,12.9,8.4
12934,1916-06-01,0.0,6.2,9.8,0.3
13299,1917-06-01,0.0,12.0,15.6,10.1
13664,1918-06-01,0.0,8.7,11.6,6.7
14029,1919-06-01,0.0,14.9,18.6,11.7
14395,1920-06-01,1.9,20.4,27.0,14.3
14760,1921-06-01,0.0,22.0,26.2,12.6
15125,1922-06-01,4.0,8.3,9.9,7.3
15490,1923-06-01,3.3,8.4,10.4,4.4
15856,1924-06-01,0.0,13.6,16.4,10.1
16221,1925-06-01,0.2,12.4,15.2,10.1
16586,1926-06-01,0.0,19.8,24.8,14.0
16951,1927-06-01,0.0,8.8,10.9,7.3
17317,1928-06-01,0.0,5.2,7.4,2.5
17682,1929-06-01,3.9,8.5,12.6,6.5
18047,1930-06-01,0.5,4.9,8.4,1.6
18412,1931-06-01,1.2,15.3,20.4,5.7
18778,1932-06-01,0.0,10.1,15.9,7.4
19143,1933-06-01,0.0,15.7,20.0,8.1
19508,1934-06-01,0.0,11.3,13.2,6.4
19873,1935-06-01,1.8,6.0,7.9,2.6
20239,1936-06-01,0.7,16.8,20.0,13.8
20604,1937-06-01,2.5,13.3,17.0,11.3
20969,1938-06-01,0.1,15.6,18.1,13.2
21334,1939-06-01,0.0,11.2,18.0,9.3
21700,1940-06-01,0.0,8.0,16.4,4.6
22065,1941-06-01,0.0,8.3,12.1,2.8
22430,1942-06-01,0.0,14.8,19.2,10.5
22795,1943-06-01,0.0,14.7,20.2,6.4
23161,1944-06-01,0.5,7.8,11.8,4.9
23526,1945-06-01,0.0,18.9,26.3,12.5
23891,1946-06-01,1.9,14.2,21.2,8.8
24256,1947-06-01,2.7,8.8,13.1,5.1
24622,1948-06-01,0.0,23.5,30.9,14.7
24987,1949-06-01,0.0,12.8,15.8,10.6
25352,1950-06-01,0.1,7.8,10.6,5.9
