,DATE,PRCP,TAVG,TMAX,TMIN
239,1881-08-28,0.0,21.1,26.8,15.7
604,1882-08-28,1.1,18.0,,13.4
969,1883-08-28,11.0,12.8,,9.7
1335,1884-08-28,0.0,13.5,17.3,9.6
1700,1885-08-28,4.4,9.4,13.4,5.2
2065,1886-08-28,0.8,13.5,16.7,9.5
2430,1887-08-28,0.0,13.3,17.3,6.4
2796,1888-08-28,0.0,18.5,24.8,11.7
3161,1889-08-28,0.0,14.2,17.5,11.4
3526,1890-08-28,0.4,16.1,21.7,10.9
3891,1891-08-28,0.0,19.3,25.9,14.4
4257,1892-08-28,0.2,15.1,18.8,12.1
4622,1893-08-28,2.9,9.1,12.8,5.7
4987,1894-08-28,16.8,12.5,14.7,10.9
5352,1895-08-28,4.0,16.1,20.2,9.8
5718,1896-08-28,1.4,16.1,21.2,11.8
6083,1897-08-28,1.5,16.9,19.9,12.5
6448,1898-08-28,0.0,15.7,20.9,10.3
6813,1899-08-28,4.2,9.9,11.6,9.0
7178,1900-08-28,0.0,10.9,13.9,8.0
7543,1901-08-28,17.6,15.0,16.9,11.4
7908,1902-08-28,0.0,14.2,18.5,9.2
8273,1903-08-28,6.9,13.7,16.3,10.2
8639,1904-08-28,3.7,11.0,12.3,9.6
9004,1905-08-28,0.0,11.4,16.3,5.0
9369,1906-08-28,1.7,9.2,13.4,7.1
9734,1907-08-28,2.9,11.3,15.2,9.3
10100,1908-08-28,0.1,14.3,18.2,11.1
10465,1909-08-28,0.8,15.9,20.3,14.5
10830,1910-08-28,2.0,12.4,14.9,10.6
11195,1911-08-28,0.3,16.2,19.3,12.5
11561,1912-08-28,3.1,15.7,19.6,13.5
11926,1913-08-28,0.0,18.0,22.3,15.3
12291,1914-08-28,0.0,13.2,17.7,8.9
12656,1915-08-28,0.0,15.0,18.9,9.4
13022,1916-08-28,1.1,12.3,14.0,10.3
13387,1917-08-28,0.0,17.4,22.1,11.1
13752,1918-08-28,0.4,11.8,15.5,9.0
14117,1919-08-28,3.8,13.4,18.2,9.3
14483,1920-08-28,0.0,19.7,23.7,16.4
14848,1921-08-28,2.5,14.5,17.9,11.4
15213,1922-08-28,0.0,15.1,18.5,9.6
15578,1923-08-28,0.0,17.5,21.9,11.3
15944,1924-08-28,0.0,11.6,17.1,4.0
16309,1925-08-28,12.4,12.1,15.1,10.7
16674,1926-08-28,3.1,13.7,17.2,11.9
17039,1927-08-28,0.4,15.7,19.5,12.1
17405,1928-08-28,4.3,13.2,15.6,11.3
17770,1929-08-28,0.0,12.5,15.5,9.5
18135,1930-08-28,0.0,19.5,23.5,15.9
