,DATE,PRCP,TAVG,TMAX,TMIN
318,1881-11-15,0.0,-1.5,6.0,-7.5
683,1882-11-15,0.2,-8.5,,-14.1
1048,1883-11-15,0.3,5.3,6.4,2.1
1414,1884-11-15,0.3,0.7,3.1,-2.0
1779,1885-11-15,1.9,1.3,3.9,-3.1
2144,1886-11-15,0.1,4.2,5.9,3.7
2509,1887-11-15,0.0,-12.0,-8.4,-15.5
2875,1888-11-15,0.1,0.2,1.3,-1.5
3240,1889-11-15,0.0,3.0,3.5,2.3
3605,1890-11-15,0.0,2.2,4.4,0.8
3970,1891-11-15,0.3,-8.4,-5.7,-11.2
4336,1892-11-15,0.0,-1.6,-0.2,-1.9
4701,1893-11-15,0.9,1.1,2.9,0.4
5066,1894-11-15,0.0,3.7,4.2,2.4
5431,1895-11-15,0.4,5.3,6.5,4.0
5797,1896-11-15,0.0,-5.0,-2.6,-11.8
6162,1897-11-15,0.8,5.6,7.9,4.1
6527,1898-11-15,0.6,0.7,1.0,0.1
6892,1899-11-15,0.9,-2.3,-1.7,-3.6
7257,1900-11-15,0.1,-3.0,-1.7,-4.3
7622,1901-11-15,0.7,2.1,3.5,-5.3
7987,1902-11-15,0.0,-4.2,-0.2,-5.9
8352,1903-11-15,0.0,0.1,,-3.9
8718,1904-11-15,0.0,-5.5,-4.5,-7.9
9083,1905-11-15,3.1,-3.3,-3.0,-4.1
9448,1906-11-15,0.0,-3.7,-2.0,-7.2
9813,1907-11-15,0.0,0.3,1.3,-0.6
10179,1908-11-15,0.0,-0.6,0.7,-12.2
10544,1909-11-15,3.1,-2.2,1.4,-4.8
10909,1910-11-15,0.0,-8.8,-7.5,-10.3
11274,1911-11-15,8.6,0.6,1.9,-2.4
11640,1912-11-15,0.6,0.5,1.4,-0.8
12005,1913-11-15,4.8,0.9,1.4,0.5
12370,1914-11-15,0.0,3.4,4.3,1.6
12735,1915-11-15,5.2,1.9,3.8,0.5
13101,1916-11-15,0.0,-5.3,-3.9,-6.1
13466,1917-11-15,1.4,1.2,2.5,0.7
13831,1918-11-15,0.1,2.9,4.1,-0.8
14196,1919-11-15,0.0,-9.2,-8.7,-9.8
14562,1920-11-15,9.7,4.3,6.2,1.1
14927,1921-11-15,0.0,-6.1,-4.6,-8.6
15292,1922-11-15,0.2,2.6,3.7,1.7
15657,1923-11-15,6.9,7.2,7.9,3.5
16023,1924-11-15,0.3,0.2,1.4,-1.4
16388,1925-11-15,11.2,1.6,2.4,-1.1
16753,1926-11-15,3.6,6.5,7.3,4.0
17118,1927-11-15,0.6,-3.4,-2.8,-4.8
17484,1928-11-15,7.1,4.8,5.5,4.1
17849,1929-11-15,0.0,2.9,5.6,1.3
18214,1930-11-15,4.5,1.1,3.9,-0.5
18579,1931-11-15,15.3,3.4,3.8,2.9
18945,1932-11-15,1.3,2.6,4.2,1.6
