,DATE,PRCP,TAVG,TMAX,TMIN
290,1881-10-18,0.0,5.2,7.2,3.1
655,1882-10-18,0.4,2.8,,1.1
1020,1883-10-18,1.2,6.1,7.5,3.0
1386,1884-10-18,0.0,-0.7,0.2,-2.4
1751,1885-10-18,0.0,2.3,5.8,1.1
2116,1886-10-18,1.6,6.3,7.7,3.8
2481,1887-10-18,3.1,3.4,5.2,1.3
2847,1888-10-18,0.1,0.4,1.5,-0.3
3212,1889-10-18,0.0,7.2,9.5,4.6
3577,1890-10-18,1.3,10.5,12.1,8.5
3942,1891-10-18,1.0,9.0,11.5,4.4
4308,1892-10-18,1.1,0.9,3.1,-2.5
4673,1893-10-18,0.0,1.0,3.1,0.0
5038,1894-10-18,0.0,0.6,3.7,-1.8
5403,1895-10-18,0.8,3.4,5.8,1.2
5769,1896-10-18,3.3,5.1,8.3,3.1
6134,1897-10-18,0.2,9.3,10.4,8.4
6499,1898-10-18,1.0,-4.3,-1.6,-8.4
6864,1899-10-18,1.4,5.4,7.4,4.6
7229,1900-10-18,1.9,4.2,6.6,1.6
7594,1901-10-18,0.0,6.9,9.3,4.8
7959,1902-10-18,2.8,5.9,6.9,4.1
8324,1903-10-18,0.6,-1.0,,-2.1
8690,1904-10-18,0.5,7.5,8.7,5.6
9055,1905-10-18,0.0,1.1,3.3,-1.6
9420,1906-10-18,0.3,10.7,12.2,9.5
9785,1907-10-18,0.0,9.0,13.2,5.8
10151,1908-10-18,0.0,1.0,2.2,0.4
10516,1909-10-18,0.2,12.9,14.0,11.6
10881,1910-10-18,0.0,7.5,9.5,6.1
11246,1911-10-18,0.0,5.6,7.0,4.2
11612,1912-10-18,0.1,2.8,4.4,-0.2
11977,1913-10-18,2.7,6.6,9.5,3.0
12342,1914-10-18,0.0,4.6,11.5,0.1
12707,1915-10-18,0.0,1.5,5.7,-2.3
13073,1916-10-18,0.0,2.0,4.9,0.2
13438,1917-10-18,0.0,5.4,6.0,3.9
13803,1918-10-18,0.0,9.8,15.2,4.8
14168,1919-10-18,0.5,2.8,4.8,0.5
14534,1920-10-18,0.0,1.7,2.8,-0.4
14899,1921-10-18,1.1,6.4,8.0,3.3
15264,1922-10-18,0.0,0.5,3.8,-2.6
15629,1923-10-18,2.7,5.4,7.7,3.9
15995,1924-10-18,0.0,2.7,3.3,1.4
16360,1925-10-18,0.3,-1.1,0.4,-3.1
16725,1926-10-18,0.0,1.4,5.0,-2.0
17090,1927-10-18,5.6,1.2,2.2,0.6
17456,1928-10-18,0.0,-1.1,1.6,-3.4
17821,1929-10-18,0.0,-0.5,3.1,-3.2
18186,1930-10-18,0.1,8.4,9.6,7.4
18551,1931-10-18,0.0,2.6,8.5,0.7
18917,1932-10-18,1.5,6.7,8.0,4.8
19282,1933-10-18,0.0,6.7,10.2,4.4
19647,1934-10-18,0.0,5.2,7.1,2.9
20012,1935-10-18,4.5,7.2,9.1,4.8
20378,1936-10-18,3.4,-2.4,1.2,-5.2
20743,1937-10-18,0.0,7.7,10.3,4.8
21108,1938-10-18,7.3,8.8,10.1,5.5
21473,1939-10-18,0.0,2.2,3.2,-0.3
21839,1940-10-18,0.0,6.5,7.3,6.0
22204,1941-10-18,0.4,-0.6,1.2,-2.0
22569,1942-10-18,0.0,1.9,5.5,-0.9
22934,1943-10-18,0.0,9.6,13.3,8.0
23300,1944-10-18,0.0,10.8,13.6,7.7
23665,1945-10-18,0.3,-0.8,1.5,-4.7
24030,1946-10-18,0.0,0.0,4.2,-4.3
24395,1947-10-18,0.0,2.7,7.2,-0.7
24761,1948-10-18,0.0,8.0,11.5,4.2
25126,1949-10-18,1.9,7.4,10.3,3.5
25491,1950-10-18,0.0,5.0,7.2,2.7
25856,1951-10-18,0.0,5.4,8.4,3.6
26222,1952-10-18,5.8,1.4,2.6,0.2
26587,1953-10-18,0.0,6.3,7.3,5.2
26952,1954-10-18,0.0,0.6,5.6,-2.7
27317,1955-10-18,0.0,3.8,5.9,0.6
27683,1956-10-18,0.6,5.1,7.7,1.8
28048,1957-10-18,2.8,6.9,8.6,4.6
28413,1958-10-18,0.3,5.4,7.1,4.4
28778,1959-10-18,0.0,6.5,9.7,5.4
29144,1960-10-18,0.0,2.6,5.0,1.6
29509,1961-10-18,0.0,9.1,11.0,7.5
29874,1962-10-18,12.2,5.6,7.6,0.5
30239,1963-10-18,0.0,5.4,8.4,2.1
30605,1964-10-18,0.0,8.7,11.5,6.4
30970,1965-10-18,0.0,0.5,3.0,-0.9
31335,1966-10-18,1.5,7.5,8.9,5.9
31700,1967-10-18,20.7,7.6,13.6,1.5
32066,1968-10-18,6.6,4.6,5.5,2.8
32431,1969-10-18,0.0,6.3,11.0,2.5
32796,1970-10-18,0.4,7.5,8.9,6.0
33161,1971-10-18,0.7,4.1,5.6,2.5
33527,1972-10-18,0.0,3.3,6.7,0.7
33892,1973-10-18,5.3,0.3,2.5,-1.5
34257,1974-10-18,4.8,4.8,6.3,3.6
34622,1975-10-18,2.5,7.9,9.5,6.4
34988,1976-10-18,0.0,-1.5,2.1,-4.6
35353,1977-10-18,11.9,3.4,7.8,-0.7
35718,1978-10-18,0.0,6.6,8.3,4.9
36083,1979-10-18,0.5,5.7,9.7,4.0
36449,1980-10-18,0.0,7.8,12.6,3.9
36814,1981-10-18,0.3,5.3,6.5,4.1
37179,1982-10-18,0.9,0.3,2.0,-0.5
37544,1983-10-18,0.6,11.0,13.2,9.8
37910,1984-10-18,1.4,8.0,9.9,4.7
38275,1985-10-18,0.1,2.1,5.5,-2.1
38640,1986-10-18,0.0,4.7,8.9,1.0
