,DATE,PRCP,TAVG,TMAX,TMIN
167,1881-06-17,0.0,15.0,18.8,8.5
532,1882-06-17,0.0,14.0,,9.4
897,1883-06-17,0.1,21.8,,11.1
1263,1884-06-17,2.8,13.2,16.5,8.5
1628,1885-06-17,4.9,9.2,11.7,7.0
1993,1886-06-17,0.0,19.5,24.2,14.2
2358,1887-06-17,0.0,15.7,18.3,9.3
2724,1888-06-17,1.7,11.8,13.4,9.0
3089,1889-06-17,0.0,21.3,26.4,13.4
3454,1890-06-17,0.0,14.7,17.6,10.0
3819,1891-06-17,0.0,15.8,20.7,9.2
4185,1892-06-17,0.0,11.5,13.3,9.5
4550,1893-06-17,0.0,11.6,15.1,4.1
4915,1894-06-17,0.0,20.0,25.2,13.5
5280,1895-06-17,9.9,17.1,21.5,15.5
5646,1896-06-17,0.0,20.0,24.0,14.9
6011,1897-06-17,0.0,13.8,18.9,11.1
6376,1898-06-17,0.0,15.0,18.4,10.9
6741,1899-06-17,0.0,19.0,24.1,9.8
7106,1900-06-17,1.8,6.2,9.6,5.5
7471,1901-06-17,0.0,15.7,19.5,9.5
7836,1902-06-17,2.6,14.7,16.4,13.2
8201,1903-06-17,0.0,17.4,22.2,10.5
8567,1904-06-17,0.0,15.9,19.3,12.7
8932,1905-06-17,0.0,22.6,27.3,17.1
9297,1906-06-17,0.0,18.8,22.8,13.0
9662,1907-06-17,0.0,18.7,23.1,13.3
10028,1908-06-17,0.0,19.9,24.9,10.0
10393,1909-06-17,0.0,15.2,18.7,9.4
10758,1910-06-17,0.0,16.8,19.7,11.2
11123,1911-06-17,0.0,11.8,14.5,6.0
11489,1912-06-17,4.0,16.3,21.5,11.1
11854,1913-06-17,1.9,11.7,14.3,8.6
12219,1914-06-17,0.0,13.0,16.1,9.7
12584,1915-06-17,3.6,12.0,14.4,8.6
12950,1916-06-17,25.4,9.9,15.3,8.9
13315,1917-06-17,0.0,20.9,25.7,15.4
13680,1918-06-17,0.0,13.9,18.1,8.0
14045,1919-06-17,0.0,15.1,18.2,12.6
14411,1920-06-17,0.0,16.0,20.2,11.1
14776,1921-06-17,0.0,14.9,18.7,11.1
15141,1922-06-17,0.0,16.7,19.9,12.2
15506,1923-06-17,0.0,15.0,18.8,7.9
15872,1924-06-17,0.0,11.6,14.6,9.5
16237,1925-06-17,4.0,15.3,20.4,11.1
16602,1926-06-17,0.2,9.1,12.0,8.1
16967,1927-06-17,5.8,10.6,12.5,9.4
17333,1928-06-17,0.3,12.1,14.9,8.1
17698,1929-06-17,0.0,16.3,19.5,13.4
18063,1930-06-17,0.0,14.0,16.1,10.9
18428,1931-06-17,11.7,12.2,15.2,9.8
18794,1932-06-17,2.0,16.5,23.1,8.0
19159,1933-06-17,0.0,22.5,26.4,14.7
19524,1934-06-17,0.1,12.9,17.5,9.6
19889,1935-06-17,0.0,18.9,24.1,13.4
20255,1936-06-17,0.0,17.8,23.0,16.0
20620,1937-06-17,0.0,20.7,26.1,13.0
20985,1938-06-17,3.6,11.9,16.2,9.8
21350,1939-06-17,0.0,20.4,24.0,15.5
21716,1940-06-17,0.0,13.7,18.8,7.5
22081,1941-06-17,0.0,15.3,18.9,13.1
22446,1942-06-17,0.0,15.4,20.1,10.0
22811,1943-06-17,0.0,14.3,19.4,10.8
23177,1944-06-17,1.9,16.0,22.7,10.6
23542,1945-06-17,4.7,14.1,18.4,11.5
23907,1946-06-17,0.0,17.5,21.3,13.6
