,DATE,PRCP,TAVG,TMAX,TMIN
288,1881-10-16,0.0,6.0,8.6,4.3
653,1882-10-16,0.0,-3.6,,-8.0
1018,1883-10-16,0.0,4.1,6.4,-0.5
1384,1884-10-16,4.6,2.1,4.1,0.0
1749,1885-10-16,0.1,7.3,8.3,5.0
2114,1886-10-16,0.0,6.3,8.4,3.8
2479,1887-10-16,0.0,1.3,3.5,-0.6
2845,1888-10-16,2.5,3.8,6.0,1.7
3210,1889-10-16,0.7,11.6,14.0,9.6
3575,1890-10-16,0.3,6.6,8.8,4.8
3940,1891-10-16,1.2,9.1,12.9,4.9
4306,1892-10-16,6.7,2.4,4.8,0.8
4671,1893-10-16,0.8,4.3,6.1,2.7
5036,1894-10-16,0.1,0.2,6.7,-1.1
5401,1895-10-16,8.3,3.2,6.8,1.6
5767,1896-10-16,0.0,3.6,7.3,-0.8
6132,1897-10-16,0.0,7.0,9.9,4.2
6497,1898-10-16,0.0,-1.3,0.4,-2.5
6862,1899-10-16,8.3,6.4,7.4,5.5
7227,1900-10-16,0.0,5.9,8.2,2.2
7592,1901-10-16,0.0,5.5,7.6,4.2
7957,1902-10-16,2.6,-3.2,-1.8,-4.3
8322,1903-10-16,9.1,-0.3,,-1.8
8688,1904-10-16,4.3,8.5,10.9,6.3
9053,1905-10-16,0.3,3.6,5.9,1.0
9418,1906-10-16,0.5,7.6,10.2,2.7
9783,1907-10-16,0.0,12.8,17.6,8.2
10149,1908-10-16,0.0,3.2,4.0,2.2
10514,1909-10-16,0.0,11.2,14.8,7.4
10879,1910-10-16,0.0,7.4,10.3,5.7
11244,1911-10-16,0.0,1.6,4.0,0.3
11610,1912-10-16,1.2,6.3,7.0,5.2
11975,1913-10-16,0.0,3.1,6.6,0.8
12340,1914-10-16,0.0,4.7,6.3,3.2
12705,1915-10-16,0.0,4.5,9.8,0.7
13071,1916-10-16,0.0,9.4,11.9,6.3
13436,1917-10-16,3.6,8.2,13.7,6.7
13801,1918-10-16,0.2,8.4,9.8,6.7
14166,1919-10-16,13.8,5.0,7.8,3.5
14532,1920-10-16,0.0,1.6,3.5,-1.0
14897,1921-10-16,0.3,3.3,5.3,-0.4
15262,1922-10-16,3.2,5.7,8.3,4.0
15627,1923-10-16,0.0,5.5,8.3,2.8
15993,1924-10-16,0.0,4.4,5.8,2.9
