,DATE,PRCP,TAVG,TMAX,TMIN
342,1881-12-09,0.1,-5.0,-3.7,-6.2
707,1882-12-09,2.1,-1.8,,-4.2
1072,1883-12-09,1.7,-0.2,1.8,-7.4
1438,1884-12-09,1.4,0.6,3.1,-1.7
1803,1885-12-09,0.0,-11.6,-10.1,-13.6
2168,1886-12-09,0.5,1.6,2.5,0.9
2533,1887-12-09,4.2,-2.0,-1.1,-3.3
2899,1888-12-09,0.0,2.1,3.2,1.6
3264,1889-12-09,0.0,-7.9,-6.3,-18.3
3629,1890-12-09,0.0,-7.0,-5.3,-9.1
3994,1891-12-09,0.0,-6.1,-5.5,-7.5
4360,1892-12-09,0.1,-5.1,-4.0,-7.2
4725,1893-12-09,0.0,-3.7,-3.1,-4.2
5090,1894-12-09,2.4,-9.7,-8.4,-11.0
5455,1895-12-09,0.4,-3.2,-0.6,-4.1
5821,1896-12-09,1.5,-5.9,-4.5,-8.0
6186,1897-12-09,0.0,-8.5,-3.0,-12.6
6551,1898-12-09,0.0,-0.2,5.0,-1.6
6916,1899-12-09,0.2,-11.5,-8.0,-14.8
7281,1900-12-09,7.6,0.7,2.6,-4.4
7646,1901-12-09,2.7,-2.3,-1.0,-4.7
8011,1902-12-09,0.1,-6.5,-4.4,-8.7
8376,1903-12-09,0.4,1.6,,0.9
8742,1904-12-09,5.6,-6.0,0.4,-7.7
9107,1905-12-09,0.1,2.9,3.5,2.6
9472,1906-12-09,0.2,-1.7,2.7,-4.1
9837,1907-12-09,0.0,-5.5,-2.1,-6.7
10203,1908-12-09,0.1,3.1,3.4,1.8
10568,1909-12-09,0.1,0.8,2.2,0.1
10933,1910-12-09,3.2,0.6,0.9,0.2
11298,1911-12-09,0.0,-6.5,-3.8,-7.8
11664,1912-12-09,3.7,0.0,1.5,-1.3
12029,1913-12-09,2.7,-2.1,-0.8,-4.3
12394,1914-12-09,0.3,5.1,5.5,2.6
12759,1915-12-09,2.9,-5.6,-2.5,-11.6
13125,1916-12-09,0.0,-4.5,-3.4,-5.1
13490,1917-12-09,0.7,-1.8,0.3,-2.3
13855,1918-12-09,0.3,-10.4,-4.5,-13.8
