,DATE,TMIN
286,1881-10-14,5.0
651,1882-10-14,0.3
1016,1883-10-14,-1.4
1382,1884-10-14,3.9
1747,1885-10-14,7.3
2112,1886-10-14,5.9
2477,1887-10-14,1.5
2843,1888-10-14,7.4
3208,1889-10-14,10.2
3573,1890-10-14,1.4
3938,1891-10-14,-1.2
4304,1892-10-14,1.4
4669,1893-10-14,5.6
5034,1894-10-14,4.2
5399,1895-10-14,4.1
5765,1896-10-14,0.2
6130,1897-10-14,3.8
6495,1898-10-14,-3.0
6860,1899-10-14,5.5
7225,1900-10-14,6.0
7590,1901-10-14,3.0
7955,1902-10-14,0.1
8320,1903-10-14,-1.2
8686,1904-10-14,5.5
9051,1905-10-14,3.6
9416,1906-10-14,4.3
9781,1907-10-14,7.7
10147,1908-10-14,8.1
10512,1909-10-14,9.6
10877,1910-10-14,-1.0
11242,1911-10-14,-1.0
11608,1912-10-14,2.2
11973,1913-10-14,3.2
12338,1914-10-14,0.5
12703,1915-10-14,1.7
13069,1916-10-14,0.8
13434,1917-10-14,7.7
13799,1918-10-14,11.9
14164,1919-10-14,0.1
14530,1920-10-14,3.2
14895,1921-10-14,7.2
15260,1922-10-14,6.4
15625,1923-10-14,4.2
15991,1924-10-14,9.1
16356,1925-10-14,0.3
16721,1926-10-14,0.8
17086,1927-10-14,-1.5
17452,1928-10-14,0.8
17817,1929-10-14,5.1
18182,1930-10-14,5.8
18547,1931-10-14,7.0
18913,1932-10-14,6.7
19278,1933-10-14,4.9
19643,1934-10-14,5.0
20008,1935-10-14,8.2
20374,1936-10-14,1.2
20739,1937-10-14,-1.0
21104,1938-10-14,7.5
21469,1939-10-14,-0.3
21835,1940-10-14,3.1
22200,1941-10-14,-4.6
22565,1942-10-14,2.4
22930,1943-10-14,6.5
23296,1944-10-14,4.0
23661,1945-10-14,0.9
24026,1946-10-14,-3.9
24391,1947-10-14,9.5
24757,1948-10-14,3.2
25122,1949-10-14,7.2
25487,1950-10-14,4.4
25852,1951-10-14,3.4
26218,1952-10-14,2.1
26583,1953-10-14,5.7
26948,1954-10-14,6.3
27313,1955-10-14,11.1
27679,1956-10-14,3.3
28044,1957-10-14,7.6
28409,1958-10-14,4.7
28774,1959-10-14,1.8
29140,1960-10-14,2.6
29505,1961-10-14,6.1
29870,1962-10-14,1.8
30235,1963-10-14,4.0
30601,1964-10-14,8.3
30966,1965-10-14,3.8
31331,1966-10-14,1.0
31696,1967-10-14,10.2
32062,1968-10-14,8.1
32427,1969-10-14,7.3
32792,1970-10-14,-2.4
33157,1971-10-14,0.4
33523,1972-10-14,6.6
33888,1973-10-14,-1.2
34253,1974-10-14,4.3
34618,1975-10-14,4.8
34984,1976-10-14,-5.3
35349,1977-10-14,-0.6
35714,1978-10-14,6.1
36079,1979-10-14,6.2
36445,1980-10-14,6.4
36810,1981-10-14,3.4
37175,1982-10-14,4.8
37540,1983-10-14,3.1
37906,1984-10-14,3.4
38271,1985-10-14,5.9
38636,1986-10-14,4.5
39001,1987-10-14,4.8
39367,1988-10-14,3.7
39732,1989-10-14,4.1
40097,1990-10-14,5.8
40462,1991-10-14,4.2
40828,1992-10-14,-6.4
41193,1993-10-14,1.5
41558,1994-10-14,1.5
41923,1995-10-14,6.8
42289,1996-10-14,0.0
42654,1997-10-14,3.1
43019,1998-10-14,6.7
43384,1999-10-14,5.3
43750,2000-10-14,9.3
44115,2001-10-14,7.3
44480,2002-10-14,-2.2
44845,2003-10-14,5.4
45211,2004-10-14,6.2
45576,2005-10-14,5.8
45941,2006-10-14,7.3
46306,2007-10-14,3.1
46672,2008-10-14,8.5
47037,2009-10-14,1.5
47402,2010-10-14,1.9
47767,2011-10-14,2.7
48133,2012-10-14,1.7
48498,2013-10-14,-0.2
48863,2014-10-14,5.5
49207,2015-10-14,
49573,2016-10-14,1.5
49938,2017-10-14,4.4
50302,2018-10-14,9.7
