,09-21
1881,1.0
1882,5.2
1883,4.5
1884,1.1
1885,7.2
1886,1.3
1887,7.3
1888,7.3
1889,7.2
1890,11.0
1891,7.9
1892,6.0
1893,5.0
1894,0.8
1895,5.1
1896,5.7
1897,8.0
1898,4.0
1899,10.0
1900,10.2
1901,12.0
1902,2.0
1903,6.4
1904,8.1
1905,6.8
1906,7.1
1907,2.9
1908,10.0
1909,10.3
1910,2.7
1911,4.1
1912,6.6
1913,5.1
1914,6.6
1915,3.8
1916,6.5
1917,7.9
1918,8.2
1919,8.5
1920,8.9
1921,4.5
1922,4.1
1923,9.7
1924,8.7
1925,1.6
1926,9.0
1927,6.6
1928,8.7
1929,7.4
1930,2.3
1931,7.6
1932,7.0
1933,10.0
1934,12.1
1935,11.6
1936,11.7
1937,14.7
1938,7.0
1939,12.0
1940,9.7
1941,10.0
1942,-2.4
1943,10.6
1944,7.1
1945,3.9
1946,10.3
1947,4.4
1948,4.7
1949,11.7
1950,11.2
1951,6.3
1952,6.6
1953,9.1
1954,5.9
1955,8.5
1956,7.2
1957,5.0
1958,9.4
1959,1.2
1960,3.5
1961,2.8
1962,7.2
1963,2.0
1964,5.4
1965,5.3
1966,5.1
1967,2.7
1968,9.4
1969,3.6
1970,8.0
1971,8.6
1972,3.9
1973,6.8
1974,8.5
1975,8.6
1976,2.6
1977,6.2
1978,5.1
1979,8.5
1980,7.3
1981,5.8
1982,11.1
1983,12.6
1984,8.8
1985,7.5
1986,6.8
1987,6.5
1988,6.8
1989,11.0
1990,8.4
1991,7.5
1992,8.6
1993,5.9
1994,10.4
1995,6.0
1996,2.2
1997,6.2
1998,9.3
1999,6.4
2000,5.0
2001,8.9
2002,1.4
2003,7.7
2004,11.9
2005,13.0
2006,12.3
2007,11.2
2008,7.8
2009,11.2
2010,8.4
2011,12.1
2012,9.3
2013,12.3
2014,
2015,
2016,
2017,
2018,
