,DATE,TMIN
36,1881-02-06,-15.4
401,1882-02-06,-9.4
766,1883-02-06,-17.8
1131,1884-02-06,-6.6
1497,1885-02-06,-3.6
1862,1886-02-06,-19.7
2227,1887-02-06,-3.6
2592,1888-02-06,-18.0
2958,1889-02-06,-20.0
3323,1890-02-06,-7.5
3688,1891-02-06,-8.2
4053,1892-02-06,-13.2
4419,1893-02-06,-27.3
4784,1894-02-06,-13.1
5149,1895-02-06,-20.3
5514,1896-02-06,-4.5
5880,1897-02-06,-21.1
6245,1898-02-06,-12.9
6610,1899-02-06,-23.7
6975,1900-02-06,0.3
7340,1901-02-06,-5.8
7705,1902-02-06,-23.9
8070,1903-02-06,-1.5
8435,1904-02-06,-17.7
8801,1905-02-06,-9.9
9166,1906-02-06,-7.7
9531,1907-02-06,-8.3
9896,1908-02-06,-6.0
10262,1909-02-06,-16.5
10627,1910-02-06,-4.7
10992,1911-02-06,-22.8
11357,1912-02-06,
11723,1913-02-06,-4.6
12088,1914-02-06,-2.8
12453,1915-02-06,-15.2
12818,1916-02-06,-7.8
13184,1917-02-06,-17.7
13549,1918-02-06,-1.5
13914,1919-02-06,-13.6
14279,1920-02-06,-6.5
14645,1921-02-06,-19.5
15010,1922-02-06,-17.7
15375,1923-02-06,-19.0
15740,1924-02-06,-10.8
16106,1925-02-06,-2.3
16471,1926-02-06,-22.8
16836,1927-02-06,-4.2
17201,1928-02-06,-13.8
17567,1929-02-06,-31.4
17932,1930-02-06,-9.0
18297,1931-02-06,-23.6
18662,1932-02-06,-16.3
19028,1933-02-06,-7.4
19393,1934-02-06,-2.4
19758,1935-02-06,-10.0
20123,1936-02-06,-8.5
20489,1937-02-06,-1.3
20854,1938-02-06,0.6
21219,1939-02-06,-5.6
21584,1940-02-06,-15.3
21950,1941-02-06,-24.7
22315,1942-02-06,-20.1
22680,1943-02-06,-9.8
23045,1944-02-06,-12.9
23411,1945-02-06,-9.0
23776,1946-02-06,-7.6
24141,1947-02-06,-24.1
24506,1948-02-06,-18.8
24872,1949-02-06,-9.5
25237,1950-02-06,-9.8
25602,1951-02-06,-15.3
25967,1952-02-06,-4.0
26333,1953-02-06,-24.3
26698,1954-02-06,-13.9
27063,1955-02-06,1.0
27428,1956-02-06,-35.2
27794,1957-02-06,1.4
28159,1958-02-06,-14.3
28524,1959-02-06,-10.5
28889,1960-02-06,-9.9
29255,1961-02-06,-8.3
29620,1962-02-06,-1.2
29985,1963-02-06,-8.8
30350,1964-02-06,-1.9
30716,1965-02-06,-16.2
31081,1966-02-06,-25.8
31446,1967-02-06,-11.6
31811,1968-02-06,-3.7
32177,1969-02-06,-19.0
32542,1970-02-06,-13.7
32907,1971-02-06,-8.4
33272,1972-02-06,-12.9
33638,1973-02-06,-1.3
34003,1974-02-06,-0.4
34368,1975-02-06,-1.4
34733,1976-02-06,-21.4
35099,1977-02-06,-8.0
35464,1978-02-06,-12.5
35829,1979-02-06,-19.1
36194,1980-02-06,-9.5
36560,1981-02-06,-7.5
36925,1982-02-06,-20.2
37290,1983-02-06,-12.7
37655,1984-02-06,-5.2
38021,1985-02-06,-22.6
38386,1986-02-06,-13.5
38751,1987-02-06,0.6
39116,1988-02-06,0.7
39482,1989-02-06,0.8
39847,1990-02-06,2.2
40212,1991-02-06,-12.9
40577,1992-02-06,-2.4
40943,1993-02-06,-4.5
41308,1994-02-06,-17.7
41673,1995-02-06,-1.1
42038,1996-02-06,-23.5
42404,1997-02-06,-7.0
42769,1998-02-06,-19.6
43134,1999-02-06,-20.6
43499,2000-02-06,-9.4
43865,2001-02-06,-17.0
44230,2002-02-06,2.4
44595,2003-02-06,-8.7
44960,2004-02-06,-5.6
45326,2005-02-06,-7.0
45691,2006-02-06,-22.0
46056,2007-02-06,-19.6
46421,2008-02-06,0.7
46787,2009-02-06,-7.1
47152,2010-02-06,-10.5
47517,2011-02-06,-5.5
47882,2012-02-06,-20.5
48248,2013-02-06,-4.3
48613,2014-02-06,
48978,2015-02-06,
49322,2016-02-06,-8.3
49688,2017-02-06,
50053,2018-02-06,
50411,2019-02-06,
