,04-27
1881,3.8
1882,4.8
1883,-1.6
1884,-0.1
1885,-1.0
1886,-6.1
1887,5.0
1888,-7.1
1889,-1.2
1890,9.4
1891,0.0
1892,2.5
1893,-1.5
1894,6.4
1895,5.1
1896,2.1
1897,1.5
1898,2.8
1899,0.7
1900,-1.5
1901,1.7
1902,-6.0
1903,8.2
1904,4.1
1905,1.7
1906,8.9
1907,2.4
1908,5.8
1909,2.6
1910,4.5
1911,-1.0
1912,1.2
1913,8.6
1914,3.0
1915,0.2
1916,4.6
1917,-3.9
1918,4.9
1919,5.7
1920,5.9
1921,6.1
1922,4.1
1923,-1.5
1924,-7.4
1925,4.7
1926,-0.8
1927,0.8
1928,3.6
1929,-0.7
1930,-4.0
1931,7.4
1932,1.9
1933,0.5
1934,2.6
1935,0.4
1936,3.3
1937,4.6
1938,1.9
1939,3.2
1940,-1.1
1941,-2.4
1942,-3.9
1943,6.4
1944,-0.9
1945,-1.5
1946,6.8
1947,2.2
1948,1.5
1949,9.1
1950,5.3
1951,3.0
1952,6.1
1953,5.6
1954,-3.2
1955,0.9
1956,3.5
1957,4.4
1958,0.3
1959,3.0
1960,1.3
1961,3.5
1962,6.6
1963,0.5
1964,-1.1
1965,3.7
1966,1.5
1967,-0.7
1968,4.0
1969,2.4
1970,8.7
1971,-4.1
1972,2.1
1973,3.0
1974,-1.6
1975,3.9
1976,-2.4
1977,0.2
1978,-2.7
1979,5.1
1980,10.4
1981,-2.7
1982,0.8
1983,6.2
1984,-1.0
1985,-1.8
1986,14.6
1987,0.7
1988,-3.5
1989,12.0
1990,9.0
1991,0.3
1992,3.0
1993,6.9
1994,11.3
1995,2.3
1996,0.3
1997,0.3
1998,12.3
1999,7.1
2000,5.6
2001,11.0
2002,8.9
2003,-3.8
2004,0.7
2005,2.1
2006,4.3
2007,7.6
2008,3.8
2009,5.7
2010,3.6
2011,5.0
2012,6.4
2013,2.0
2014,
2016,
2017,
2018,
