,04-30
1881,-1.2
1882,6.0
1883,2.6
1884,2.6
1885,-0.2
1886,-4.4
1887,3.1
1888,5.0
1889,1.6
1890,9.3
1891,3.0
1892,5.5
1893,-0.1
1894,10.7
1895,2.7
1896,3.0
1897,8.9
1898,-1.3
1899,7.0
1900,-0.6
1901,2.5
1902,-7.7
1903,10.6
1904,2.1
1905,6.8
1906,4.6
1907,0.7
1908,2.5
1909,2.3
1910,6.1
1911,6.4
1912,-0.6
1913,-1.3
1914,-0.9
1915,-0.7
1916,4.1
1917,-5.1
1918,-1.5
1919,-3.8
1920,4.4
1921,2.0
1922,1.6
1923,-3.2
1924,-0.1
1925,7.8
1926,4.9
1927,0.3
1928,6.2
1929,-2.0
1930,1.9
1931,9.6
1932,0.8
1933,5.0
1934,2.7
1935,-4.8
1936,11.3
1937,4.2
1938,2.6
1939,2.7
1940,-3.1
1941,-0.4
1942,3.3
1943,1.0
1944,-1.0
1945,9.3
1946,7.3
1947,1.2
1948,0.2
1949,3.6
1950,2.2
1951,9.6
1952,7.9
1953,3.0
1954,0.8
1955,0.4
1956,-0.1
1957,3.4
1958,1.9
1959,7.7
1960,0.4
1961,-0.4
1962,0.5
1963,9.2
1964,9.5
1965,0.2
1966,2.1
1967,1.1
1968,1.5
1969,2.9
1970,3.6
1971,0.1
1972,-2.1
1973,7.6
1974,1.7
1975,7.2
1976,-1.2
1977,8.0
1978,-3.2
1979,3.4
1980,7.3
1981,-1.1
1982,6.6
1983,1.5
1984,1.9
1985,4.7
1986,2.4
1987,2.9
1988,0.8
1989,9.4
1990,6.8
1991,3.2
1992,9.3
1993,2.0
1994,5.1
1995,1.2
1996,4.4
1997,7.5
1998,10.3
1999,1.9
2000,2.9
2001,8.3
2002,6.1
2003,4.0
2004,4.1
2005,2.5
2006,2.6
2007,-0.4
2008,9.0
2009,2.4
2010,6.8
2011,3.1
2012,2.4
2013,5.0
2014,
2015,
2016,
2017,
2018,
