,DATE,TMIN
292,1881-10-20,2.9
657,1882-10-20,-1.7
1022,1883-10-20,4.4
1388,1884-10-20,-1.4
1753,1885-10-20,-2.4
2118,1886-10-20,0.7
2483,1887-10-20,3.1
2849,1888-10-20,-1.2
3214,1889-10-20,6.2
3579,1890-10-20,-0.6
3944,1891-10-20,2.4
4310,1892-10-20,-1.8
4675,1893-10-20,-2.3
5040,1894-10-20,-5.0
5405,1895-10-20,3.5
5771,1896-10-20,3.1
6136,1897-10-20,6.8
6501,1898-10-20,-0.8
6866,1899-10-20,1.1
7231,1900-10-20,1.1
7596,1901-10-20,-1.4
7961,1902-10-20,0.2
8326,1903-10-20,-3.0
8692,1904-10-20,2.1
9057,1905-10-20,-0.6
9422,1906-10-20,6.3
9787,1907-10-20,8.6
10153,1908-10-20,0.3
10518,1909-10-20,9.1
10883,1910-10-20,5.8
11248,1911-10-20,4.5
11614,1912-10-20,-1.1
11979,1913-10-20,-1.6
12344,1914-10-20,1.0
12709,1915-10-20,0.9
13075,1916-10-20,0.6
13440,1917-10-20,6.7
13805,1918-10-20,1.8
14170,1919-10-20,3.1
14536,1920-10-20,-4.1
14901,1921-10-20,8.6
15266,1922-10-20,1.9
15631,1923-10-20,2.4
15997,1924-10-20,1.4
16362,1925-10-20,-4.5
16727,1926-10-20,-1.2
17092,1927-10-20,1.8
17458,1928-10-20,-3.2
17823,1929-10-20,-2.1
18188,1930-10-20,7.2
18553,1931-10-20,1.6
18919,1932-10-20,3.9
19284,1933-10-20,0.5
19649,1934-10-20,3.0
20014,1935-10-20,4.5
20380,1936-10-20,-0.3
20745,1937-10-20,0.0
21110,1938-10-20,8.2
21475,1939-10-20,0.4
21841,1940-10-20,3.7
22206,1941-10-20,-1.0
22571,1942-10-20,1.5
22936,1943-10-20,6.7
23302,1944-10-20,11.1
23667,1945-10-20,-7.1
24032,1946-10-20,0.2
24397,1947-10-20,0.9
24763,1948-10-20,8.0
25128,1949-10-20,10.7
25493,1950-10-20,2.5
25858,1951-10-20,-0.3
26224,1952-10-20,1.1
26589,1953-10-20,3.1
26954,1954-10-20,-0.3
27319,1955-10-20,1.8
27685,1956-10-20,4.9
28050,1957-10-20,6.4
28415,1958-10-20,1.5
28780,1959-10-20,7.2
29146,1960-10-20,1.0
29511,1961-10-20,6.3
29876,1962-10-20,0.8
30241,1963-10-20,6.3
30607,1964-10-20,6.1
30972,1965-10-20,-6.1
31337,1966-10-20,7.1
31702,1967-10-20,0.7
32068,1968-10-20,-1.1
32433,1969-10-20,8.0
32798,1970-10-20,6.6
33163,1971-10-20,6.5
33529,1972-10-20,0.1
33894,1973-10-20,-4.9
34259,1974-10-20,1.3
34624,1975-10-20,-2.5
34990,1976-10-20,-2.8
35355,1977-10-20,-3.7
35720,1978-10-20,2.7
36085,1979-10-20,3.6
36451,1980-10-20,7.2
36816,1981-10-20,0.4
37181,1982-10-20,-6.8
37546,1983-10-20,5.6
37912,1984-10-20,9.0
38277,1985-10-20,5.5
38642,1986-10-20,4.6
39007,1987-10-20,1.8
39373,1988-10-20,-0.8
39738,1989-10-20,6.5
40103,1990-10-20,0.6
40468,1991-10-20,7.3
40834,1992-10-20,-3.0
41199,1993-10-20,6.4
41564,1994-10-20,-4.1
41929,1995-10-20,4.5
42295,1996-10-20,5.3
42660,1997-10-20,3.6
43025,1998-10-20,2.9
43390,1999-10-20,1.2
43756,2000-10-20,4.0
44121,2001-10-20,2.4
44486,2002-10-20,-4.7
44851,2003-10-20,-3.7
45217,2004-10-20,3.0
45582,2005-10-20,3.5
45947,2006-10-20,0.2
46312,2007-10-20,2.3
46678,2008-10-20,6.9
47043,2009-10-20,2.9
47408,2010-10-20,3.2
47773,2011-10-20,4.7
48139,2012-10-20,7.3
48504,2013-10-20,1.9
48869,2014-10-20,0.5
49213,2015-10-20,
49579,2016-10-20,
49944,2017-10-20,
50308,2018-10-20,
