,DATE,TMIN
60,1881-03-02,-10.4
425,1882-03-02,-9.2
790,1883-03-02,-12.9
1156,1884-03-02,-18.8
1521,1885-03-02,-10.5
1886,1886-03-02,-8.4
2251,1887-03-02,-2.1
2617,1888-03-02,-22.3
2982,1889-03-02,-13.5
3347,1890-03-02,-13.4
3712,1891-03-02,-2.1
4078,1892-03-02,-22.7
4443,1893-03-02,-6.5
4808,1894-03-02,-2.7
5173,1895-03-02,-14.5
5539,1896-03-02,-12.2
5904,1897-03-02,-9.5
6269,1898-03-02,-5.9
6634,1899-03-02,-15.6
6999,1900-03-02,-12.7
7364,1901-03-02,-11.4
7729,1902-03-02,0.2
8094,1903-03-02,-2.1
8460,1904-03-02,-6.2
8825,1905-03-02,-3.6
9190,1906-03-02,-4.9
9555,1907-03-02,-12.5
9921,1908-03-02,-6.2
10286,1909-03-02,-8.0
10651,1910-03-02,-0.4
11016,1911-03-02,-8.7
11382,1912-03-02,0.3
11747,1913-03-02,-20.2
12112,1914-03-02,-4.2
12477,1915-03-02,-9.9
12843,1916-03-02,-11.5
13208,1917-03-02,-19.7
13573,1918-03-02,-11.8
13938,1919-03-02,-14.4
14304,1920-03-02,-1.4
14669,1921-03-02,-3.4
15034,1922-03-02,-3.4
15399,1923-03-02,-17.8
15765,1924-03-02,-10.1
16130,1925-03-02,-3.8
16495,1926-03-02,-3.8
16860,1927-03-02,0.2
17226,1928-03-02,-3.9
17591,1929-03-02,-8.0
17956,1930-03-02,1.4
18321,1931-03-02,-11.4
18687,1932-03-02,-4.6
19052,1933-03-02,-12.8
19417,1934-03-02,-18.3
19782,1935-03-02,-11.4
20148,1936-03-02,0.6
20513,1937-03-02,-9.1
20878,1938-03-02,0.5
21243,1939-03-02,-3.9
21609,1940-03-02,-13.9
21974,1941-03-02,-2.0
22339,1942-03-02,-6.4
22704,1943-03-02,-6.4
23070,1944-03-02,-0.4
23435,1945-03-02,-2.6
23800,1946-03-02,-15.1
24165,1947-03-02,-12.7
24531,1948-03-02,-4.0
24896,1949-03-02,-19.2
25261,1950-03-02,-6.4
25626,1951-03-02,-17.1
25992,1952-03-02,-8.8
26357,1953-03-02,-3.0
26722,1954-03-02,-3.3
27087,1955-03-02,-14.9
27453,1956-03-02,-3.6
27818,1957-03-02,-12.1
28183,1958-03-02,-9.5
28548,1959-03-02,-4.6
28914,1960-03-02,-19.5
29279,1961-03-02,-0.6
29644,1962-03-02,-11.3
30009,1963-03-02,-8.2
30375,1964-03-02,-4.5
30740,1965-03-02,-14.8
31105,1966-03-02,-4.0
31470,1967-03-02,1.1
31836,1968-03-02,-4.5
32201,1969-03-02,-9.2
32566,1970-03-02,-5.6
32931,1971-03-02,-18.2
33297,1972-03-02,-13.4
33662,1973-03-02,-15.8
34027,1974-03-02,-2.8
34392,1975-03-02,-14.4
34758,1976-03-02,-1.3
35123,1977-03-02,-18.7
35488,1978-03-02,1.5
35853,1979-03-02,-1.9
36219,1980-03-02,-4.5
36584,1981-03-02,-9.0
36949,1982-03-02,-1.5
37314,1983-03-02,-16.7
37680,1984-03-02,-2.5
38045,1985-03-02,-6.3
38410,1986-03-02,-10.5
38775,1987-03-02,-17.9
39141,1988-03-02,-4.6
39506,1989-03-02,0.8
39871,1990-03-02,0.5
40236,1991-03-02,-7.4
40602,1992-03-02,0.7
40967,1993-03-02,-10.9
41332,1994-03-02,-18.3
41697,1995-03-02,0.7
42063,1996-03-02,-8.1
42428,1997-03-02,0.7
42793,1998-03-02,-6.9
43158,1999-03-02,-2.1
43524,2000-03-02,2.5
43889,2001-03-02,-8.4
44254,2002-03-02,-6.0
44619,2003-03-02,-12.1
44985,2004-03-02,-4.3
45350,2005-03-02,-16.5
45715,2006-03-02,-12.0
46080,2007-03-02,-0.6
46446,2008-03-02,-2.0
46811,2009-03-02,-3.7
47176,2010-03-02,-0.5
47541,2011-03-02,-9.8
47907,2012-03-02,0.1
48272,2013-03-02,-15.8
48637,2014-03-02,
49002,2015-03-02,
49347,2016-03-02,
49712,2017-03-02,
50077,2018-03-02,
50435,2019-03-02,
