,05-10
1881,-1.8
1882,2.6
1883,6.8
1884,3.2
1885,1.1
1886,5.3
1887,3.6
1888,1.3
1889,6.4
1890,0.2
1891,2.5
1892,3.4
1893,2.1
1894,7.4
1895,5.2
1896,-1.1
1897,11.2
1898,9.3
1899,3.4
1900,-2.4
1901,6.5
1902,1.6
1903,-1.5
1904,4.6
1905,9.0
1906,11.5
1907,3.6
1908,2.7
1909,0.4
1910,11.3
1911,8.1
1912,0.2
1913,4.1
1914,7.1
1915,2.7
1916,7.9
1917,-1.6
1918,-2.6
1919,3.2
1920,5.2
1921,10.1
1922,3.3
1923,3.2
1924,5.0
1925,13.1
1926,5.8
1927,-0.7
1928,8.3
1929,13.0
1930,5.9
1931,1.3
1932,8.0
1933,3.7
1934,12.1
1935,4.6
1936,4.6
1937,5.6
1938,3.5
1939,-1.1
1940,8.8
1941,-1.5
1942,-1.7
1943,11.6
1944,4.6
1945,-1.1
1946,1.4
1947,2.6
1948,6.4
1949,3.5
1950,3.5
1951,2.8
1952,4.8
1953,1.3
1954,7.6
1955,6.2
1956,4.7
1957,9.6
1958,4.5
1959,2.7
1960,4.3
1961,7.0
1962,5.9
1963,5.6
1964,6.3
1965,6.8
1966,5.5
1967,6.3
1968,3.9
1969,11.4
1970,5.9
1971,8.7
1972,-2.1
1973,5.4
1974,4.1
1975,10.0
1976,1.2
1977,4.6
1978,-0.6
1979,6.7
1980,4.1
1981,11.4
1982,10.1
1983,8.5
1984,2.0
1985,5.9
1986,6.8
1987,2.2
1988,2.4
1989,8.8
1990,2.6
1991,0.2
1992,4.4
1993,10.1
1994,7.7
1995,1.7
1996,4.9
1997,12.3
1998,3.6
1999,0.1
2000,5.3
2001,8.2
2002,5.6
2003,5.7
2004,11.9
2005,4.7
2006,6.9
2007,7.4
2008,9.1
2009,7.7
2010,6.9
2011,8.7
2012,11.3
2013,11.9
2014,
2015,
2016,
2017,
2018,
