,03-29
1881,-1.7
1882,2.9
1883,-16.1
1884,-5.4
1885,-2.0
1886,0.5
1887,-0.9
1888,-2.3
1889,-2.3
1890,0.3
1891,-3.7
1892,-7.5
1893,-9.0
1894,-0.8
1895,-2.1
1896,-11.9
1897,-1.4
1898,-9.6
1899,-6.8
1900,0.1
1901,-10.4
1902,-0.4
1903,2.1
1904,-9.4
1905,0.1
1906,-6.6
1907,-2.3
1908,-4.8
1909,0.6
1910,-4.2
1911,-12.7
1912,-0.9
1913,-7.2
1914,-0.3
1915,-14.6
1916,0.7
1917,-15.9
1918,-8.8
1919,-9.3
1920,-0.7
1921,-1.0
1922,0.8
1923,-3.5
1924,1.6
1925,0.2
1926,-6.7
1927,-6.6
1928,0.5
1929,-4.3
1930,-7.0
1931,-9.1
1932,-3.9
1933,0.4
1934,-2.0
1935,-5.0
1936,-6.3
1937,-0.5
1938,-7.1
1939,-4.9
1940,-4.3
1941,-12.6
1942,-18.6
1943,1.4
1944,-14.4
1945,0.6
1946,-4.2
1947,0.0
1948,-4.6
1949,-1.6
1950,-8.5
1951,1.3
1952,-21.5
1953,-8.9
1954,0.3
1955,-7.7
1956,-0.8
1957,0.9
1958,-12.8
1959,-4.1
1960,-4.3
1961,-3.7
1962,-3.6
1963,-17.7
1964,-6.9
1965,-0.3
1966,0.7
1967,3.7
1968,1.2
1969,-8.5
1970,-1.6
1971,1.4
1972,0.5
1973,3.9
1974,-3.5
1975,-0.4
1976,2.8
1977,-7.4
1978,3.0
1979,1.6
1980,0.6
1981,-7.6
1982,-2.4
1983,0.1
1984,0.5
1985,-1.8
1986,1.8
1987,2.0
1988,2.9
1989,-2.0
1990,1.3
1991,-2.8
1992,-0.5
1993,-2.5
1994,-6.8
1995,-1.9
1996,-2.4
1997,0.4
1998,-0.6
1999,0.8
2000,-6.6
2001,-7.3
2002,0.9
2003,-2.3
2004,-2.2
2005,-10.8
2006,0.7
2007,-0.5
2008,-2.1
2009,1.2
2010,2.0
2011,-7.3
2012,-0.4
2013,-4.4
2014,
2015,
2016,
2017,
2018,
2019,
