,06-28
1881,9.3
1882,11.6
1883,13.8
1884,10.3
1885,10.0
1886,13.4
1887,8.6
1888,11.0
1889,8.2
1890,11.3
1891,15.5
1892,8.1
1893,14.7
1894,11.4
1895,12.9
1896,14.3
1897,9.4
1898,16.4
1899,10.0
1900,12.3
1901,12.2
1902,11.0
1903,12.0
1904,10.4
1905,17.9
1906,13.0
1907,11.8
1908,11.6
1909,14.0
1910,13.5
1911,13.9
1912,16.8
1913,14.1
1914,15.0
1915,7.9
1916,14.4
1917,15.8
1918,11.3
1919,14.7
1920,11.9
1921,15.8
1922,13.3
1923,8.7
1924,9.1
1925,14.6
1926,17.4
1927,11.9
1928,13.2
1929,10.0
1930,12.0
1931,13.1
1932,12.4
1933,12.1
1934,11.4
1935,13.5
1936,9.0
1937,15.9
1938,11.1
1939,13.5
1940,16.9
1941,9.0
1942,15.3
1943,11.2
1944,12.2
1945,7.6
1946,15.3
1947,12.8
1948,13.9
1949,8.5
1950,14.7
1951,14.1
1952,13.2
1953,9.0
1954,12.8
1955,10.4
1956,13.4
1957,11.4
1958,16.5
1959,15.0
1960,14.6
1961,14.3
1962,10.9
1963,13.4
1964,14.6
1965,11.9
1966,16.2
1967,12.7
1968,13.5
1969,12.0
1970,14.8
1971,16.5
1972,19.3
1973,17.4
1974,14.8
1975,10.7
1976,13.9
1977,11.9
1978,14.5
1979,13.6
1980,11.4
1981,13.1
1982,10.0
1983,15.1
1984,11.5
1985,11.0
1986,15.1
1987,11.2
1988,19.0
1989,17.2
1990,14.1
1991,12.4
1992,14.4
1993,7.7
1994,14.1
1995,12.5
1996,9.6
1997,15.0
1998,10.3
1999,19.9
2000,12.5
2001,9.5
2002,13.6
2003,10.2
2004,16.5
2005,11.7
2006,16.6
2007,12.8
2008,11.4
2009,16.5
2010,13.2
2011,15.8
2012,13.0
2013,18.5
2014,
2015,
2016,
2017,
2018,
