,02-13
1881,-11.3
1882,-0.4
1883,-12.8
1884,-0.5
1885,-13.5
1886,-10.8
1887,-5.4
1888,-6.3
1889,-20.9
1890,-7.5
1891,-14.5
1892,-12.3
1893,-15.7
1894,-7.5
1895,-26.3
1896,-13.5
1897,-14.5
1898,-13.3
1899,-1.0
1900,-10.1
1901,-22.2
1902,-6.8
1903,-14.5
1904,-9.3
1905,-10.3
1906,-8.6
1907,-15.2
1908,-15.6
1909,-18.8
1910,-5.7
1911,-26.1
1912,
1913,-14.0
1914,-2.0
1915,-6.3
1916,-7.0
1917,-15.2
1918,-19.7
1919,-11.8
1920,-4.5
1921,-19.4
1922,-5.4
1923,-20.2
1924,-10.9
1925,0.7
1926,-5.3
1927,-8.5
1928,-13.5
1929,-16.9
1930,-2.4
1931,-12.8
1932,-16.8
1933,-7.2
1934,-18.2
1935,-8.5
1936,-15.3
1937,-16.9
1938,-13.6
1939,1.1
1940,-19.8
1941,-14.3
1942,-18.6
1943,0.4
1944,-3.5
1945,-2.4
1946,-16.4
1947,-22.8
1948,-12.6
1949,-10.4
1950,-7.4
1951,-11.9
1952,-6.4
1953,-18.2
1954,-12.3
1955,-9.0
1956,-22.6
1957,-11.5
1958,-10.0
1959,-5.3
1960,-22.8
1961,-3.9
1962,-1.9
1963,-15.6
1964,-14.5
1965,-0.9
1966,-22.2
1967,-4.2
1968,-7.0
1969,-14.9
1970,-15.6
1971,-6.6
1972,0.2
1973,-11.3
1974,1.2
1975,-9.1
1976,-15.2
1977,-26.3
1978,-11.8
1979,-25.1
1980,-22.6
1981,-7.5
1982,-0.6
1983,-16.5
1984,-3.0
1985,-18.9
1986,-5.4
1987,-5.7
1988,1.0
1989,-0.2
1990,-0.5
1991,-11.1
1992,-2.4
1993,-4.0
1994,-22.7
1995,-5.6
1996,-11.3
1997,-3.7
1998,-16.8
1999,-4.9
2000,1.5
2001,-1.7
2002,-0.3
2003,-4.7
2004,-18.5
2005,-4.3
2006,-11.8
2007,-14.0
2008,0.1
2009,-5.4
2010,-9.7
2011,-18.9
2012,-19.9
2013,-0.5
2014,
2015,-2.5
2016,
2017,-4.0
2018,
2019,-6.0
