,03-20
1881,-17.6
1882,-6.2
1883,-15.6
1884,-6.3
1885,-6.8
1886,-10.0
1887,-15.2
1888,-16.5
1889,-13.2
1890,1.8
1891,-8.7
1892,-2.3
1893,-8.6
1894,-7.2
1895,-12.6
1896,1.1
1897,0.6
1898,-8.6
1899,-17.7
1900,-5.9
1901,-12.7
1902,-5.1
1903,-4.8
1904,-6.4
1905,-5.3
1906,-6.7
1907,-2.3
1908,-9.9
1909,-7.8
1910,-2.2
1911,-12.3
1912,0.7
1913,-3.6
1914,-7.9
1915,-17.4
1916,-6.0
1917,-18.4
1918,-3.8
1919,-15.5
1920,-3.0
1921,-0.5
1922,-18.8
1923,-4.4
1924,-17.1
1925,-0.1
1926,-9.2
1927,-9.0
1928,-5.9
1929,-7.2
1930,-1.6
1931,-12.3
1932,-12.6
1933,-1.5
1934,1.9
1935,-10.4
1936,-7.9
1937,0.2
1938,0.6
1939,-8.5
1940,-15.0
1941,-9.4
1942,-25.7
1943,-4.2
1944,-4.9
1945,-14.2
1946,-1.8
1947,-16.9
1948,-12.7
1949,-5.9
1950,0.9
1951,-7.8
1952,-11.1
1953,-3.7
1954,-11.5
1955,-9.9
1956,-10.3
1957,-21.3
1958,-15.1
1959,-6.9
1960,-12.7
1961,-7.8
1962,-14.3
1963,-24.8
1964,-7.5
1965,1.4
1966,-12.2
1967,-2.9
1968,-9.6
1969,-10.2
1970,0.1
1971,1.4
1972,-0.6
1973,-10.7
1974,-1.7
1975,-5.3
1976,-10.0
1977,-0.3
1978,-18.4
1979,-10.6
1980,-15.4
1981,-0.8
1982,0.0
1983,0.3
1984,-12.7
1985,-3.2
1986,-2.9
1987,-5.5
1988,-9.6
1989,0.2
1990,3.0
1991,1.3
1992,0.4
1993,-2.6
1994,-2.7
1995,-0.1
1996,-9.1
1997,-10.6
1998,-8.4
1999,0.1
2000,-3.7
2001,-14.0
2002,3.3
2003,-7.5
2004,1.1
2005,-6.7
2006,-8.0
2007,1.8
2008,-2.9
2009,-7.5
2010,-1.7
2011,-0.8
2012,0.3
2013,-6.9
2014,
2015,
2016,
2017,
2018,-7.6
2019,
