,02-27
1881,-15.1
1882,3.6
1883,-18.8
1884,-18.2
1885,-7.6
1886,-16.3
1887,-5.4
1888,-14.6
1889,-9.7
1890,-13.6
1891,-9.7
1892,-10.9
1893,-10.6
1894,-4.3
1895,-14.8
1896,-14.0
1897,-2.0
1898,-9.4
1899,-4.6
1900,-7.6
1901,-14.7
1902,-12.6
1903,-1.1
1904,-16.3
1905,-4.6
1906,-8.7
1907,-5.9
1908,-9.4
1909,-12.2
1910,1.0
1911,-16.8
1912,
1913,-12.3
1914,-4.2
1915,-7.3
1916,-5.7
1917,-6.8
1918,-3.3
1919,-22.7
1920,-4.8
1921,-6.8
1922,0.7
1923,-15.5
1924,-9.9
1925,-3.1
1926,-5.4
1927,-7.0
1928,-9.4
1929,-20.0
1930,-7.0
1931,-12.7
1932,-16.0
1933,-9.0
1934,-2.5
1935,1.1
1936,-9.3
1937,-18.2
1938,-4.1
1939,-0.4
1940,-19.8
1941,-6.1
1942,-24.0
1943,-1.5
1944,-21.0
1945,-12.9
1946,-10.7
1947,-17.9
1948,-14.5
1949,-9.1
1950,-18.8
1951,-9.5
1952,-14.6
1953,0.1
1954,-16.4
1955,-18.8
1956,-11.7
1957,-14.0
1958,-7.7
1959,-4.2
1960,-16.6
1961,-1.2
1962,-10.0
1963,-16.5
1964,-10.5
1965,-22.9
1966,-9.6
1967,-0.9
1968,-6.4
1969,-12.7
1970,-9.7
1971,-12.4
1972,-11.7
1973,-16.3
1974,-1.6
1975,-4.0
1976,-1.3
1977,-14.6
1978,-3.7
1979,-0.8
1980,-5.5
1981,-9.5
1982,-14.6
1983,-18.8
1984,-6.6
1985,-8.1
1986,-8.7
1987,-15.5
1988,-9.3
1989,2.6
1990,0.7
1991,-5.1
1992,-5.9
1993,-7.5
1994,-12.4
1995,-1.1
1996,-1.4
1997,0.5
1998,2.2
1999,-8.3
2000,-15.3
2001,-9.0
2002,-3.8
2003,-5.0
2004,-3.1
2005,-14.7
2006,-15.3
2007,-5.1
2008,0.9
2009,0.9
2010,-0.3
2011,-7.5
2012,-5.3
2013,-4.1
2014,
2015,
2016,
2017,
2018,
2019,
