,04-13
1881,-7.7
1882,-3.1
1883,0.2
1884,-1.4
1885,-3.7
1886,3.2
1887,0.0
1888,0.0
1889,0.7
1890,1.3
1891,-0.4
1892,-7.5
1893,-6.6
1894,-2.4
1895,-6.8
1896,-1.5
1897,0.9
1898,-1.4
1899,1.1
1900,3.0
1901,-0.6
1902,-9.8
1903,5.1
1904,-1.4
1905,-8.3
1906,-1.7
1907,-0.9
1908,-0.9
1909,-2.6
1910,1.7
1911,-8.1
1912,-6.3
1913,-2.3
1914,1.6
1915,-1.6
1916,0.3
1917,1.0
1918,-0.6
1919,3.3
1920,6.1
1921,3.4
1922,-3.9
1923,-7.7
1924,-0.6
1925,2.2
1926,-12.3
1927,-0.9
1928,-6.6
1929,-0.5
1930,2.3
1931,-1.4
1932,3.9
1933,1.2
1934,-2.1
1935,2.5
1936,-2.8
1937,0.5
1938,-1.4
1939,-10.1
1940,-2.0
1941,-0.8
1942,-3.8
1943,-2.6
1944,-4.0
1945,-3.6
1946,-4.1
1947,0.3
1948,1.2
1949,-2.8
1950,2.8
1951,-0.4
1952,1.3
1953,2.4
1954,-3.0
1955,-1.6
1956,-2.9
1957,-4.0
1958,-4.2
1959,0.4
1960,3.4
1961,-3.1
1962,5.1
1963,2.5
1964,2.6
1965,-1.3
1966,-6.2
1967,-2.1
1968,-1.5
1969,-0.7
1970,-0.3
1971,-0.6
1972,5.5
1973,0.9
1974,-3.5
1975,0.6
1976,2.7
1977,3.2
1978,0.2
1979,-0.1
1980,-2.5
1981,2.0
1982,1.4
1983,-1.9
1984,3.6
1985,-3.5
1986,-3.9
1987,1.5
1988,-2.0
1989,9.0
1990,-0.4
1991,1.6
1992,1.8
1993,0.2
1994,0.6
1995,2.0
1996,-5.8
1997,-9.7
1998,-3.0
1999,-2.4
2000,2.9
2001,-1.3
2002,6.9
2003,2.3
2004,-0.4
2005,6.1
2006,-1.8
2007,1.7
2008,1.8
2009,3.5
2010,0.8
2011,0.5
2012,3.6
2013,5.2
2014,
2016,
2017,
2018,
2019,-0.1
