,03-26
1881,-1.2
1882,1.1
1883,-7.3
1884,-1.4
1885,-5.2
1886,-3.4
1887,-1.0
1888,-9.0
1889,-8.5
1890,1.9
1891,-13.5
1892,-1.3
1893,-8.6
1894,-1.5
1895,-6.6
1896,0.5
1897,-3.7
1898,-11.6
1899,-17.1
1900,-9.2
1901,-22.2
1902,0.9
1903,-5.9
1904,-3.4
1905,-2.3
1906,-3.9
1907,-9.7
1908,-7.3
1909,-2.3
1910,-2.9
1911,-14.2
1912,-1.5
1913,-2.1
1914,-7.5
1915,-9.3
1916,-5.0
1917,-3.5
1918,-14.5
1919,-21.6
1920,-0.4
1921,-0.5
1922,-3.4
1923,-6.3
1924,1.2
1925,-12.3
1926,-10.3
1927,-12.0
1928,-8.4
1929,-7.9
1930,-0.9
1931,-13.5
1932,-6.4
1933,-0.6
1934,0.5
1935,-3.4
1936,-5.4
1937,-0.6
1938,7.5
1939,-2.7
1940,-16.9
1941,-10.1
1942,-5.3
1943,-2.6
1944,-10.6
1945,-3.0
1946,-9.3
1947,0.3
1948,-7.3
1949,-2.4
1950,0.1
1951,-2.1
1952,-17.3
1953,-8.4
1954,-2.9
1955,-12.4
1956,-7.3
1957,-5.3
1958,-8.4
1959,-2.1
1960,-6.2
1961,-3.0
1962,-5.3
1963,-11.1
1964,-8.3
1965,0.5
1966,-1.5
1967,-2.2
1968,3.3
1969,-13.5
1970,-1.4
1971,-1.5
1972,-3.6
1973,3.9
1974,-1.4
1975,0.6
1976,-0.5
1977,-3.4
1978,-2.1
1979,-2.1
1980,-6.3
1981,-1.5
1982,0.7
1983,1.6
1984,-11.7
1985,0.4
1986,1.0
1987,-5.7
1988,2.6
1989,1.3
1990,-0.1
1991,-3.8
1992,0.0
1993,-2.7
1994,-4.4
1995,0.4
1996,-1.9
1997,-12.3
1998,-6.9
1999,0.5
2000,-5.1
2001,-12.5
2002,-1.6
2003,-5.6
2004,-0.7
2005,0.7
2006,-7.1
2007,-0.3
2008,-3.0
2009,-10.5
2010,-1.8
2011,-13.2
2012,-4.6
2013,-8.3
2014,
2015,
2016,
2017,
2018,
2019,
