,08-17
1881,12.3
1882,15.7
1883,12.6
1884,11.0
1885,9.8
1886,15.4
1887,12.0
1888,10.2
1889,13.2
1890,14.1
1891,8.1
1892,13.1
1893,8.9
1894,13.0
1895,7.5
1896,11.4
1897,11.9
1898,13.6
1899,11.6
1900,12.5
1901,16.3
1902,8.8
1903,11.8
1904,11.6
1905,13.5
1906,14.0
1907,14.2
1908,13.0
1909,10.6
1910,10.2
1911,7.7
1912,11.5
1913,15.6
1914,10.0
1915,11.3
1916,14.1
1917,13.2
1918,11.8
1919,10.4
1920,10.5
1921,15.6
1922,7.6
1923,9.2
1924,15.6
1925,14.1
1926,13.7
1927,14.5
1928,15.2
1929,10.9
1930,14.4
1931,11.3
1932,16.7
1933,10.5
1934,14.4
1935,16.9
1936,9.1
1937,15.7
1938,18.0
1939,16.7
1940,13.0
1941,14.2
1942,12.6
1943,11.3
1944,10.1
1945,18.1
1946,12.1
1947,8.0
1948,8.8
1949,13.0
1950,11.7
1951,14.3
1952,7.2
1953,16.3
1954,16.4
1955,17.5
1956,10.5
1957,15.8
1958,11.5
1959,13.7
1960,11.2
1961,12.7
1962,11.5
1963,12.6
1964,13.0
1965,2.6
1966,9.1
1967,15.0
1968,13.4
1969,7.8
1970,12.5
1971,12.5
1972,15.1
1973,13.6
1974,14.4
1975,13.0
1976,14.6
1977,9.6
1978,10.0
1979,13.6
1980,11.1
1981,15.6
1982,11.3
1983,15.8
1984,10.8
1985,15.3
1986,8.9
1987,8.3
1988,14.2
1989,17.9
1990,15.9
1991,13.9
1992,14.1
1993,15.0
1994,9.4
1995,14.5
1996,16.6
1997,7.7
1998,12.5
1999,10.7
2000,15.8
2001,17.9
2002,13.7
2003,11.8
2004,11.8
2005,12.7
2006,16.9
2007,18.4
2008,16.6
2009,14.9
2010,13.2
2011,16.9
2012,14.8
2013,14.0
2014,
2015,
2016,
2017,
2018,
