,02-18
1881,-9.4
1882,-8.4
1883,-23.1
1884,-7.9
1885,-13.8
1886,-15.5
1887,-8.4
1888,-16.1
1889,-18.0
1890,-12.4
1891,-15.8
1892,-21.2
1893,-13.9
1894,-14.5
1895,-24.6
1896,-12.5
1897,-9.8
1898,-12.6
1899,-6.6
1900,-31.5
1901,-21.7
1902,-16.2
1903,-18.7
1904,-10.1
1905,1.6
1906,-10.8
1907,-11.2
1908,-6.3
1909,-17.6
1910,-2.3
1911,-9.7
1912,
1913,-11.3
1914,-1.1
1915,-17.7
1916,-1.0
1917,-24.1
1918,-13.5
1919,-14.6
1920,-2.9
1921,-16.1
1922,-10.8
1923,-17.2
1924,-11.9
1925,1.4
1926,-0.6
1927,-12.3
1928,-13.3
1929,-15.1
1930,-11.1
1931,-8.8
1932,-1.9
1933,-20.0
1934,-4.5
1935,-14.7
1936,-22.5
1937,-5.7
1938,-6.3
1939,-0.3
1940,-24.3
1941,-8.4
1942,-21.6
1943,-11.7
1944,-13.5
1945,-8.6
1946,-16.1
1947,-16.2
1948,-14.3
1949,0.4
1950,-11.3
1951,-14.1
1952,-9.1
1953,-9.5
1954,-25.7
1955,-13.0
1956,-17.0
1957,0.2
1958,-9.4
1959,-8.6
1960,-5.4
1961,0.2
1962,-5.3
1963,-16.8
1964,-20.7
1965,-5.6
1966,-8.1
1967,-13.0
1968,-8.0
1969,-11.9
1970,-14.4
1971,-7.2
1972,-2.1
1973,-1.3
1974,0.3
1975,-19.0
1976,-1.6
1977,-5.5
1978,-16.4
1979,-12.3
1980,-16.5
1981,-13.6
1982,-11.7
1983,-7.0
1984,-4.6
1985,-13.5
1986,-14.4
1987,-5.5
1988,-9.2
1989,-7.2
1990,-5.1
1991,-10.4
1992,-12.4
1993,-9.3
1994,-10.6
1995,1.5
1996,-22.0
1997,-13.9
1998,-22.7
1999,-3.9
2000,-3.7
2001,-2.4
2002,-1.7
2003,-1.7
2004,-15.9
2005,-4.7
2006,-10.9
2007,-3.1
2008,-3.2
2009,-4.9
2010,-17.0
2011,-26.8
2012,-9.8
2013,-5.0
2014,
2015,
2016,
2017,
2018,
2019,
