,04-23
1881,-3.4
1882,-1.7
1883,-3.1
1884,-4.3
1885,-1.2
1886,0.9
1887,-0.5
1888,-8.5
1889,1.3
1890,3.8
1891,0.0
1892,1.3
1893,-7.4
1894,-2.3
1895,1.4
1896,2.6
1897,0.3
1898,1.8
1899,-2.3
1900,-1.2
1901,-2.2
1902,-4.9
1903,1.6
1904,1.1
1905,0.2
1906,5.5
1907,3.9
1908,0.5
1909,0.8
1910,4.3
1911,4.6
1912,-0.8
1913,5.4
1914,2.6
1915,2.1
1916,2.1
1917,4.2
1918,0.4
1919,-1.4
1920,2.1
1921,6.7
1922,0.0
1923,-4.5
1924,-4.3
1925,-2.5
1926,3.0
1927,-1.8
1928,0.5
1929,-5.9
1930,4.5
1931,4.2
1932,2.6
1933,0.1
1934,2.7
1935,1.9
1936,0.5
1937,8.5
1938,2.9
1939,-1.9
1940,-3.4
1941,-4.5
1942,1.9
1943,5.4
1944,2.0
1945,2.9
1946,-2.1
1947,6.0
1948,1.1
1949,3.2
1950,6.9
1951,0.6
1952,5.6
1953,0.0
1954,-4.2
1955,-2.4
1956,1.7
1957,1.0
1958,0.8
1959,-7.8
1960,6.6
1961,2.2
1962,6.7
1963,0.7
1964,0.2
1965,6.2
1966,-0.8
1967,1.7
1968,1.3
1969,2.7
1970,-1.2
1971,-5.3
1972,0.3
1973,0.1
1974,-1.5
1975,5.6
1976,-0.5
1977,3.7
1978,-1.9
1979,-3.3
1980,3.3
1981,-8.2
1982,-0.4
1983,3.6
1984,5.5
1985,2.3
1986,4.1
1987,-3.2
1988,-1.0
1989,7.3
1990,9.4
1991,-4.4
1992,-4.4
1993,5.0
1994,3.0
1995,4.7
1996,2.3
1997,1.5
1998,3.3
1999,9.9
2000,5.3
2001,9.2
2002,5.1
2003,3.5
2004,-0.4
2005,-2.0
2006,-1.1
2007,1.8
2008,0.4
2009,0.1
2010,1.7
2011,0.5
2012,3.5
2013,6.4
2014,
2016,
2017,
2018,
2019,
