,DATE,TMIN
278,1881-10-06,2.7
643,1882-10-06,7.7
1008,1883-10-06,-1.2
1374,1884-10-06,6.1
1739,1885-10-06,7.3
2104,1886-10-06,1.7
2469,1887-10-06,4.0
2835,1888-10-06,5.3
3200,1889-10-06,8.2
3565,1890-10-06,-0.3
3930,1891-10-06,3.0
4296,1892-10-06,4.4
4661,1893-10-06,7.6
5026,1894-10-06,6.4
5391,1895-10-06,7.2
5757,1896-10-06,8.2
6122,1897-10-06,1.0
6487,1898-10-06,5.0
6852,1899-10-06,4.0
7217,1900-10-06,5.7
7582,1901-10-06,9.5
7947,1902-10-06,3.6
8312,1903-10-06,-1.0
8678,1904-10-06,8.8
9043,1905-10-06,4.1
9408,1906-10-06,0.4
9773,1907-10-06,8.6
10139,1908-10-06,1.9
10504,1909-10-06,13.8
10869,1910-10-06,4.6
11234,1911-10-06,3.1
11600,1912-10-06,1.7
11965,1913-10-06,-0.3
12330,1914-10-06,1.1
12695,1915-10-06,5.0
13061,1916-10-06,0.0
13426,1917-10-06,5.4
13791,1918-10-06,6.2
14156,1919-10-06,7.9
14522,1920-10-06,4.6
14887,1921-10-06,0.7
15252,1922-10-06,2.5
15617,1923-10-06,6.5
15983,1924-10-06,7.2
16348,1925-10-06,0.6
16713,1926-10-06,0.8
17078,1927-10-06,6.7
17444,1928-10-06,-1.3
17809,1929-10-06,6.9
18174,1930-10-06,-1.4
18539,1931-10-06,2.0
18905,1932-10-06,2.9
19270,1933-10-06,2.1
19635,1934-10-06,2.0
20000,1935-10-06,11.8
20366,1936-10-06,2.2
20731,1937-10-06,0.3
21096,1938-10-06,6.2
21461,1939-10-06,-1.6
21827,1940-10-06,7.8
22192,1941-10-06,-1.0
22557,1942-10-06,10.2
22922,1943-10-06,1.2
23288,1944-10-06,3.7
23653,1945-10-06,0.8
24018,1946-10-06,-0.4
24383,1947-10-06,2.7
24749,1948-10-06,-0.5
25114,1949-10-06,0.5
25479,1950-10-06,2.7
25844,1951-10-06,1.2
26210,1952-10-06,3.8
26575,1953-10-06,3.3
26940,1954-10-06,5.8
27305,1955-10-06,3.1
27671,1956-10-06,6.9
28036,1957-10-06,2.3
28401,1958-10-06,8.2
28766,1959-10-06,7.1
29132,1960-10-06,2.0
29497,1961-10-06,8.6
29862,1962-10-06,10.0
30227,1963-10-06,8.5
30593,1964-10-06,6.1
30958,1965-10-06,6.4
31323,1966-10-06,1.7
31688,1967-10-06,10.7
32054,1968-10-06,-0.5
32419,1969-10-06,2.5
32784,1970-10-06,4.8
33149,1971-10-06,-1.0
33515,1972-10-06,2.1
33880,1973-10-06,1.5
34245,1974-10-06,4.4
34610,1975-10-06,1.0
34976,1976-10-06,3.7
35341,1977-10-06,1.7
35706,1978-10-06,3.5
36071,1979-10-06,-1.4
36437,1980-10-06,6.0
36802,1981-10-06,10.3
37167,1982-10-06,5.3
37532,1983-10-06,8.7
37898,1984-10-06,7.6
38263,1985-10-06,10.4
38628,1986-10-06,-3.0
38993,1987-10-06,3.5
39359,1988-10-06,7.2
39724,1989-10-06,1.2
40089,1990-10-06,7.2
40454,1991-10-06,8.2
40820,1992-10-06,4.7
41185,1993-10-06,7.2
41550,1994-10-06,2.1
41915,1995-10-06,5.9
42281,1996-10-06,8.1
42646,1997-10-06,1.8
43011,1998-10-06,-1.6
43376,1999-10-06,11.0
43742,2000-10-06,7.4
44107,2001-10-06,7.6
44472,2002-10-06,0.5
44837,2003-10-06,10.2
45203,2004-10-06,10.1
45568,2005-10-06,11.3
45933,2006-10-06,10.6
46298,2007-10-06,9.7
46664,2008-10-06,7.1
47029,2009-10-06,3.8
47394,2010-10-06,3.9
47759,2011-10-06,7.6
48125,2012-10-06,8.1
48490,2013-10-06,7.3
48855,2014-10-06,
49199,2015-10-06,
49565,2016-10-06,
49930,2017-10-06,
50294,2018-10-06,
