,02-17
1881,-3.5
1882,-9.5
1883,-19.3
1884,-5.4
1885,-6.6
1886,-14.6
1887,-3.9
1888,-17.5
1889,-10.5
1890,-9.0
1891,-7.6
1892,-24.5
1893,-24.1
1894,-15.4
1895,-23.8
1896,-4.1
1897,-14.5
1898,-10.6
1899,-2.3
1900,-27.5
1901,-13.8
1902,-2.1
1903,-11.3
1904,-8.6
1905,0.4
1906,-7.1
1907,-7.3
1908,-0.9
1909,-13.6
1910,-6.3
1911,-2.1
1912,
1913,-7.0
1914,0.6
1915,-18.1
1916,-5.0
1917,-22.7
1918,-4.5
1919,-14.7
1920,-7.4
1921,-27.7
1922,-10.9
1923,-14.9
1924,-13.8
1925,1.2
1926,-1.8
1927,-9.1
1928,-12.0
1929,-18.1
1930,-9.8
1931,-6.2
1932,-12.3
1933,-11.5
1934,-1.6
1935,-5.6
1936,-21.3
1937,-14.2
1938,-7.9
1939,1.6
1940,-15.7
1941,-10.2
1942,-19.6
1943,-13.2
1944,-13.8
1945,-8.1
1946,-6.5
1947,-18.2
1948,-14.9
1949,-2.4
1950,-20.8
1951,-17.7
1952,-6.9
1953,-7.5
1954,-22.9
1955,-19.9
1956,-17.3
1957,0.0
1958,-7.2
1959,-8.5
1960,-2.2
1961,-0.9
1962,-9.8
1963,-8.0
1964,-15.4
1965,-3.2
1966,-7.1
1967,-7.0
1968,-14.6
1969,-8.0
1970,-24.4
1971,-10.9
1972,-1.2
1973,0.8
1974,0.9
1975,-17.8
1976,-4.8
1977,-6.5
1978,-22.2
1979,-11.7
1980,-9.9
1981,-16.1
1982,-4.0
1983,-11.6
1984,-3.9
1985,-16.5
1986,-11.5
1987,-5.3
1988,-5.8
1989,-2.1
1990,-4.3
1991,-10.6
1992,-11.9
1993,-2.4
1994,-8.0
1995,1.9
1996,-7.4
1997,-16.0
1998,-20.0
1999,-2.0
2000,-0.5
2001,-4.1
2002,1.5
2003,-4.5
2004,-16.3
2005,-5.2
2006,-13.4
2007,-6.9
2008,-6.2
2009,-6.0
2010,-15.3
2011,-25.6
2012,-11.8
2013,-8.3
2014,0.9
2015,
2016,-8.0
2017,-1.3
2018,
2019,
