,06-16
1881,4.8
1882,10.1
1883,13.5
1884,8.5
1885,7.9
1886,13.9
1887,9.8
1888,8.0
1889,12.1
1890,6.0
1891,10.4
1892,6.0
1893,8.8
1894,14.5
1895,10.9
1896,14.1
1897,12.1
1898,7.0
1899,10.7
1900,7.0
1901,12.0
1902,14.6
1903,10.1
1904,6.6
1905,15.8
1906,13.6
1907,11.5
1908,10.6
1909,6.0
1910,19.1
1911,7.6
1912,12.4
1913,5.7
1914,13.5
1915,9.3
1916,11.5
1917,15.0
1918,8.0
1919,9.9
1920,8.0
1921,12.1
1922,14.6
1923,11.3
1924,10.8
1925,9.8
1926,11.1
1927,9.6
1928,8.4
1929,13.4
1930,9.4
1931,10.8
1932,6.7
1933,13.1
1934,4.0
1935,12.7
1936,14.1
1937,9.9
1938,11.6
1939,14.6
1940,8.1
1941,8.7
1942,6.5
1943,11.0
1944,12.0
1945,8.9
1946,15.7
1947,14.9
1948,8.9
1949,10.4
1950,8.8
1951,12.6
1952,14.8
1953,15.0
1954,12.5
1955,10.7
1956,15.1
1957,11.1
1958,3.8
1959,11.6
1960,12.0
1961,15.9
1962,12.3
1963,6.1
1964,15.2
1965,13.1
1966,8.7
1967,9.5
1968,13.4
1969,10.2
1970,10.7
1971,8.9
1972,13.6
1973,9.2
1974,13.6
1975,10.8
1976,9.8
1977,17.5
1978,8.1
1979,11.9
1980,12.6
1981,11.0
1982,8.6
1983,15.3
1984,9.5
1985,9.4
1986,10.7
1987,13.0
1988,10.5
1989,15.2
1990,8.1
1991,10.6
1992,15.4
1993,8.0
1994,10.1
1995,19.3
1996,7.1
1997,10.2
1998,19.1
1999,16.3
2000,10.4
2001,9.7
2002,13.7
2003,7.3
2004,9.3
2005,11.1
2006,9.7
2007,8.6
2008,12.0
2009,10.9
2010,9.5
2011,11.7
2012,14.7
2013,12.6
2014,
2015,
2016,
2017,
2018,
