,09-20
1881,3.1
1882,8.2
1883,5.4
1884,4.8
1885,0.6
1886,0.5
1887,9.8
1888,4.5
1889,7.6
1890,10.6
1891,7.8
1892,9.0
1893,6.9
1894,3.0
1895,5.0
1896,8.0
1897,9.7
1898,6.0
1899,7.6
1900,4.0
1901,7.0
1902,3.1
1903,5.7
1904,8.5
1905,5.4
1906,7.6
1907,1.0
1908,3.3
1909,9.3
1910,9.3
1911,4.1
1912,7.2
1913,12.1
1914,10.1
1915,4.8
1916,4.3
1917,9.7
1918,9.3
1919,6.2
1920,12.2
1921,5.5
1922,7.5
1923,6.4
1924,9.9
1925,4.2
1926,8.9
1927,9.5
1928,12.4
1929,6.3
1930,0.6
1931,7.8
1932,10.3
1933,10.1
1934,12.7
1935,9.8
1936,10.1
1937,12.0
1938,10.3
1939,5.6
1940,9.5
1941,2.3
1942,2.2
1943,11.7
1944,4.4
1945,6.5
1946,8.6
1947,1.8
1948,4.3
1949,6.7
1950,11.4
1951,7.3
1952,6.7
1953,7.3
1954,7.2
1955,12.0
1956,8.3
1957,8.5
1958,3.1
1959,1.4
1960,5.3
1961,4.3
1962,7.4
1963,3.8
1964,6.5
1965,9.5
1966,7.4
1967,5.9
1968,4.5
1969,2.3
1970,11.2
1971,7.4
1972,0.7
1973,5.5
1974,6.0
1975,8.9
1976,2.3
1977,1.2
1978,6.8
1979,9.9
1980,8.6
1981,4.8
1982,11.8
1983,14.0
1984,8.8
1985,8.5
1986,5.5
1987,6.8
1988,1.2
1989,12.0
1990,5.8
1991,6.0
1992,7.6
1993,-1.6
1994,10.2
1995,5.6
1996,2.1
1997,6.5
1998,10.5
1999,7.0
2000,3.6
2001,10.9
2002,0.2
2003,7.5
2004,10.9
2005,9.0
2006,14.2
2007,6.0
2008,6.9
2009,9.7
2010,9.7
2011,10.7
2012,11.8
2013,12.0
2014,
2015,
2016,9.5
2017,
2018,
