,07-28
1881,16.9
1882,13.4
1883,13.5
1884,14.9
1885,13.4
1886,15.4
1887,13.0
1888,14.1
1889,14.8
1890,12.1
1891,15.3
1892,13.0
1893,17.4
1894,12.6
1895,11.9
1896,18.4
1897,16.4
1898,14.0
1899,11.1
1900,9.6
1901,17.7
1902,14.6
1903,11.6
1904,10.0
1905,15.3
1906,16.5
1907,13.5
1908,15.0
1909,12.6
1910,14.9
1911,9.2
1912,16.9
1913,9.6
1914,15.4
1915,16.7
1916,11.7
1917,11.1
1918,14.8
1919,13.0
1920,15.7
1921,13.6
1922,13.6
1923,12.6
1924,12.7
1925,17.0
1926,15.2
1927,11.1
1928,13.5
1929,10.6
1930,13.1
1931,17.7
1932,18.8
1933,15.6
1934,16.3
1935,15.1
1936,16.9
1937,14.6
1938,19.5
1939,17.6
1940,15.2
1941,16.7
1942,12.3
1943,14.1
1944,11.6
1945,8.9
1946,15.9
1947,12.9
1948,13.6
1949,9.7
1950,12.6
1951,14.4
1952,13.4
1953,17.2
1954,12.7
1955,10.4
1956,11.2
1957,16.8
1958,17.5
1959,12.1
1960,19.5
1961,14.4
1962,10.6
1963,14.7
1964,14.8
1965,12.6
1966,16.4
1967,12.4
1968,12.6
1969,11.1
1970,17.1
1971,18.6
1972,15.0
1973,16.1
1974,13.2
1975,18.2
1976,16.4
1977,13.4
1978,14.4
1979,13.8
1980,15.6
1981,17.5
1982,11.0
1983,11.8
1984,13.4
1985,13.2
1986,18.2
1987,11.6
1988,17.0
1989,16.5
1990,11.0
1991,12.6
1992,15.5
1993,13.9
1994,17.2
1995,15.5
1996,13.5
1997,16.8
1998,13.2
1999,13.8
2000,10.1
2001,18.5
2002,16.8
2003,21.0
2004,18.4
2005,15.6
2006,11.9
2007,15.9
2008,13.6
2009,16.8
2010,23.2
2011,22.4
2012,16.2
2013,14.8
2014,
2015,
2016,
2017,
2018,20.8
