,DATE,TMIN
251,1881-09-09,10.4
616,1882-09-09,12.6
981,1883-09-09,13.3
1347,1884-09-09,8.5
1712,1885-09-09,8.4
2077,1886-09-09,11.6
2442,1887-09-09,9.3
2808,1888-09-09,6.5
3173,1889-09-09,13.3
3538,1890-09-09,10.9
3903,1891-09-09,6.9
4269,1892-09-09,6.3
4634,1893-09-09,11.6
4999,1894-09-09,6.0
5364,1895-09-09,5.8
5730,1896-09-09,7.6
6095,1897-09-09,7.0
6460,1898-09-09,4.6
6825,1899-09-09,9.5
7190,1900-09-09,2.9
7555,1901-09-09,10.3
7920,1902-09-09,11.4
8285,1903-09-09,10.2
8651,1904-09-09,7.7
9016,1905-09-09,12.8
9381,1906-09-09,9.6
9746,1907-09-09,11.2
10112,1908-09-09,7.7
10477,1909-09-09,14.6
10842,1910-09-09,13.8
11207,1911-09-09,8.6
11573,1912-09-09,10.6
11938,1913-09-09,7.7
12303,1914-09-09,5.1
12668,1915-09-09,7.1
13034,1916-09-09,6.1
13399,1917-09-09,5.9
13764,1918-09-09,5.0
14129,1919-09-09,10.5
14495,1920-09-09,11.9
14860,1921-09-09,10.1
15225,1922-09-09,11.3
15590,1923-09-09,7.2
15956,1924-09-09,10.4
16321,1925-09-09,8.6
16686,1926-09-09,8.2
17051,1927-09-09,4.0
17417,1928-09-09,10.2
17782,1929-09-09,5.1
18147,1930-09-09,6.8
18512,1931-09-09,6.5
18878,1932-09-09,12.1
19243,1933-09-09,7.8
19608,1934-09-09,11.0
19973,1935-09-09,10.6
20339,1936-09-09,3.5
20704,1937-09-09,11.6
21069,1938-09-09,14.5
21434,1939-09-09,13.0
21800,1940-09-09,10.7
22165,1941-09-09,5.7
22530,1942-09-09,10.2
22895,1943-09-09,4.5
23261,1944-09-09,13.0
23626,1945-09-09,8.5
23991,1946-09-09,10.7
24356,1947-09-09,10.7
24722,1948-09-09,11.1
25087,1949-09-09,14.5
25452,1950-09-09,8.8
25817,1951-09-09,6.7
26183,1952-09-09,9.1
26548,1953-09-09,8.1
26913,1954-09-09,3.9
27278,1955-09-09,12.0
27644,1956-09-09,2.8
28009,1957-09-09,15.4
28374,1958-09-09,9.3
28739,1959-09-09,7.3
29105,1960-09-09,6.8
29470,1961-09-09,5.9
29835,1962-09-09,10.8
30200,1963-09-09,11.5
30566,1964-09-09,11.0
30931,1965-09-09,12.9
31296,1966-09-09,6.0
31661,1967-09-09,15.2
32027,1968-09-09,5.6
32392,1969-09-09,7.9
32757,1970-09-09,5.5
33122,1971-09-09,8.0
33488,1972-09-09,12.0
33853,1973-09-09,8.5
34218,1974-09-09,13.1
34583,1975-09-09,6.3
34949,1976-09-09,3.0
35314,1977-09-09,7.4
35679,1978-09-09,10.3
36044,1979-09-09,6.6
36410,1980-09-09,13.3
36775,1981-09-09,12.6
37140,1982-09-09,9.1
37505,1983-09-09,9.6
37871,1984-09-09,11.9
38236,1985-09-09,8.0
38601,1986-09-09,6.6
38966,1987-09-09,11.6
39332,1988-09-09,8.5
39697,1989-09-09,11.5
40062,1990-09-09,9.2
40427,1991-09-09,6.8
40793,1992-09-09,11.9
41158,1993-09-09,6.7
41523,1994-09-09,9.2
41888,1995-09-09,11.8
42254,1996-09-09,8.7
42619,1997-09-09,12.0
42984,1998-09-09,12.0
43349,1999-09-09,12.6
43715,2000-09-09,10.3
44080,2001-09-09,12.9
44445,2002-09-09,13.3
44810,2003-09-09,8.7
45176,2004-09-09,4.5
45541,2005-09-09,15.3
45906,2006-09-09,11.3
46271,2007-09-09,6.4
46637,2008-09-09,10.9
47002,2009-09-09,15.1
47367,2010-09-09,10.2
47732,2011-09-09,12.1
48098,2012-09-09,6.0
48463,2013-09-09,13.5
48828,2014-09-09,
49172,2015-09-09,
49538,2016-09-09,
49903,2017-09-09,
50268,2018-09-09,
