,07-15
1881,12.1
1882,11.7
1883,13.4
1884,15.0
1885,19.7
1886,13.9
1887,14.5
1888,11.1
1889,7.4
1890,14.2
1891,18.7
1892,10.5
1893,8.3
1894,12.8
1895,11.9
1896,13.1
1897,14.0
1898,14.2
1899,17.9
1900,11.7
1901,17.5
1902,13.0
1903,12.7
1904,14.9
1905,13.0
1906,19.5
1907,18.0
1908,16.3
1909,17.2
1910,14.9
1911,14.1
1912,13.6
1913,17.3
1914,15.7
1915,12.4
1916,15.3
1917,15.3
1918,13.8
1919,18.8
1920,15.4
1921,11.0
1922,9.6
1923,13.7
1924,12.4
1925,13.7
1926,15.9
1927,19.7
1928,13.3
1929,16.5
1930,14.7
1931,15.6
1932,13.7
1933,15.0
1934,18.0
1935,12.7
1936,17.6
1937,11.8
1938,18.8
1939,15.2
1940,16.9
1941,21.1
1942,13.0
1943,13.1
1944,15.5
1945,11.9
1946,14.4
1947,12.0
1948,11.3
1949,11.7
1950,10.7
1951,15.3
1952,15.8
1953,12.8
1954,15.6
1955,14.8
1956,10.5
1957,17.8
1958,13.9
1959,14.1
1960,16.9
1961,14.3
1962,15.0
1963,16.5
1964,17.3
1965,12.0
1966,15.4
1967,13.1
1968,11.5
1969,9.9
1970,11.5
1971,11.6
1972,20.5
1973,14.7
1974,13.4
1975,14.3
1976,12.4
1977,13.5
1978,14.4
1979,17.3
1980,12.5
1981,15.6
1982,12.1
1983,12.1
1984,14.4
1985,15.1
1986,14.1
1987,11.4
1988,20.7
1989,16.0
1990,12.3
1991,16.9
1992,16.5
1993,14.0
1994,19.2
1995,9.1
1996,13.2
1997,10.0
1998,13.6
1999,22.3
2000,15.5
2001,17.6
2002,16.6
2003,19.5
2004,14.5
2005,16.9
2006,17.9
2007,15.3
2008,16.0
2009,14.0
2010,22.5
2011,16.1
2012,15.2
2013,19.6
2014,
2015,
2016,
2017,
2018,
