,04-16
1881,-6.9
1882,0.0
1883,0.6
1884,-6.9
1885,-4.9
1886,2.4
1887,-3.2
1888,-3.8
1889,-0.2
1890,2.2
1891,-0.9
1892,-1.0
1893,-0.5
1894,0.5
1895,-3.9
1896,1.3
1897,0.5
1898,-5.7
1899,-0.1
1900,0.6
1901,-2.8
1902,-4.9
1903,0.6
1904,-4.4
1905,1.6
1906,1.7
1907,-3.9
1908,-0.6
1909,1.8
1910,6.4
1911,1.4
1912,-2.2
1913,-3.4
1914,-1.4
1915,-1.9
1916,-1.1
1917,1.5
1918,-4.2
1919,1.7
1920,10.6
1921,3.0
1922,1.9
1923,-1.0
1924,1.5
1925,4.1
1926,-3.4
1927,-1.4
1928,-1.5
1929,-7.8
1930,3.9
1931,0.3
1932,-1.8
1933,-1.4
1934,0.9
1935,-1.9
1936,0.2
1937,6.8
1938,2.8
1939,2.8
1940,-0.4
1941,0.5
1942,-1.9
1943,3.4
1944,1.4
1945,-1.8
1946,-8.1
1947,0.0
1948,-0.5
1949,-3.9
1950,-1.0
1951,0.2
1952,1.4
1953,2.2
1954,1.2
1955,0.6
1956,-1.9
1957,-3.3
1958,3.1
1959,4.7
1960,4.2
1961,0.8
1962,-1.0
1963,3.9
1964,-0.7
1965,1.6
1966,-7.6
1967,1.4
1968,0.9
1969,0.5
1970,1.3
1971,-3.0
1972,-0.5
1973,2.2
1974,-2.9
1975,-0.3
1976,1.2
1977,1.9
1978,3.4
1979,-7.8
1980,-1.3
1981,-3.4
1982,-0.1
1983,-1.4
1984,7.5
1985,1.1
1986,-1.3
1987,1.8
1988,1.4
1989,1.1
1990,9.0
1991,0.4
1992,-0.6
1993,-4.0
1994,1.6
1995,5.6
1996,-0.4
1997,-0.1
1998,-3.1
1999,5.4
2000,0.6
2001,0.0
2002,-0.1
2003,-0.1
2004,-0.2
2005,4.5
2006,0.5
2007,3.5
2008,1.0
2009,-0.9
2010,4.9
2011,2.1
2012,-0.1
2013,3.6
2014,
2016,
2017,
2018,
2019,
