,DATE,TMIN
279,1881-10-07,2.2
644,1882-10-07,2.8
1009,1883-10-07,-2.0
1375,1884-10-07,5.8
1740,1885-10-07,6.8
2105,1886-10-07,-0.4
2470,1887-10-07,3.2
2836,1888-10-07,3.1
3201,1889-10-07,10.0
3566,1890-10-07,0.1
3931,1891-10-07,5.5
4297,1892-10-07,4.1
4662,1893-10-07,8.6
5027,1894-10-07,6.6
5392,1895-10-07,6.3
5758,1896-10-07,7.3
6123,1897-10-07,-0.8
6488,1898-10-07,1.5
6853,1899-10-07,0.3
7218,1900-10-07,7.2
7583,1901-10-07,9.7
7948,1902-10-07,4.9
8313,1903-10-07,0.4
8679,1904-10-07,9.0
9044,1905-10-07,6.2
9409,1906-10-07,-0.5
9774,1907-10-07,9.9
10140,1908-10-07,5.2
10505,1909-10-07,8.9
10870,1910-10-07,5.1
11235,1911-10-07,1.7
11601,1912-10-07,6.2
11966,1913-10-07,-0.4
12331,1914-10-07,-0.9
12696,1915-10-07,3.2
13062,1916-10-07,0.5
13427,1917-10-07,5.8
13792,1918-10-07,7.7
14157,1919-10-07,6.7
14523,1920-10-07,2.4
14888,1921-10-07,2.6
15253,1922-10-07,4.1
15618,1923-10-07,4.2
15984,1924-10-07,7.0
16349,1925-10-07,0.0
16714,1926-10-07,-2.0
17079,1927-10-07,6.4
17445,1928-10-07,1.4
17810,1929-10-07,3.9
18175,1930-10-07,0.3
18540,1931-10-07,4.8
18906,1932-10-07,0.3
19271,1933-10-07,3.6
19636,1934-10-07,4.1
20001,1935-10-07,11.3
20367,1936-10-07,2.0
20732,1937-10-07,5.1
21097,1938-10-07,8.9
21462,1939-10-07,2.2
21828,1940-10-07,7.8
22193,1941-10-07,0.0
22558,1942-10-07,5.1
22923,1943-10-07,5.7
23289,1944-10-07,3.5
23654,1945-10-07,-0.3
24019,1946-10-07,-2.5
24384,1947-10-07,8.3
24750,1948-10-07,4.9
25115,1949-10-07,-2.5
25480,1950-10-07,5.3
25845,1951-10-07,2.5
26211,1952-10-07,3.3
26576,1953-10-07,0.2
26941,1954-10-07,5.9
27306,1955-10-07,6.2
27672,1956-10-07,6.1
28037,1957-10-07,-0.6
28402,1958-10-07,8.9
28767,1959-10-07,7.0
29133,1960-10-07,4.6
29498,1961-10-07,8.0
29863,1962-10-07,10.0
30228,1963-10-07,7.7
30594,1964-10-07,6.3
30959,1965-10-07,6.3
31324,1966-10-07,0.6
31689,1967-10-07,8.3
32055,1968-10-07,-0.9
32420,1969-10-07,2.4
32785,1970-10-07,5.6
33150,1971-10-07,6.8
33516,1972-10-07,4.3
33881,1973-10-07,2.4
34246,1974-10-07,8.4
34611,1975-10-07,5.9
34977,1976-10-07,-0.4
35342,1977-10-07,-1.0
35707,1978-10-07,2.2
36072,1979-10-07,3.4
36438,1980-10-07,5.4
36803,1981-10-07,5.7
37168,1982-10-07,6.2
37533,1983-10-07,3.9
37899,1984-10-07,9.5
38264,1985-10-07,8.2
38629,1986-10-07,1.0
38994,1987-10-07,8.7
39360,1988-10-07,6.7
39725,1989-10-07,3.0
40090,1990-10-07,6.5
40455,1991-10-07,8.6
40821,1992-10-07,4.0
41186,1993-10-07,7.5
41551,1994-10-07,5.5
41916,1995-10-07,10.6
42282,1996-10-07,8.8
42647,1997-10-07,2.5
43012,1998-10-07,-2.6
43377,1999-10-07,11.6
43743,2000-10-07,7.2
44108,2001-10-07,3.7
44473,2002-10-07,-1.5
44838,2003-10-07,9.1
45204,2004-10-07,11.1
45569,2005-10-07,7.4
45934,2006-10-07,7.3
46299,2007-10-07,6.7
46665,2008-10-07,7.0
47030,2009-10-07,1.2
47395,2010-10-07,4.3
47760,2011-10-07,10.7
48126,2012-10-07,6.9
48491,2013-10-07,9.2
48856,2014-10-07,
49200,2015-10-07,
49566,2016-10-07,
49931,2017-10-07,
50295,2018-10-07,
