,07-23
1881,11.0
1882,17.9
1883,17.4
1884,11.5
1885,13.9
1886,14.9
1887,13.9
1888,12.0
1889,13.9
1890,16.0
1891,14.3
1892,15.5
1893,15.6
1894,13.6
1895,16.7
1896,15.6
1897,16.3
1898,12.7
1899,11.1
1900,8.8
1901,13.6
1902,13.7
1903,11.5
1904,10.0
1905,17.9
1906,12.2
1907,11.1
1908,13.2
1909,10.4
1910,13.8
1911,12.2
1912,12.3
1913,16.6
1914,13.2
1915,14.8
1916,17.5
1917,11.9
1918,14.2
1919,14.6
1920,11.9
1921,11.0
1922,12.6
1923,13.0
1924,14.1
1925,16.7
1926,13.5
1927,15.7
1928,9.8
1929,17.5
1930,11.3
1931,12.9
1932,14.9
1933,16.7
1934,16.9
1935,13.1
1936,18.2
1937,17.6
1938,19.1
1939,15.1
1940,14.4
1941,15.7
1942,13.5
1943,15.8
1944,13.5
1945,14.5
1946,16.6
1947,17.2
1948,15.2
1949,14.2
1950,11.6
1951,8.1
1952,12.1
1953,16.5
1954,12.0
1955,9.3
1956,9.2
1957,18.3
1958,13.2
1959,12.6
1960,15.3
1961,14.9
1962,16.8
1963,11.1
1964,8.1
1965,13.5
1966,16.0
1967,13.9
1968,8.4
1969,11.4
1970,12.1
1971,13.7
1972,15.2
1973,15.3
1974,16.9
1975,14.4
1976,20.4
1977,12.7
1978,8.6
1979,12.3
1980,15.5
1981,16.1
1982,13.1
1983,12.7
1984,13.1
1985,13.5
1986,14.6
1987,16.3
1988,16.5
1989,13.5
1990,14.5
1991,15.6
1992,19.3
1993,14.0
1994,11.0
1995,14.6
1996,12.0
1997,18.5
1998,17.3
1999,15.8
2000,17.4
2001,16.3
2002,19.2
2003,18.6
2004,18.6
2005,16.0
2006,12.2
2007,12.1
2008,16.4
2009,14.4
2010,23.3
2011,22.4
2012,12.9
2013,17.2
2014,
2015,
2016,
2017,
2018,
