,06-11
1881,8.5
1882,13.0
1883,14.8
1884,6.3
1885,5.1
1886,5.3
1887,7.1
1888,8.5
1889,14.4
1890,11.3
1891,2.0
1892,8.1
1893,12.4
1894,9.9
1895,14.3
1896,13.7
1897,8.2
1898,12.1
1899,4.2
1900,7.5
1901,16.9
1902,6.9
1903,16.4
1904,7.5
1905,8.2
1906,10.7
1907,12.6
1908,9.6
1909,10.7
1910,12.0
1911,3.3
1912,11.1
1913,8.5
1914,8.2
1915,12.5
1916,15.4
1917,10.8
1918,5.3
1919,11.6
1920,6.2
1921,12.6
1922,10.7
1923,8.0
1924,10.7
1925,8.7
1926,5.5
1927,5.6
1928,13.7
1929,9.6
1930,11.5
1931,5.8
1932,9.4
1933,14.5
1934,6.5
1935,10.4
1936,13.6
1937,16.7
1938,15.2
1939,10.2
1940,5.9
1941,6.9
1942,8.0
1943,14.4
1944,10.2
1945,11.7
1946,11.3
1947,12.5
1948,12.0
1949,13.5
1950,7.6
1951,11.6
1952,7.0
1953,7.4
1954,20.5
1955,7.3
1956,11.2
1957,14.1
1958,10.8
1959,15.5
1960,17.0
1961,16.0
1962,8.7
1963,11.6
1964,8.7
1965,12.8
1966,10.5
1967,10.3
1968,8.6
1969,12.5
1970,13.2
1971,7.8
1972,7.2
1973,12.4
1974,10.3
1975,7.1
1976,5.5
1977,13.9
1978,12.1
1979,9.0
1980,15.4
1981,12.7
1982,3.9
1983,11.1
1984,5.6
1985,9.6
1986,10.4
1987,12.1
1988,10.3
1989,14.0
1990,10.6
1991,10.7
1992,11.0
1993,5.5
1994,10.3
1995,15.4
1996,10.5
1997,15.8
1998,20.2
1999,12.6
2000,9.5
2001,8.4
2002,12.2
2003,7.6
2004,9.6
2005,10.3
2006,11.0
2007,11.0
2008,12.2
2009,13.3
2010,11.3
2011,19.5
2012,11.9
2013,12.9
2014,
2015,
2016,7.6
2017,
2018,
