,09-24
1881,5.4
1882,-0.8
1883,1.6
1884,8.9
1885,6.0
1886,4.4
1887,8.1
1888,8.5
1889,5.8
1890,10.8
1891,0.9
1892,0.9
1893,7.9
1894,4.1
1895,9.3
1896,6.0
1897,7.6
1898,6.4
1899,8.0
1900,9.3
1901,9.0
1902,-0.6
1903,4.2
1904,5.7
1905,8.5
1906,1.0
1907,3.3
1908,7.3
1909,8.7
1910,5.1
1911,10.6
1912,2.1
1913,0.6
1914,1.9
1915,7.9
1916,6.9
1917,6.3
1918,6.1
1919,7.9
1920,7.6
1921,8.6
1922,1.3
1923,10.4
1924,8.8
1925,12.6
1926,9.0
1927,4.5
1928,7.6
1929,4.8
1930,2.0
1931,2.9
1932,7.2
1933,11.4
1934,11.7
1935,8.3
1936,6.4
1937,9.6
1938,12.2
1939,-2.0
1940,5.7
1941,-0.6
1942,11.1
1943,2.3
1944,8.5
1945,4.2
1946,4.6
1947,7.8
1948,5.1
1949,7.6
1950,8.4
1951,0.7
1952,4.3
1953,5.2
1954,7.1
1955,6.9
1956,-2.6
1957,7.3
1958,10.1
1959,3.4
1960,4.7
1961,9.6
1962,4.5
1963,11.1
1964,9.8
1965,7.8
1966,0.3
1967,11.1
1968,9.3
1969,6.3
1970,2.0
1971,7.2
1972,7.4
1973,0.1
1974,8.6
1975,12.2
1976,3.4
1977,-0.1
1978,1.0
1979,4.2
1980,1.8
1981,10.2
1982,9.1
1983,9.0
1984,13.1
1985,5.2
1986,2.9
1987,7.8
1988,9.0
1989,8.8
1990,4.1
1991,9.6
1992,6.8
1993,4.8
1994,9.2
1995,9.9
1996,5.5
1997,1.5
1998,5.5
1999,11.4
2000,5.3
2001,6.8
2002,0.8
2003,9.5
2004,10.1
2005,13.5
2006,12.8
2007,8.7
2008,8.0
2009,10.6
2010,9.6
2011,9.1
2012,9.0
2013,5.5
2014,2.7
2015,
2016,
2017,
2018,
