,04-10
1881,-7.4
1882,-2.4
1883,1.0
1884,-2.4
1885,-4.2
1886,4.9
1887,-7.0
1888,1.0
1889,-0.9
1890,5.6
1891,-2.5
1892,-1.0
1893,0.7
1894,0.5
1895,-1.4
1896,-5.0
1897,0.5
1898,-4.4
1899,2.1
1900,0.0
1901,0.7
1902,-7.7
1903,0.5
1904,0.6
1905,-6.6
1906,-0.3
1907,0.8
1908,0.2
1909,-9.8
1910,-0.4
1911,-3.4
1912,-4.9
1913,0.2
1914,1.3
1915,0.2
1916,-2.0
1917,-0.6
1918,-0.4
1919,3.2
1920,2.6
1921,0.3
1922,-0.8
1923,-3.4
1924,-0.1
1925,1.1
1926,-6.4
1927,1.0
1928,-6.7
1929,-4.2
1930,-0.7
1931,-2.5
1932,-2.5
1933,-3.7
1934,-3.7
1935,-3.5
1936,-1.7
1937,0.2
1938,-4.8
1939,-3.3
1940,-1.0
1941,-10.6
1942,-1.0
1943,-3.4
1944,-5.4
1945,-0.2
1946,-2.4
1947,-1.2
1948,5.1
1949,-0.3
1950,3.4
1951,5.6
1952,-1.9
1953,-0.6
1954,-4.8
1955,-2.6
1956,-0.3
1957,-7.0
1958,-4.8
1959,-0.6
1960,0.9
1961,-3.0
1962,4.9
1963,2.7
1964,-1.1
1965,-7.1
1966,-2.7
1967,5.5
1968,-2.5
1969,-0.9
1970,2.6
1971,1.9
1972,2.8
1973,0.2
1974,-4.6
1975,2.0
1976,-3.8
1977,-1.2
1978,0.3
1979,-4.0
1980,-0.3
1981,-0.4
1982,0.5
1983,0.6
1984,0.0
1985,-5.6
1986,-2.7
1987,-7.0
1988,-3.9
1989,3.4
1990,1.0
1991,3.5
1992,-5.4
1993,-3.7
1994,-1.2
1995,1.4
1996,-0.5
1997,-0.3
1998,-7.4
1999,3.3
2000,1.6
2001,2.6
2002,1.9
2003,1.8
2004,2.4
2005,1.7
2006,0.7
2007,-3.2
2008,4.3
2009,-0.7
2010,4.6
2011,2.4
2012,-4.3
2013,-5.6
2014,
2016,
2017,
2018,
2019,
