,01-18
1881,-26.6
1882,0.4
1883,-22.2
1884,-17.5
1885,-18.9
1886,-4.2
1887,-16.4
1888,-12.7
1889,-6.5
1890,-12.8
1891,-12.2
1892,-17.9
1893,-24.2
1894,-2.0
1895,-7.3
1896,-10.1
1897,-15.7
1898,-1.7
1899,-10.4
1900,-14.2
1901,-6.9
1902,-15.1
1903,-8.6
1904,-3.2
1905,-10.8
1906,0.4
1907,-18.7
1908,-1.0
1909,-2.2
1910,0.6
1911,-5.8
1912,
1913,
1914,-23.9
1915,-7.9
1916,-21.7
1917,-18.0
1918,-16.8
1919,-0.1
1920,-8.9
1921,-6.6
1922,-13.5
1923,-12.6
1924,-8.9
1925,-2.0
1926,-11.0
1927,-9.6
1928,-19.7
1929,-13.0
1930,-2.4
1931,-3.6
1932,1.7
1933,-18.7
1934,-1.4
1935,-16.7
1936,-12.3
1937,-10.2
1938,-3.4
1939,-1.3
1940,-32.1
1941,-23.1
1942,-18.0
1943,-13.7
1944,-3.6
1945,-6.4
1946,-3.6
1947,0.5
1948,-9.7
1949,-6.4
1950,-22.3
1951,-7.5
1952,-4.1
1953,-1.2
1954,-7.0
1955,-4.7
1956,
1957,-3.8
1958,-7.0
1959,-19.5
1960,-15.7
1961,-17.7
1962,1.9
1963,-26.5
1964,-5.9
1965,-3.1
1966,-17.7
1967,-3.3
1968,-27.5
1969,-18.7
1970,-18.5
1971,-4.0
1972,-21.3
1973,-14.0
1974,-5.5
1975,2.0
1976,-23.0
1977,-14.5
1978,-7.4
1979,-12.4
1980,-5.5
1981,-2.6
1982,-7.2
1983,-3.4
1984,-0.8
1985,-3.5
1986,-21.9
1987,-6.2
1988,-6.9
1989,-5.1
1990,-5.6
1991,-5.7
1992,-13.2
1993,1.2
1994,-7.8
1995,-5.6
1996,-4.4
1997,-6.6
1998,0.9
1999,1.8
2000,-3.3
2001,-3.3
2002,0.0
2003,0.4
2004,-6.7
2005,-1.8
2006,-25.9
2007,0.1
2008,0.7
2009,-5.0
2010,-13.5
2011,-6.2
2012,-6.0
2013,-17.0
2014,
2015,1.0
2016,-23.1
2017,-4.3
2018,
2019,
