,01-31
1881,-7.0
1882,-11.5
1883,0.6
1884,-5.3
1885,-14.2
1886,-10.9
1887,1.0
1888,-21.5
1889,-7.5
1890,-15.8
1891,-2.6
1892,-15.5
1893,-8.5
1894,-0.9
1895,-26.4
1896,-5.0
1897,-9.1
1898,-11.5
1899,-6.9
1900,-8.3
1901,-7.8
1902,-16.3
1903,-7.6
1904,-4.8
1905,-10.9
1906,-17.1
1907,-6.7
1908,-6.9
1909,-18.2
1910,-2.4
1911,-19.9
1912,-20.8
1913,
1914,-2.3
1915,
1916,-1.1
1917,-18.4
1918,-5.9
1919,-8.4
1920,-17.9
1921,-15.7
1922,-15.4
1923,-10.8
1924,-6.4
1925,-2.2
1926,-19.4
1927,-3.6
1928,-6.9
1929,-23.3
1930,-18.1
1931,-9.5
1932,-10.2
1933,-16.9
1934,-7.6
1935,-7.7
1936,-24.2
1937,-15.9
1938,0.7
1939,-14.4
1940,-13.4
1941,-14.0
1942,-14.2
1943,-5.2
1944,-3.4
1945,-15.1
1946,-11.3
1947,-6.0
1948,0.0
1949,-5.3
1950,-16.5
1951,-13.2
1952,-6.6
1953,-7.5
1954,-17.4
1955,-8.8
1956,
1957,-4.2
1958,-11.1
1959,-2.1
1960,-23.4
1961,-0.3
1962,-13.5
1963,-17.1
1964,-1.0
1965,-7.6
1966,-8.3
1967,-26.0
1968,-1.9
1969,-15.2
1970,-15.2
1971,-5.4
1972,-16.0
1973,-18.8
1974,0.3
1975,-3.9
1976,-21.0
1977,-2.7
1978,-8.1
1979,-12.1
1980,-18.0
1981,-4.3
1982,-6.4
1983,-11.3
1984,-10.0
1985,-16.0
1986,-5.3
1987,-13.1
1988,-14.5
1989,-1.0
1990,0.4
1991,-16.3
1992,-3.4
1993,-5.3
1994,-17.8
1995,-15.2
1996,-9.7
1997,-5.3
1998,-12.2
1999,-24.8
2000,-7.4
2001,-5.0
2002,-13.0
2003,-15.6
2004,-6.9
2005,-10.1
2006,-11.3
2007,-16.3
2008,-0.7
2009,-14.3
2010,-7.7
2011,-15.1
2012,-18.6
2013,-3.1
2014,
2015,
2016,
2017,
2018,
2019,
