,05-31
1881,3.6
1882,7.0
1883,9.5
1884,6.7
1885,10.2
1886,11.7
1887,3.6
1888,6.1
1889,16.7
1890,8.7
1891,9.9
1892,2.6
1893,7.0
1894,9.0
1895,6.6
1896,8.2
1897,15.1
1898,8.0
1899,7.3
1900,7.5
1901,3.2
1902,9.9
1903,13.9
1904,0.8
1905,12.7
1906,12.4
1907,2.3
1908,11.3
1909,10.6
1910,6.1
1911,8.2
1912,7.7
1913,9.3
1914,6.3
1915,9.6
1916,1.9
1917,13.4
1918,6.7
1919,10.8
1920,13.3
1921,12.4
1922,8.4
1923,3.4
1924,8.1
1925,11.9
1926,14.0
1927,6.9
1928,5.1
1929,6.2
1930,3.0
1931,3.7
1932,8.0
1933,6.3
1934,9.3
1935,2.5
1936,9.2
1937,7.7
1938,13.4
1939,9.4
1940,11.1
1941,5.7
1942,10.7
1943,3.3
1944,6.7
1945,8.7
1946,7.9
1947,4.8
1948,12.8
1949,11.2
1950,7.1
1951,2.7
1952,6.8
1953,7.3
1954,7.1
1955,3.8
1956,4.0
1957,5.2
1958,3.7
1959,6.6
1960,9.2
1961,14.8
1962,7.7
1963,7.1
1964,10.8
1965,4.9
1966,3.2
1967,11.1
1968,9.0
1969,6.9
1970,6.9
1971,11.2
1972,9.1
1973,12.3
1974,7.0
1975,4.9
1976,7.7
1977,5.1
1978,8.3
1979,12.0
1980,14.1
1981,10.9
1982,9.9
1983,10.6
1984,14.1
1985,15.7
1986,9.5
1987,5.0
1988,14.7
1989,8.8
1990,5.4
1991,6.4
1992,12.9
1993,7.8
1994,5.8
1995,15.1
1996,6.8
1997,9.1
1998,3.0
1999,4.9
2000,10.5
2001,5.5
2002,11.6
2003,10.1
2004,5.9
2005,10.2
2006,7.7
2007,14.1
2008,8.6
2009,12.0
2010,8.1
2011,9.4
2012,7.1
2013,15.0
2014,
2015,
2016,
2017,
2018,
