,07-14
1881,13.7
1882,14.9
1883,14.6
1884,12.7
1885,18.7
1886,11.3
1887,12.6
1888,10.8
1889,9.0
1890,13.7
1891,15.2
1892,9.6
1893,8.6
1894,14.2
1895,14.3
1896,13.9
1897,15.8
1898,16.6
1899,16.0
1900,8.5
1901,16.7
1902,9.2
1903,15.0
1904,12.2
1905,10.9
1906,21.0
1907,18.6
1908,14.1
1909,16.3
1910,13.6
1911,10.8
1912,11.1
1913,15.5
1914,20.6
1915,13.1
1916,14.0
1917,14.8
1918,12.1
1919,17.3
1920,17.6
1921,9.5
1922,11.6
1923,17.6
1924,12.6
1925,13.6
1926,17.7
1927,17.7
1928,16.3
1929,17.1
1930,11.6
1931,13.7
1932,13.6
1933,16.3
1934,17.3
1935,13.3
1936,19.0
1937,15.5
1938,17.6
1939,13.6
1940,19.2
1941,18.5
1942,13.6
1943,15.3
1944,15.6
1945,14.3
1946,13.3
1947,12.9
1948,8.2
1949,14.7
1950,12.6
1951,17.4
1952,13.2
1953,15.3
1954,15.6
1955,17.1
1956,12.5
1957,15.4
1958,10.4
1959,18.5
1960,15.8
1961,14.7
1962,11.4
1963,13.1
1964,14.6
1965,13.5
1966,14.1
1967,11.1
1968,10.8
1969,13.9
1970,12.9
1971,10.8
1972,21.4
1973,15.8
1974,13.6
1975,15.8
1976,9.7
1977,10.7
1978,8.7
1979,16.6
1980,12.2
1981,18.4
1982,13.1
1983,18.0
1984,15.1
1985,14.2
1986,13.9
1987,11.2
1988,18.0
1989,17.0
1990,11.8
1991,16.9
1992,16.4
1993,14.4
1994,18.7
1995,14.6
1996,14.0
1997,11.3
1998,13.9
1999,19.9
2000,14.9
2001,16.3
2002,15.9
2003,17.2
2004,14.3
2005,20.9
2006,18.8
2007,16.6
2008,16.3
2009,15.1
2010,24.0
2011,17.0
2012,14.3
2013,14.0
2014,
2015,
2016,
2017,
2018,
