,DATE,TMIN
287,1881-10-15,3.5
652,1882-10-15,-1.5
1017,1883-10-15,1.0
1383,1884-10-15,0.4
1748,1885-10-15,7.3
2113,1886-10-15,3.2
2478,1887-10-15,1.7
2844,1888-10-15,4.6
3209,1889-10-15,7.4
3574,1890-10-15,2.4
3939,1891-10-15,3.0
4305,1892-10-15,1.7
4670,1893-10-15,4.3
5035,1894-10-15,4.5
5400,1895-10-15,5.0
5766,1896-10-15,-0.9
6131,1897-10-15,3.5
6496,1898-10-15,-4.5
6861,1899-10-15,6.9
7226,1900-10-15,7.1
7591,1901-10-15,1.4
7956,1902-10-15,-1.9
8321,1903-10-15,-1.4
8687,1904-10-15,5.1
9052,1905-10-15,1.1
9417,1906-10-15,4.6
9782,1907-10-15,8.6
10148,1908-10-15,3.7
10513,1909-10-15,9.0
10878,1910-10-15,4.6
11243,1911-10-15,-4.2
11609,1912-10-15,1.2
11974,1913-10-15,4.4
12339,1914-10-15,3.6
12704,1915-10-15,2.0
13070,1916-10-15,0.5
13435,1917-10-15,8.7
13800,1918-10-15,5.5
14165,1919-10-15,4.6
14531,1920-10-15,0.6
14896,1921-10-15,3.5
15261,1922-10-15,7.1
15626,1923-10-15,4.3
15992,1924-10-15,5.4
16357,1925-10-15,0.0
16722,1926-10-15,1.6
17087,1927-10-15,-3.4
17453,1928-10-15,-2.8
17818,1929-10-15,4.2
18183,1930-10-15,2.9
18548,1931-10-15,3.8
18914,1932-10-15,7.8
19279,1933-10-15,2.6
19644,1934-10-15,3.5
20009,1935-10-15,7.5
20375,1936-10-15,-0.4
20740,1937-10-15,-4.7
21105,1938-10-15,4.1
21470,1939-10-15,1.1
21836,1940-10-15,2.6
22201,1941-10-15,-2.8
22566,1942-10-15,1.8
22931,1943-10-15,2.5
23297,1944-10-15,2.9
23662,1945-10-15,-1.5
24027,1946-10-15,-4.2
24392,1947-10-15,8.9
24758,1948-10-15,4.8
25123,1949-10-15,4.2
25488,1950-10-15,3.2
25853,1951-10-15,6.5
26219,1952-10-15,1.9
26584,1953-10-15,9.2
26949,1954-10-15,4.7
27314,1955-10-15,5.3
27680,1956-10-15,2.6
28045,1957-10-15,3.6
28410,1958-10-15,5.1
28775,1959-10-15,-2.5
29141,1960-10-15,1.4
29506,1961-10-15,5.0
29871,1962-10-15,-0.6
30236,1963-10-15,1.0
30602,1964-10-15,5.9
30967,1965-10-15,-0.5
31332,1966-10-15,4.8
31697,1967-10-15,9.0
32063,1968-10-15,2.9
32428,1969-10-15,6.8
32793,1970-10-15,0.6
33158,1971-10-15,-3.6
33524,1972-10-15,3.5
33889,1973-10-15,0.0
34254,1974-10-15,5.7
34619,1975-10-15,5.4
34985,1976-10-15,-3.5
35350,1977-10-15,-3.7
35715,1978-10-15,3.7
36080,1979-10-15,10.1
36446,1980-10-15,6.5
36811,1981-10-15,4.9
37176,1982-10-15,7.6
37541,1983-10-15,8.9
37907,1984-10-15,-0.3
38272,1985-10-15,5.0
38637,1986-10-15,6.8
39002,1987-10-15,6.6
39368,1988-10-15,7.1
39733,1989-10-15,6.0
40098,1990-10-15,7.7
40463,1991-10-15,5.7
40829,1992-10-15,-2.4
41194,1993-10-15,0.2
41559,1994-10-15,6.7
41924,1995-10-15,3.3
42290,1996-10-15,-1.0
42655,1997-10-15,3.3
43020,1998-10-15,6.4
43385,1999-10-15,3.5
43751,2000-10-15,8.3
44116,2001-10-15,5.5
44481,2002-10-15,-4.1
44846,2003-10-15,2.4
45212,2004-10-15,1.0
45577,2005-10-15,6.1
45942,2006-10-15,5.6
46307,2007-10-15,3.5
46673,2008-10-15,7.3
47038,2009-10-15,3.4
47403,2010-10-15,0.7
47768,2011-10-15,-0.8
48134,2012-10-15,4.2
48499,2013-10-15,4.8
48864,2014-10-15,
49208,2015-10-15,
49574,2016-10-15,
49939,2017-10-15,
50303,2018-10-15,
