,03-21
1881,-22.1
1882,0.0
1883,-20.7
1884,-8.9
1885,-4.5
1886,-9.3
1887,-13.9
1888,-11.1
1889,-8.0
1890,1.4
1891,-14.2
1892,-5.1
1893,-12.1
1894,-12.8
1895,-17.0
1896,-0.4
1897,-6.7
1898,-13.1
1899,-14.5
1900,-10.1
1901,-13.5
1902,-9.9
1903,-0.4
1904,-5.1
1905,-3.7
1906,-7.6
1907,-5.7
1908,-10.5
1909,-5.4
1910,-1.8
1911,-17.9
1912,0.6
1913,0.2
1914,-10.5
1915,-10.4
1916,-16.3
1917,-26.7
1918,-8.7
1919,-18.5
1920,-2.0
1921,1.0
1922,-18.0
1923,-7.0
1924,-14.3
1925,-1.2
1926,-8.1
1927,-5.4
1928,-6.1
1929,-2.8
1930,1.4
1931,-6.4
1932,-13.4
1933,0.3
1934,0.8
1935,-4.6
1936,-5.5
1937,0.3
1938,0.4
1939,-5.7
1940,-10.4
1941,-10.9
1942,-18.5
1943,-3.6
1944,-6.1
1945,-2.1
1946,-10.5
1947,-7.5
1948,-6.6
1949,-3.5
1950,1.9
1951,-5.2
1952,-16.5
1953,-2.8
1954,-2.8
1955,-6.9
1956,-8.3
1957,-20.5
1958,-16.3
1959,-3.6
1960,-10.3
1961,-6.2
1962,-9.8
1963,-22.3
1964,-7.4
1965,-2.1
1966,-3.5
1967,-0.3
1968,-0.2
1969,-10.6
1970,0.6
1971,0.1
1972,0.0
1973,-12.1
1974,-2.1
1975,-5.5
1976,-12.8
1977,-1.4
1978,-16.1
1979,-6.6
1980,-17.0
1981,-3.5
1982,-4.4
1983,0.0
1984,-12.6
1985,-0.3
1986,-1.8
1987,-4.2
1988,-0.5
1989,0.0
1990,0.5
1991,2.1
1992,2.8
1993,-3.5
1994,-6.2
1995,0.1
1996,-7.6
1997,-9.8
1998,-10.4
1999,0.4
2000,1.4
2001,-13.9
2002,2.7
2003,-10.3
2004,0.8
2005,-10.0
2006,-13.9
2007,3.7
2008,-6.7
2009,0.0
2010,0.6
2011,-3.6
2012,-1.5
2013,-11.5
2014,-2.9
2015,
2016,
2017,
2018,-9.5
2019,0.2
