,08-13
1881,13.6
1882,12.0
1883,12.1
1884,7.8
1885,13.8
1886,13.7
1887,11.7
1888,12.4
1889,13.6
1890,16.1
1891,10.0
1892,11.0
1893,13.7
1894,12.9
1895,7.5
1896,9.4
1897,8.8
1898,11.0
1899,11.3
1900,14.1
1901,12.9
1902,13.5
1903,13.5
1904,11.6
1905,11.7
1906,13.7
1907,11.8
1908,15.3
1909,9.7
1910,8.1
1911,17.7
1912,13.5
1913,14.9
1914,13.1
1915,12.8
1916,9.1
1917,16.2
1918,11.1
1919,10.5
1920,14.1
1921,12.5
1922,11.2
1923,6.5
1924,14.7
1925,17.1
1926,10.9
1927,15.7
1928,11.2
1929,14.9
1930,13.7
1931,14.8
1932,15.7
1933,9.5
1934,15.0
1935,16.3
1936,15.0
1937,17.5
1938,9.4
1939,13.8
1940,13.4
1941,13.3
1942,14.2
1943,12.7
1944,16.5
1945,17.3
1946,15.7
1947,12.6
1948,16.1
1949,12.2
1950,11.4
1951,15.4
1952,11.1
1953,11.3
1954,12.0
1955,11.5
1956,10.4
1957,15.7
1958,10.8
1959,12.3
1960,16.3
1961,12.9
1962,14.4
1963,13.2
1964,8.8
1965,8.0
1966,13.3
1967,16.8
1968,13.9
1969,13.7
1970,15.6
1971,14.2
1972,12.9
1973,13.0
1974,13.5
1975,8.5
1976,7.7
1977,12.6
1978,8.7
1979,13.8
1980,16.5
1981,10.3
1982,13.6
1983,15.1
1984,8.7
1985,14.5
1986,12.9
1987,8.4
1988,13.4
1989,16.8
1990,14.0
1991,12.2
1992,14.2
1993,12.1
1994,14.5
1995,7.5
1996,14.2
1997,13.4
1998,9.0
1999,15.4
2000,16.1
2001,13.8
2002,16.3
2003,13.3
2004,9.8
2005,15.9
2006,14.6
2007,19.8
2008,18.4
2009,14.5
2010,19.0
2011,12.9
2012,7.8
2013,14.4
2014,
2015,
2016,
2017,
2018,
