,09-22
1881,1.3
1882,4.4
1883,2.7
1884,-0.1
1885,9.0
1886,1.9
1887,6.9
1888,9.9
1889,6.3
1890,8.5
1891,4.2
1892,6.0
1893,9.5
1894,-0.5
1895,2.2
1896,8.0
1897,6.5
1898,5.2
1899,6.5
1900,10.6
1901,9.6
1902,-0.1
1903,6.1
1904,6.2
1905,7.3
1906,7.5
1907,-0.9
1908,10.3
1909,10.7
1910,1.0
1911,10.4
1912,4.3
1913,5.5
1914,7.7
1915,3.2
1916,4.6
1917,8.2
1918,8.0
1919,7.7
1920,7.6
1921,9.1
1922,6.2
1923,10.7
1924,11.6
1925,6.5
1926,8.7
1927,5.5
1928,6.9
1929,8.6
1930,7.1
1931,5.5
1932,4.3
1933,6.6
1934,8.0
1935,8.7
1936,10.6
1937,11.3
1938,8.5
1939,4.9
1940,9.3
1941,8.0
1942,2.5
1943,8.8
1944,7.3
1945,5.3
1946,7.8
1947,6.3
1948,6.2
1949,5.6
1950,10.1
1951,5.6
1952,3.5
1953,4.8
1954,6.9
1955,9.2
1956,0.5
1957,3.3
1958,10.7
1959,7.3
1960,4.7
1961,2.7
1962,3.8
1963,7.2
1964,7.3
1965,9.3
1966,1.5
1967,5.5
1968,8.6
1969,1.1
1970,7.1
1971,7.9
1972,10.9
1973,3.5
1974,9.0
1975,8.6
1976,4.8
1977,3.9
1978,2.1
1979,9.0
1980,4.8
1981,7.0
1982,13.3
1983,10.7
1984,8.8
1985,6.1
1986,6.2
1987,3.2
1988,2.4
1989,12.0
1990,5.5
1991,7.0
1992,10.0
1993,7.8
1994,11.8
1995,5.1
1996,6.3
1997,5.8
1998,13.1
1999,7.0
2000,3.5
2001,8.7
2002,2.8
2003,10.3
2004,11.1
2005,11.5
2006,12.9
2007,12.5
2008,6.8
2009,12.7
2010,10.6
2011,12.8
2012,8.2
2013,11.8
2014,
2015,
2016,9.5
2017,9.0
2018,
