,DATE,TMIN
283,1881-10-11,7.3
648,1882-10-11,1.0
1013,1883-10-11,4.1
1379,1884-10-11,9.5
1744,1885-10-11,9.0
2109,1886-10-11,1.0
2474,1887-10-11,-2.1
2840,1888-10-11,4.9
3205,1889-10-11,11.9
3570,1890-10-11,-1.3
3935,1891-10-11,1.7
4301,1892-10-11,7.6
4666,1893-10-11,8.2
5031,1894-10-11,3.9
5396,1895-10-11,10.2
5762,1896-10-11,10.2
6127,1897-10-11,6.0
6492,1898-10-11,4.9
6857,1899-10-11,4.5
7222,1900-10-11,0.8
7587,1901-10-11,2.4
7952,1902-10-11,2.1
8317,1903-10-11,-1.6
8683,1904-10-11,3.6
9048,1905-10-11,2.6
9413,1906-10-11,5.5
9778,1907-10-11,5.2
10144,1908-10-11,5.7
10509,1909-10-11,2.4
10874,1910-10-11,0.6
11239,1911-10-11,-1.9
11605,1912-10-11,0.9
11970,1913-10-11,-1.4
12335,1914-10-11,-0.4
12700,1915-10-11,0.5
13066,1916-10-11,5.5
13431,1917-10-11,4.6
13796,1918-10-11,7.3
14161,1919-10-11,-0.1
14527,1920-10-11,5.2
14892,1921-10-11,-0.4
15257,1922-10-11,3.8
15622,1923-10-11,6.0
15988,1924-10-11,3.1
16353,1925-10-11,1.2
16718,1926-10-11,5.7
17083,1927-10-11,1.6
17449,1928-10-11,8.8
17814,1929-10-11,8.4
18179,1930-10-11,0.7
18544,1931-10-11,6.7
18910,1932-10-11,1.7
19275,1933-10-11,2.8
19640,1934-10-11,8.2
20005,1935-10-11,10.1
20371,1936-10-11,1.1
20736,1937-10-11,2.1
21101,1938-10-11,7.9
21466,1939-10-11,0.5
21832,1940-10-11,5.7
22197,1941-10-11,-3.9
22562,1942-10-11,6.6
22927,1943-10-11,4.8
23293,1944-10-11,4.8
23658,1945-10-11,1.7
24023,1946-10-11,5.8
24388,1947-10-11,0.0
24754,1948-10-11,-1.3
25119,1949-10-11,1.9
25484,1950-10-11,5.6
25849,1951-10-11,3.9
26215,1952-10-11,6.1
26580,1953-10-11,8.3
26945,1954-10-11,7.5
27310,1955-10-11,11.1
27676,1956-10-11,-2.5
28041,1957-10-11,2.8
28406,1958-10-11,6.1
28771,1959-10-11,1.3
29137,1960-10-11,8.2
29502,1961-10-11,10.5
29867,1962-10-11,2.3
30232,1963-10-11,6.3
30598,1964-10-11,8.4
30963,1965-10-11,-4.9
31328,1966-10-11,-2.3
31693,1967-10-11,6.9
32059,1968-10-11,-2.5
32424,1969-10-11,-0.6
32789,1970-10-11,7.4
33154,1971-10-11,1.1
33520,1972-10-11,7.5
33885,1973-10-11,-0.9
34250,1974-10-11,6.0
34615,1975-10-11,-1.5
34981,1976-10-11,0.7
35346,1977-10-11,6.9
35711,1978-10-11,-1.6
36076,1979-10-11,9.2
36442,1980-10-11,7.9
36807,1981-10-11,8.8
37172,1982-10-11,-2.4
37537,1983-10-11,3.5
37903,1984-10-11,5.2
38268,1985-10-11,9.1
38633,1986-10-11,0.5
38998,1987-10-11,6.3
39364,1988-10-11,7.7
39729,1989-10-11,3.0
40094,1990-10-11,7.2
40459,1991-10-11,6.2
40825,1992-10-11,-1.5
41190,1993-10-11,8.0
41555,1994-10-11,5.0
41920,1995-10-11,11.4
42286,1996-10-11,4.9
42651,1997-10-11,4.0
43016,1998-10-11,8.8
43381,1999-10-11,5.7
43747,2000-10-11,7.4
44112,2001-10-11,10.1
44477,2002-10-11,0.9
44842,2003-10-11,5.1
45208,2004-10-11,0.8
45573,2005-10-11,10.1
45938,2006-10-11,10.4
46303,2007-10-11,0.7
46669,2008-10-11,6.8
47034,2009-10-11,0.6
47399,2010-10-11,3.9
47764,2011-10-11,6.3
48130,2012-10-11,5.0
48495,2013-10-11,8.0
48860,2014-10-11,
49204,2015-10-11,0.9
49570,2016-10-11,
49935,2017-10-11,
50299,2018-10-11,
