,03-13
1881,-8.3
1882,-3.9
1883,-13.1
1884,-12.3
1885,-12.5
1886,-13.0
1887,-19.5
1888,-24.0
1889,-6.2
1890,-1.0
1891,0.1
1892,-6.6
1893,-9.8
1894,-4.8
1895,-1.8
1896,-8.5
1897,-8.3
1898,-9.6
1899,-5.3
1900,-0.4
1901,-9.1
1902,-23.4
1903,-3.8
1904,-4.4
1905,2.2
1906,-8.3
1907,-14.4
1908,-16.3
1909,-16.7
1910,-1.6
1911,-5.5
1912,-4.0
1913,-5.3
1914,-9.4
1915,-5.8
1916,-4.0
1917,-17.6
1918,-15.4
1919,-6.6
1920,-6.2
1921,-0.7
1922,-9.8
1923,-10.7
1924,-20.2
1925,-11.8
1926,-9.8
1927,-5.1
1928,-8.6
1929,0.9
1930,-9.8
1931,-7.3
1932,-14.1
1933,-1.0
1934,-19.4
1935,-0.2
1936,-1.4
1937,-10.9
1938,-9.7
1939,-12.2
1940,-13.4
1941,-21.4
1942,-26.1
1943,-2.1
1944,0.2
1945,-11.4
1946,-18.9
1947,-9.8
1948,-6.2
1949,-5.3
1950,-3.4
1951,-17.5
1952,-9.0
1953,-16.9
1954,-4.7
1955,-5.2
1956,-4.6
1957,-2.8
1958,-2.9
1959,-10.2
1960,-9.3
1961,0.4
1962,-10.1
1963,-9.8
1964,-18.4
1965,-2.3
1966,-8.8
1967,0.1
1968,-17.6
1969,-18.4
1970,-6.1
1971,-13.9
1972,-1.5
1973,-1.4
1974,-1.4
1975,-3.1
1976,-8.7
1977,-0.1
1978,-6.1
1979,-0.6
1980,-6.6
1981,-15.8
1982,-3.0
1983,-10.2
1984,-5.5
1985,-1.4
1986,-1.8
1987,-15.2
1988,-1.7
1989,1.2
1990,-4.5
1991,-7.5
1992,1.4
1993,-10.6
1994,2.3
1995,-4.5
1996,-7.1
1997,1.7
1998,-9.7
1999,-6.3
2000,-10.8
2001,3.4
2002,0.8
2003,1.1
2004,-6.5
2005,-13.0
2006,-10.1
2007,3.4
2008,1.0
2009,-7.8
2010,-18.0
2011,-2.7
2012,-2.7
2013,-7.7
2014,
2015,
2016,
2017,-3.5
2018,0.7
2019,
