,06-21
1881,8.7
1882,10.9
1883,15.7
1884,16.2
1885,10.9
1886,12.8
1887,13.4
1888,8.1
1889,13.1
1890,10.2
1891,11.5
1892,10.0
1893,9.3
1894,8.4
1895,15.8
1896,12.9
1897,12.4
1898,3.7
1899,6.5
1900,7.5
1901,12.8
1902,12.8
1903,16.7
1904,10.3
1905,16.0
1906,13.3
1907,12.0
1908,12.3
1909,9.5
1910,4.9
1911,9.1
1912,12.3
1913,5.6
1914,13.2
1915,7.0
1916,8.3
1917,18.3
1918,9.9
1919,12.0
1920,14.2
1921,6.5
1922,10.0
1923,15.8
1924,12.7
1925,9.6
1926,9.9
1927,11.8
1928,8.9
1929,13.6
1930,16.7
1931,12.5
1932,10.3
1933,11.6
1934,13.6
1935,14.9
1936,15.9
1937,13.1
1938,10.3
1939,15.5
1940,12.6
1941,10.4
1942,11.6
1943,11.5
1944,13.4
1945,9.2
1946,12.2
1947,12.1
1948,11.6
1949,7.5
1950,11.7
1951,11.4
1952,11.4
1953,15.5
1954,15.6
1955,5.5
1956,15.7
1957,7.4
1958,11.2
1959,9.6
1960,9.4
1961,11.5
1962,11.8
1963,10.7
1964,16.2
1965,13.1
1966,15.4
1967,11.3
1968,17.9
1969,12.0
1970,13.5
1971,10.4
1972,14.5
1973,11.1
1974,16.2
1975,14.4
1976,8.9
1977,7.3
1978,7.2
1979,11.0
1980,16.8
1981,11.3
1982,12.4
1983,6.6
1984,12.5
1985,12.8
1986,12.1
1987,11.3
1988,15.0
1989,14.4
1990,8.6
1991,12.7
1992,13.5
1993,11.5
1994,8.7
1995,10.4
1996,11.6
1997,11.0
1998,12.1
1999,18.3
2000,15.0
2001,13.9
2002,15.6
2003,11.1
2004,13.2
2005,7.7
2006,19.1
2007,11.7
2008,14.3
2009,10.6
2010,13.6
2011,12.4
2012,12.4
2013,15.5
2014,
2015,
2016,
2017,
2018,
