,DATE,TMIN
361,1881-12-28,-3.9
726,1882-12-28,-10.7
1091,1883-12-28,-8.1
1457,1884-12-28,-5.2
1822,1885-12-28,-20.8
2187,1886-12-28,-7.6
2552,1887-12-28,-16.1
2918,1888-12-28,-12.3
3283,1889-12-28,-0.5
3648,1890-12-28,-12.3
4013,1891-12-28,0.0
4379,1892-12-28,-16.3
4744,1893-12-28,-8.1
5109,1894-12-28,-5.1
5474,1895-12-28,-17.5
5840,1896-12-28,-0.1
6205,1897-12-28,-14.9
6570,1898-12-28,1.0
6935,1899-12-28,-14.7
7300,1900-12-28,-16.3
7665,1901-12-28,-14.7
8030,1902-12-28,-10.1
8395,1903-12-28,-7.8
8761,1904-12-28,-18.7
9126,1905-12-28,-12.2
9491,1906-12-28,-9.0
9856,1907-12-28,-26.4
10222,1908-12-28,-24.2
10587,1909-12-28,-5.2
10952,1910-12-28,-5.1
11317,1911-12-28,-6.1
11683,1912-12-28,-5.7
12048,1913-12-28,-19.0
12413,1914-12-28,-8.8
12778,1915-12-28,-23.6
13144,1916-12-28,-16.3
13509,1917-12-28,-3.6
13874,1918-12-28,-3.6
14239,1919-12-28,-23.7
14605,1920-12-28,-9.8
14970,1921-12-28,-3.6
15335,1922-12-28,-0.2
15700,1923-12-28,-11.8
16066,1924-12-28,-4.6
16431,1925-12-28,-9.9
16796,1926-12-28,-8.9
17161,1927-12-28,-19.1
17527,1928-12-28,-1.2
17892,1929-12-28,-8.0
18257,1930-12-28,-18.5
18622,1931-12-28,-10.9
18988,1932-12-28,2.1
19353,1933-12-28,-17.5
19718,1934-12-28,-8.5
20083,1935-12-28,-6.7
20449,1936-12-28,-4.3
20814,1937-12-28,-8.1
21179,1938-12-28,-10.1
21544,1939-12-28,-18.0
21910,1940-12-28,-12.8
22275,1941-12-28,-22.1
22640,1942-12-28,-0.1
23005,1943-12-28,-0.7
23371,1944-12-28,0.8
23736,1945-12-28,-7.7
24101,1946-12-28,-6.5
24466,1947-12-28,-15.0
24832,1948-12-28,-1.1
25197,1949-12-28,-12.9
25562,1950-12-28,-14.6
25927,1951-12-28,-0.2
26293,1952-12-28,-4.9
26658,1953-12-28,-5.9
27023,1954-12-28,-4.7
27388,1955-12-28,-3.4
27754,1956-12-28,-4.5
28119,1957-12-28,2.1
28484,1958-12-28,-12.5
28849,1959-12-28,0.3
29215,1960-12-28,-0.8
29580,1961-12-28,-22.3
29945,1962-12-28,-13.0
30310,1963-12-28,-2.6
30676,1964-12-28,-12.4
31041,1965-12-28,-2.6
31406,1966-12-28,-9.0
31771,1967-12-28,-17.4
32137,1968-12-28,-3.4
32502,1969-12-28,-3.0
32867,1970-12-28,-6.3
33232,1971-12-28,-6.3
33598,1972-12-28,-5.1
33963,1973-12-28,-0.8
34328,1974-12-28,-0.8
34693,1975-12-28,-3.1
35059,1976-12-28,-24.6
35424,1977-12-28,-17.6
35789,1978-12-28,-24.3
36154,1979-12-28,-1.0
36520,1980-12-28,-1.0
36885,1981-12-28,-1.3
37250,1982-12-28,0.3
37615,1983-12-28,-3.7
37981,1984-12-28,-9.7
38346,1985-12-28,-11.0
38711,1986-12-28,-19.3
39076,1987-12-28,-7.9
39442,1988-12-28,-18.3
39807,1989-12-28,-1.5
40172,1990-12-28,-2.7
40537,1991-12-28,-6.7
40903,1992-12-28,-8.2
41268,1993-12-28,-12.1
41633,1994-12-28,-3.7
41998,1995-12-28,-21.9
42364,1996-12-28,-5.1
42729,1997-12-28,-2.5
43094,1998-12-28,-0.2
43459,1999-12-28,-9.1
43825,2000-12-28,-16.5
44190,2001-12-28,-18.8
44555,2002-12-28,-24.1
44920,2003-12-28,1.7
45286,2004-12-28,-8.0
45651,2005-12-28,-15.2
46016,2006-12-28,-2.0
46381,2007-12-28,-1.0
46747,2008-12-28,-5.2
47112,2009-12-28,-12.5
47477,2010-12-28,-9.5
47842,2011-12-28,0.7
48208,2012-12-28,-3.1
48573,2013-12-28,3.4
48938,2014-12-28,
49282,2015-12-28,
49648,2016-12-28,
50013,2017-12-28,
50371,2018-12-28,
