,06-20
1881,11.0
1882,8.2
1883,16.2
1884,13.9
1885,7.3
1886,14.9
1887,10.8
1888,10.3
1889,13.9
1890,7.1
1891,10.3
1892,9.5
1893,9.1
1894,14.2
1895,15.1
1896,15.9
1897,9.9
1898,6.1
1899,10.7
1900,9.7
1901,14.5
1902,7.1
1903,13.0
1904,10.0
1905,18.5
1906,10.2
1907,11.1
1908,17.6
1909,10.3
1910,3.0
1911,8.6
1912,10.0
1913,3.1
1914,10.1
1915,7.0
1916,5.5
1917,15.8
1918,9.3
1919,14.7
1920,12.6
1921,9.5
1922,12.1
1923,15.3
1924,14.3
1925,8.1
1926,7.7
1927,13.2
1928,9.0
1929,12.3
1930,13.6
1931,10.8
1932,11.8
1933,15.8
1934,12.1
1935,10.9
1936,16.2
1937,15.9
1938,8.0
1939,14.6
1940,13.5
1941,11.1
1942,9.8
1943,13.1
1944,12.4
1945,10.2
1946,14.0
1947,15.0
1948,11.2
1949,7.8
1950,13.5
1951,13.0
1952,12.8
1953,17.8
1954,14.1
1955,6.4
1956,12.0
1957,6.7
1958,8.7
1959,10.4
1960,11.1
1961,11.7
1962,9.6
1963,8.2
1964,13.3
1965,13.6
1966,14.3
1967,12.5
1968,20.0
1969,13.4
1970,15.4
1971,10.0
1972,13.1
1973,9.1
1974,15.4
1975,11.9
1976,10.3
1977,14.8
1978,6.4
1979,7.8
1980,16.0
1981,12.4
1982,6.8
1983,13.7
1984,14.3
1985,12.4
1986,18.6
1987,9.8
1988,14.0
1989,14.0
1990,6.9
1991,10.2
1992,11.5
1993,12.3
1994,10.6
1995,11.0
1996,11.8
1997,10.8
1998,14.9
1999,13.8
2000,9.3
2001,14.7
2002,16.2
2003,11.8
2004,11.9
2005,8.4
2006,18.0
2007,11.8
2008,14.1
2009,10.7
2010,13.5
2011,13.1
2012,12.8
2013,11.1
2014,
2015,
2016,
2017,
2018,
