,07-24
1881,12.9
1882,18.3
1883,16.2
1884,9.9
1885,19.1
1886,14.0
1887,13.1
1888,13.3
1889,12.5
1890,14.5
1891,17.6
1892,12.1
1893,15.0
1894,15.6
1895,16.7
1896,18.6
1897,18.3
1898,12.4
1899,13.4
1900,12.2
1901,15.1
1902,11.0
1903,11.8
1904,11.6
1905,16.3
1906,14.0
1907,10.2
1908,13.0
1909,12.5
1910,15.5
1911,14.3
1912,9.2
1913,15.1
1914,18.8
1915,15.8
1916,15.0
1917,12.4
1918,13.7
1919,15.2
1920,13.3
1921,12.6
1922,16.1
1923,11.3
1924,12.8
1925,19.5
1926,14.4
1927,16.2
1928,9.7
1929,13.8
1930,11.1
1931,12.2
1932,17.4
1933,16.6
1934,17.9
1935,13.9
1936,19.3
1937,17.0
1938,17.8
1939,18.2
1940,15.3
1941,16.1
1942,13.9
1943,11.1
1944,15.7
1945,15.2
1946,16.2
1947,10.4
1948,12.9
1949,13.9
1950,15.9
1951,7.6
1952,12.4
1953,19.3
1954,11.8
1955,8.9
1956,8.8
1957,17.2
1958,15.5
1959,14.4
1960,14.5
1961,15.8
1962,16.5
1963,15.0
1964,11.0
1965,13.0
1966,14.2
1967,13.0
1968,5.0
1969,16.4
1970,11.9
1971,12.9
1972,12.0
1973,14.1
1974,17.4
1975,15.5
1976,19.1
1977,14.1
1978,9.7
1979,11.4
1980,14.7
1981,13.9
1982,11.8
1983,12.0
1984,13.0
1985,14.0
1986,15.1
1987,16.2
1988,14.4
1989,13.0
1990,16.3
1991,13.5
1992,16.1
1993,17.0
1994,10.4
1995,14.6
1996,12.5
1997,17.0
1998,15.8
1999,16.6
2000,16.3
2001,15.5
2002,16.3
2003,19.1
2004,16.9
2005,15.5
2006,14.3
2007,16.0
2008,15.8
2009,15.0
2010,18.3
2011,18.8
2012,14.9
2013,15.9
2014,
2015,
2016,
2017,
2018,
