,DATE,TMIN
6,1881-01-07,-8.5
371,1882-01-07,0.5
736,1883-01-07,-25.5
1101,1884-01-07,-7.2
1467,1885-01-07,-11.2
1832,1886-01-07,-7.4
2197,1887-01-07,-4.3
2562,1888-01-07,-5.3
2928,1889-01-07,-0.1
3293,1890-01-07,-0.3
3658,1891-01-07,-24.3
4023,1892-01-07,-3.6
4389,1893-01-07,-15.3
4754,1894-01-07,-3.8
5119,1895-01-07,-7.8
5484,1896-01-07,-3.3
5850,1897-01-07,-21.3
6215,1898-01-07,-1.2
6580,1899-01-07,-20.2
6945,1900-01-07,-14.8
7310,1901-01-07,-1.6
7675,1902-01-07,-10.5
8040,1903-01-07,-2.9
8405,1904-01-07,-7.9
8771,1905-01-07,-23.1
9136,1906-01-07,-5.6
9501,1907-01-07,-7.2
9866,1908-01-07,-19.9
10232,1909-01-07,-5.3
10597,1910-01-07,-25.8
10962,1911-01-07,-6.8
11327,1912-01-07,-24.3
11693,1913-01-07,
12058,1914-01-07,-17.0
12423,1915-01-07,-21.7
12788,1916-01-07,-1.3
13154,1917-01-07,-20.5
13519,1918-01-07,-23.8
13884,1919-01-07,1.1
14249,1920-01-07,-7.3
14615,1921-01-07,-1.1
14980,1922-01-07,-8.0
15345,1923-01-07,-6.1
15710,1924-01-07,-10.2
16076,1925-01-07,-1.9
16441,1926-01-07,-21.8
16806,1927-01-07,-20.0
17171,1928-01-07,-2.5
17537,1929-01-07,-4.9
17902,1930-01-07,-1.5
18267,1931-01-07,-4.6
18632,1932-01-07,-8.3
18998,1933-01-07,-3.7
19363,1934-01-07,-3.2
19728,1935-01-07,-24.0
20093,1936-01-07,-6.1
20459,1937-01-07,0.3
20824,1938-01-07,-12.6
21189,1939-01-07,-6.9
21554,1940-01-07,-22.3
21920,1941-01-07,-2.2
22285,1942-01-07,-16.6
22650,1943-01-07,-17.8
23015,1944-01-07,-3.5
23381,1945-01-07,-9.7
23746,1946-01-07,-4.0
24111,1947-01-07,-10.8
24476,1948-01-07,-10.8
24842,1949-01-07,-0.3
25207,1950-01-07,-26.6
25572,1951-01-07,-7.6
25937,1952-01-07,-2.5
26303,1953-01-07,-16.2
26668,1954-01-07,-5.6
27033,1955-01-07,-19.1
27398,1956-01-07,
27764,1957-01-07,-9.1
28129,1958-01-07,-25.1
28494,1959-01-07,-2.7
28859,1960-01-07,-8.1
29225,1961-01-07,0.0
29590,1962-01-07,-6.4
29955,1963-01-07,-8.5
30320,1964-01-07,-2.2
30686,1965-01-07,-15.6
31051,1966-01-07,-19.7
31416,1967-01-07,-10.0
31781,1968-01-07,-25.8
32147,1969-01-07,-15.0
32512,1970-01-07,-7.8
32877,1971-01-07,-13.2
33242,1972-01-07,-12.6
33608,1973-01-07,-7.0
33973,1974-01-07,-10.7
34338,1975-01-07,-10.1
34703,1976-01-07,-16.3
35069,1977-01-07,-1.3
35434,1978-01-07,-13.3
35799,1979-01-07,-20.6
36164,1980-01-07,-7.8
36530,1981-01-07,-20.5
36895,1982-01-07,-21.6
37260,1983-01-07,2.2
37625,1984-01-07,-0.6
37991,1985-01-07,-20.0
38356,1986-01-07,-6.8
38721,1987-01-07,-29.2
39086,1988-01-07,-6.2
39452,1989-01-07,-0.5
39817,1990-01-07,-1.9
40182,1991-01-07,0.2
40547,1992-01-07,-4.5
40913,1993-01-07,0.2
41278,1994-01-07,-6.5
41643,1995-01-07,-11.2
42008,1996-01-07,-8.5
42374,1997-01-07,-8.3
42739,1998-01-07,1.3
43104,1999-01-07,-8.4
43469,2000-01-07,-1.1
43835,2001-01-07,-2.6
44200,2002-01-07,-19.8
44565,2003-01-07,-26.5
44930,2004-01-07,-11.2
45296,2005-01-07,-2.1
45661,2006-01-07,-3.1
46026,2007-01-07,0.1
46391,2008-01-07,-10.8
46757,2009-01-07,-15.6
47122,2010-01-07,-10.8
47487,2011-01-07,-7.7
47852,2012-01-07,-2.6
48218,2013-01-07,-7.6
48583,2014-01-07,
48948,2015-01-07,-13.5
49292,2016-01-07,
49658,2017-01-07,
50023,2018-01-07,
50381,2019-01-07,-6.8
