,06-26
1881,8.8
1882,14.2
1883,8.9
1884,13.5
1885,15.0
1886,14.0
1887,8.9
1888,11.0
1889,10.7
1890,14.5
1891,17.6
1892,11.0
1893,15.7
1894,10.8
1895,14.3
1896,12.4
1897,9.4
1898,12.7
1899,11.7
1900,12.7
1901,18.2
1902,7.6
1903,12.2
1904,9.3
1905,17.0
1906,12.0
1907,12.9
1908,11.5
1909,12.6
1910,8.6
1911,15.7
1912,16.9
1913,12.7
1914,19.0
1915,9.6
1916,11.0
1917,16.7
1918,10.9
1919,16.5
1920,14.4
1921,13.4
1922,12.7
1923,6.1
1924,6.8
1925,13.1
1926,11.8
1927,10.9
1928,11.7
1929,7.5
1930,14.7
1931,10.7
1932,16.0
1933,7.5
1934,8.8
1935,18.0
1936,12.4
1937,16.3
1938,11.1
1939,15.3
1940,20.2
1941,8.4
1942,11.8
1943,11.1
1944,8.5
1945,11.6
1946,13.8
1947,18.6
1948,16.0
1949,11.5
1950,15.6
1951,17.3
1952,11.4
1953,15.7
1954,14.1
1955,12.3
1956,12.0
1957,11.0
1958,12.5
1959,12.3
1960,10.8
1961,11.6
1962,10.0
1963,11.2
1964,13.2
1965,13.5
1966,16.9
1967,10.5
1968,14.0
1969,6.7
1970,16.6
1971,11.5
1972,20.3
1973,14.0
1974,13.6
1975,11.6
1976,14.3
1977,6.5
1978,15.4
1979,18.1
1980,13.2
1981,19.8
1982,10.6
1983,11.1
1984,11.7
1985,10.9
1986,12.0
1987,10.7
1988,17.8
1989,15.0
1990,13.2
1991,14.7
1992,10.7
1993,12.8
1994,12.2
1995,13.9
1996,11.5
1997,13.8
1998,9.3
1999,21.8
2000,17.3
2001,10.9
2002,11.1
2003,11.7
2004,14.3
2005,11.5
2006,15.5
2007,10.5
2008,12.6
2009,14.3
2010,16.0
2011,13.5
2012,13.6
2013,19.6
2014,
2015,
2016,
2017,
2018,
