,DATE,TMIN
351,1881-12-18,-13.6
716,1882-12-18,-25.0
1081,1883-12-18,-2.0
1447,1884-12-18,-16.9
1812,1885-12-18,-14.4
2177,1886-12-18,-0.6
2542,1887-12-18,0.8
2908,1888-12-18,-15.8
3273,1889-12-18,-2.9
3638,1890-12-18,-12.7
4003,1891-12-18,-10.0
4369,1892-12-18,-9.6
4734,1893-12-18,-4.4
5099,1894-12-18,-17.3
5464,1895-12-18,-15.8
5830,1896-12-18,-4.5
6195,1897-12-18,-1.9
6560,1898-12-18,-13.2
6925,1899-12-18,-9.8
7290,1900-12-18,-2.2
7655,1901-12-18,-8.8
8020,1902-12-18,-16.6
8385,1903-12-18,-2.9
8751,1904-12-18,2.1
9116,1905-12-18,-12.4
9481,1906-12-18,-8.4
9846,1907-12-18,-22.9
10212,1908-12-18,-3.8
10577,1909-12-18,-2.8
10942,1910-12-18,0.6
11307,1911-12-18,-9.3
11673,1912-12-18,-3.3
12038,1913-12-18,-8.7
12403,1914-12-18,-9.3
12768,1915-12-18,-2.2
13134,1916-12-18,-7.4
13499,1917-12-18,-10.5
13864,1918-12-18,-3.1
14229,1919-12-18,-10.5
14595,1920-12-18,-9.3
14960,1921-12-18,-5.5
15325,1922-12-18,-10.0
15690,1923-12-18,-4.4
16056,1924-12-18,-2.0
16421,1925-12-18,-7.5
16786,1926-12-18,-16.4
17151,1927-12-18,-19.8
17517,1928-12-18,-7.5
17882,1929-12-18,-4.3
18247,1930-12-18,-11.0
18612,1931-12-18,-14.0
18978,1932-12-18,0.9
19343,1933-12-18,-5.0
19708,1934-12-18,-4.3
20073,1935-12-18,-6.7
20439,1936-12-18,1.9
20804,1937-12-18,-5.6
21169,1938-12-18,-20.2
21534,1939-12-18,-0.8
21900,1940-12-18,-1.4
22265,1941-12-18,-11.0
22630,1942-12-18,-11.1
22995,1943-12-18,-1.0
23361,1944-12-18,-5.5
23726,1945-12-18,-17.9
24091,1946-12-18,-6.4
24456,1947-12-18,-6.4
24822,1948-12-18,-7.9
25187,1949-12-18,-1.9
25552,1950-12-18,-1.1
25917,1951-12-18,-10.1
26283,1952-12-18,-2.2
26648,1953-12-18,-4.9
27013,1954-12-18,-0.9
27378,1955-12-18,-26.1
27744,1956-12-18,2.2
28109,1957-12-18,-1.1
28474,1958-12-18,-0.8
28839,1959-12-18,-6.5
29205,1960-12-18,1.6
29570,1961-12-18,-0.5
29935,1962-12-18,-12.1
30300,1963-12-18,-17.4
30666,1964-12-18,-2.2
31031,1965-12-18,-10.9
31396,1966-12-18,-16.5
31761,1967-12-18,-13.1
32127,1968-12-18,-7.2
32492,1969-12-18,-13.6
32857,1970-12-18,-6.6
33222,1971-12-18,-3.6
33588,1972-12-18,-3.0
33953,1973-12-18,-6.3
34318,1974-12-18,-4.0
34683,1975-12-18,-12.2
35049,1976-12-18,-11.5
35414,1977-12-18,-0.9
35779,1978-12-18,-21.6
36144,1979-12-18,0.0
36510,1980-12-18,-9.5
36875,1981-12-18,-14.2
37240,1982-12-18,-2.8
37605,1983-12-18,-4.3
37971,1984-12-18,-11.1
38336,1985-12-18,-15.3
38701,1986-12-18,-14.0
39066,1987-12-18,-8.9
39432,1988-12-18,-2.9
39797,1989-12-18,-14.7
40162,1990-12-18,-7.7
40527,1991-12-18,-2.4
40893,1992-12-18,0.3
41258,1993-12-18,-3.2
41623,1994-12-18,-18.2
41988,1995-12-18,-13.8
42354,1996-12-18,-10.1
42719,1997-12-18,-5.0
43084,1998-12-18,1.5
43449,1999-12-18,-2.9
43815,2000-12-18,-4.5
44180,2001-12-18,-14.4
44545,2002-12-18,-10.0
44910,2003-12-18,-7.0
45276,2004-12-18,-0.6
45641,2005-12-18,-3.6
46006,2006-12-18,-2.9
46371,2007-12-18,-0.4
46737,2008-12-18,-6.2
47102,2009-12-18,-14.3
47467,2010-12-18,-18.8
47832,2011-12-18,1.7
48198,2012-12-18,-17.7
48563,2013-12-18,1.4
48928,2014-12-18,
49272,2015-12-18,
49638,2016-12-18,
50003,2017-12-18,
50361,2018-12-18,-8.9
