,TMAX
1881,7.2
1882,
1883,-0.6
1884,-8.2
1885,-13.1
1886,-0.6
1887,5.3
1888,1.9
1889,2.6
1890,-0.4
1891,-8.2
1892,0.5
1893,-5.2
1894,2.1
1895,-8.0
1896,-3.0
1897,1.8
1898,5.4
1899,2.5
1900,-4.0
1901,1.4
1902,-7.0
1903,
1904,-0.8
1905,5.5
1906,-0.5
1907,4.1
1908,0.5
1909,-9.1
1910,-6.8
1911,1.8
1912,3.2
1913,-2.5
1914,1.9
1915,-9.0
1916,4.5
1917,-0.4
1918,-1.3
1919,1.7
1920,0.3
1921,-6.1
1922,-5.1
1923,-0.6
1924,4.6
1925,-6.0
1926,-0.2
1927,2.0
1928,5.4
1929,1.8
1930,5.0
1931,-3.8
1932,3.4
1933,-5.8
1934,6.8
1935,-2.4
1936,-1.7
1937,-1.9
1938,4.0
1939,2.0
1940,0.8
1941,0.4
1942,-4.2
1943,1.2
1944,2.8
1945,0.4
1946,4.8
1947,0.1
1948,1.7
1949,-2.6
1950,3.4
1951,5.3
1952,1.0
1953,3.4
1954,-6.0
1955,-5.6
1956,0.2
1957,-8.2
1958,-0.6
1959,-1.0
1960,1.7
1961,2.0
1962,4.4
1963,-3.1
1964,-5.1
1965,-8.7
1966,2.3
1967,-4.8
1968,3.4
1969,-2.7
1970,3.1
1971,4.7
1972,1.2
1973,-4.2
1974,1.2
1975,-3.6
1976,2.9
1977,-0.8
1978,1.2
1979,2.7
1980,-2.5
1981,-0.9
1982,6.0
1983,-3.0
1984,-7.8
1985,-8.7
1986,6.9
1987,2.8
1988,-7.3
1989,-7.3
1990,0.8
1991,6.1
1992,-8.2
1993,-3.0
1994,2.2
1995,-3.5
1996,3.0
1997,-4.4
1998,-2.3
1999,5.1
2000,-2.8
2001,1.8
2002,0.7
2003,3.3
2004,-6.3
2005,3.8
2006,6.5
2007,1.2
2008,6.2
2009,6.2
2010,-9.4
2011,8.8
2012,0.8
2013,6.2
2014,-3.0
2015,
2016,
2017,2.2
2018,-1.1
