,TMAX
1881,3.1
1882,
1883,
1884,11.0
1885,5.8
1886,18.9
1887,5.8
1888,3.2
1889,2.0
1890,11.1
1891,10.3
1892,2.1
1893,2.4
1894,6.7
1895,1.4
1896,5.9
1897,6.1
1898,1.7
1899,7.0
1900,6.0
1901,7.2
1902,0.0
1903,
1904,4.5
1905,4.5
1906,7.7
1907,8.3
1908,6.2
1909,0.5
1910,0.6
1911,1.0
1912,0.5
1913,2.5
1914,9.4
1915,3.9
1916,5.4
1917,6.2
1918,14.8
1919,3.7
1920,12.6
1921,9.5
1922,0.4
1923,3.1
1924,3.4
1925,8.6
1926,2.5
1927,5.2
1928,0.9
1929,2.0
1930,11.5
1931,0.7
1932,11.1
1933,12.1
1934,2.4
1935,5.4
1936,3.7
1937,12.8
1938,4.1
1939,0.7
1940,1.9
1941,2.2
1942,4.3
1943,4.3
1944,5.5
1945,3.2
1946,0.6
1947,2.9
1948,5.8
1949,3.8
1950,11.6
1951,10.9
1952,7.0
1953,4.9
1954,5.9
1955,2.0
1956,4.4
1957,1.9
1958,4.8
1959,12.6
1960,8.2
1961,3.1
1962,12.5
1963,11.2
1964,5.4
1965,5.8
1966,-1.9
1967,7.0
1968,5.7
1969,7.7
1970,9.6
1971,5.4
1972,6.6
1973,12.3
1974,0.7
1975,6.8
1976,9.6
1977,11.0
1978,11.0
1979,5.7
1980,5.2
1981,5.7
1982,5.4
1983,2.9
1984,7.6
1985,2.9
1986,-1.5
1987,8.1
1988,1.9
1989,10.3
1990,10.7
1991,8.6
1992,3.6
1993,2.2
1994,11.7
1995,5.6
1996,1.0
1997,1.8
1998,4.1
1999,7.6
2000,8.4
2001,8.5
2002,14.5
2003,10.2
2004,10.5
2005,8.4
2006,4.1
2007,7.3
2008,4.6
2009,6.6
2010,13.3
2011,6.8
2012,10.8
2013,8.4
2014,
2016,10.1
2017,
2018,8.6
2019,0.5
