,TMAX
1881,6.0
1882,
1883,6.4
1884,3.1
1885,3.9
1886,5.9
1887,-8.4
1888,1.3
1889,3.5
1890,4.4
1891,-5.7
1892,-0.2
1893,2.9
1894,4.2
1895,6.5
1896,-2.6
1897,7.9
1898,1.0
1899,-1.7
1900,-1.7
1901,3.5
1902,-0.2
1903,
1904,-4.5
1905,-3.0
1906,-2.0
1907,1.3
1908,0.7
1909,1.4
1910,-7.5
1911,1.9
1912,1.4
1913,1.4
1914,4.3
1915,3.8
1916,-3.9
1917,2.5
1918,4.1
1919,-8.7
1920,6.2
1921,-4.6
1922,3.7
1923,7.9
1924,1.4
1925,2.4
1926,7.3
1927,-2.8
1928,5.5
1929,5.6
1930,3.9
1931,3.8
1932,4.2
1933,-2.7
1934,7.0
1935,6.6
1936,6.6
1937,1.7
1938,9.2
1939,4.6
1940,5.8
1941,0.9
1942,3.9
1943,3.9
1944,0.2
1945,-0.9
1946,-1.5
1947,-1.7
1948,0.6
1949,5.4
1950,5.8
1951,-2.5
1952,1.3
1953,1.4
1954,3.6
1955,1.1
1956,2.5
1957,3.6
1958,2.9
1959,-2.0
1960,-3.2
1961,4.0
1962,1.6
1963,3.0
1964,6.0
1965,-4.2
1966,0.8
1967,4.3
1968,1.0
1969,4.6
1970,2.6
1971,2.9
1972,1.3
1973,0.7
1974,5.6
1975,3.1
1976,2.3
1977,4.9
1978,8.6
1979,2.2
1980,0.3
1981,0.6
1982,5.5
1983,2.9
1984,1.5
1985,1.1
1986,1.8
1987,-1.0
1988,2.0
1989,3.3
1990,-3.5
1991,7.5
1992,1.0
1993,-4.1
1994,4.7
1995,3.0
1996,3.7
1997,4.8
1998,-4.2
1999,-1.1
2000,7.2
2001,2.0
2002,-2.1
2003,4.8
2004,8.2
2005,8.0
2006,1.8
2007,-2.1
2008,6.4
2009,0.6
2010,10.4
2011,4.5
2012,7.7
2013,5.2
2014,
2015,1.8
2016,-0.2
2017,
2018,7.2
